	index	player	unique_id	year_start	year_finish	position	link
0	31	David Aebischer	aebisda01	2001	2008	G	https://www.hockey-reference.com/players/a/aebisda01.html
1	49	Sami Aittokallio	aittosa01	2013	2014	G	https://www.hockey-reference.com/players/a/aittosa01.html
2	70	Jake Allen	allenja01	2013	2020	G	https://www.hockey-reference.com/players/a/allenja01.html
3	85	Jorge Alves	alvesjo01	2017	2017	G	https://www.hockey-reference.com/players/a/alvesjo01.html
4	92	Frederik Andersen	anderfr01	2014	2020	G	https://www.hockey-reference.com/players/a/anderfr01.html
5	93	Craig Anderson	andercr01	2003	2020	G	https://www.hockey-reference.com/players/a/andercr01.html
6	141	Ken Appleby	appleke01	2018	2018	G	https://www.hockey-reference.com/players/a/appleke01.html
7	187	Tom Askey	askeyto01	1998	1998	G	https://www.hockey-reference.com/players/a/askeyto01.html
8	202	Jean-Sebastien Aubin	aubinje01	1999	2008	G	https://www.hockey-reference.com/players/a/aubinje01.html
9	214	Alex Auld	auldal01	2002	2012	G	https://www.hockey-reference.com/players/a/auldal01.html
10	223	David Ayres	ayresda01	2020	2020	G	https://www.hockey-reference.com/players/a/ayresda01.html
11	235	Jason Bacashihua	bacasja01	2006	2007	G	https://www.hockey-reference.com/players/b/bacasja01.html
12	236	Ryan Bach	bachry01	1999	1999	G	https://www.hockey-reference.com/players/b/bachry01.html
13	237	Richard Bachman	bachmri01	2011	2019	G	https://www.hockey-reference.com/players/b/bachmri01.html
14	239	Johan Backlund	backljo01	2010	2010	G	https://www.hockey-reference.com/players/b/backljo01.html
15	245	Niklas Backstrom	backsni01	2007	2016	G	https://www.hockey-reference.com/players/b/backsni01.html
16	256	Scott Bailey	bailesc01	1996	1997	G	https://www.hockey-reference.com/players/b/bailesc01.html
17	269	Mike Bales	balesmi01	1993	1997	G	https://www.hockey-reference.com/players/b/balesmi01.html
18	314	Tom Barrasso	barrato01	1984	2003	G	https://www.hockey-reference.com/players/b/barrato01.html
19	376	Don Beaupre	beaupdo01	1981	1997	G	https://www.hockey-reference.com/players/b/beaupdo01.html
