,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-04-27,1,22-328,PHI,@,OTT,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,18,12:23,0,0,0,0,
1,2014-04-13,1,23-314,PHI,,CAR,L-SO,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,13:22,1,0,0,0,
2,2014-10-08,1,24-127,PHI,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:23,3,0,0,0,
3,2014-10-09,2,24-128,PHI,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:27,1,0,0,0,
4,2014-10-11,3,24-130,PHI,,MTL,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,7:34,2,2,0,1,0.0
5,2014-10-14,4,24-133,PHI,,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:51,1,0,0,0,
6,2014-10-22,5,24-141,PHI,@,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:19,1,0,0,0,
7,2014-10-25,6,24-144,PHI,,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3:35,1,0,0,0,
8,2014-10-28,7,24-147,PHI,,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,7:39,0,1,0,0,
9,2014-10-30,8,24-149,PHI,@,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,6:28,0,1,0,0,
10,2014-11-06,9,24-156,PHI,,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,10:16,1,0,0,0,
11,2014-11-08,10,24-158,PHI,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:26,0,0,0,0,
12,2014-11-14,11,24-164,PHI,,CBJ,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,13,10:00,0,0,0,0,
13,2014-11-15,12,24-165,PHI,@,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,10,6:20,1,0,0,0,
14,2015-04-11,13,24-312,PHI,,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,15,13:21,0,0,1,0,100.0
