,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-12-31,1,24-047,EDM,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,6,2:53,,,,,
1,2007-01-17,1,28-064,BOS,@,BUF,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,24,14:05,,,,,
2,2007-01-18,2,28-065,BOS,,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,19:04,,,,,
3,2007-01-20,3,28-067,BOS,,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,25,14:29,,,,,
4,2007-01-27,4,28-074,BOS,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,16,10:40,,,,,
5,2007-01-29,5,28-076,BOS,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,18,12:35,,,,,
6,2007-01-30,6,28-077,BOS,@,BUF,L,0,0,0,-4,0,0,0,0,0,,,,0,,19,12:09,,,,,
7,2007-02-01,7,28-079,BOS,,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,16,9:55,,,,,
8,2007-02-03,8,28-081,BOS,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,7:33,,,,,
9,2007-02-06,9,28-084,BOS,@,WSH,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,10:34,,,,,
10,2007-02-08,10,28-086,BOS,,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:20,,,,,
11,2007-02-10,11,28-088,BOS,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:27,,,,,
12,2007-02-13,12,28-091,BOS,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,17,11:10,,,,,
13,2007-02-15,13,28-093,BOS,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:48,,,,,
14,2007-02-17,14,28-095,BOS,@,BUF,W,0,1,1,3,2,0,0,0,0,,,,1,0.0,28,17:07,,,,,
15,2007-02-19,15,28-097,BOS,@,PHI,W,0,0,0,-1,0,0,0,0,0,,,,0,,23,17:18,,,,,
16,2007-02-20,16,28-098,BOS,@,TOR,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,29,19:10,,,,,
17,2007-02-23,17,28-101,BOS,@,TBL,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,27,18:24,,,,,
18,2007-02-24,18,28-102,BOS,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,15:24,,,,,
19,2007-02-26,19,28-104,BOS,,ATL,L,0,0,0,1,0,0,0,0,0,,,,0,,15,10:19,,,,,
20,2007-03-01,20,28-107,BOS,,PHI,L-OT,0,0,0,1,0,0,0,0,0,,,,1,0.0,15,10:50,,,,,
21,2007-03-03,21,28-109,BOS,,MTL,W,0,0,0,1,0,0,0,0,0,,,,0,,14,11:13,,,,,
22,2007-03-06,22,28-112,BOS,,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,12:46,,,,,
23,2007-03-10,23,28-116,BOS,@,PHI,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,21,17:33,,,,,
24,2007-03-11,24,28-117,BOS,@,DET,W,0,0,0,-1,0,0,0,0,0,,,,0,,13,7:50,,,,,
25,2007-03-15,25,28-121,BOS,,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,10:05,,,,,
26,2007-03-20,26,28-126,BOS,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,15,11:54,,,,,
27,2007-03-31,27,28-137,BOS,,ATL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:40,,,,,
28,2007-04-01,28,28-138,BOS,@,NJD,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,19,14:26,,,,,
29,2007-04-03,29,28-140,BOS,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:24,,,,,
30,2007-04-05,30,28-142,BOS,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,17,10:10,,,,,
31,2007-04-07,31,28-144,BOS,,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,18:52,,,,,
32,2007-10-05,1,28-325,BOS,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,16,11:01,2,0,0,0,
33,2007-11-04,2,28-355,BOS,,OTT,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,15,10:51,1,0,0,0,
34,2007-11-07,3,28-358,BOS,@,BUF,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,16,13:59,1,0,0,0,
35,2007-11-08,4,28-359,BOS,,MTL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,19,13:14,0,1,0,0,
