,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2013-02-05,1,22-182,STL,,NSH,L,\,2,8,6,.750,0,0,30:40
1,2013-02-13,2,22-190,STL,@,DET,W,W,3,18,15,.833,0,0,60:52
2,2013-02-15,3,22-192,STL,@,CGY,W,W,2,32,30,.938,0,0,60:00
3,2013-02-17,4,22-194,STL,@,VAN,W,W,3,31,28,.903,0,0,65:00
4,2013-02-19,5,22-196,STL,,SJS,L,L,2,25,23,.920,0,0,58:16
5,2013-03-07,6,22-212,STL,@,PHX,W,W,3,26,23,.885,0,0,60:00
6,2013-03-09,7,22-214,STL,@,SJS,W,W,3,25,22,.880,0,0,61:12
7,2013-03-12,8,22-217,STL,,SJS,W,W,2,41,39,.951,0,0,60:00
8,2013-03-14,9,22-219,STL,,PHX,W,W,0,28,28,1.000,1,0,60:00
9,2013-03-16,10,22-221,STL,,ANA,W,W,1,28,27,.964,0,0,60:33
10,2013-03-19,11,22-224,STL,@,VAN,L,L,3,19,16,.842,0,0,59:26
11,2013-03-26,12,22-231,STL,,EDM,L,L,3,7,4,.571,0,0,25:17
12,2013-04-05,13,22-241,STL,,CBJ,W,W,1,27,26,.963,0,0,60:00
13,2013-04-12,14,22-248,STL,@,CBJ,L,L,4,19,15,.789,0,0,60:00
14,2013-04-21,15,22-257,STL,@,COL,L,\,1,12,11,.917,0,0,22:37
15,2014-10-18,1,24-072,STL,@,ARI,W,W,1,25,24,.960,0,0,60:00
16,2014-10-23,2,24-077,STL,,VAN,L,L,3,22,19,.864,0,0,59:27
17,2014-10-30,3,24-084,STL,,ANA,W,W,0,24,24,1.000,1,0,60:00
18,2014-11-04,4,24-089,STL,@,NJD,W,W,0,26,26,1.000,1,2,59:54
19,2014-11-06,5,24-091,STL,,NJD,W,W,3,27,24,.889,0,0,60:00
20,2014-11-13,6,24-098,STL,,NSH,W,W,3,25,22,.880,0,0,59:47
21,2014-11-20,7,24-105,STL,@,MTL,L,L,4,30,26,.867,0,0,60:00
22,2014-11-23,8,24-108,STL,@,WPG,W,W,2,30,28,.933,0,0,60:00
23,2014-11-25,9,24-110,STL,,OTT,L-SO,O,2,17,15,.882,0,0,31:02
24,2014-11-28,10,24-113,STL,,EDM,W,W,3,16,13,.813,0,0,64:18
25,2014-11-29,11,24-114,STL,@,MIN,W,W,2,38,36,.947,0,0,65:00
26,2014-12-03,12,24-118,STL,@,CHI,L,L,4,33,29,.879,0,0,59:50
27,2014-12-06,13,24-121,STL,@,NYI,W,,3,12,9,.750,0,0,20:00
28,2014-12-11,14,24-126,STL,,NYI,W,W,3,28,25,.893,0,0,60:00
29,2014-12-13,15,24-128,STL,@,COL,W,W,2,25,23,.920,0,0,61:03
30,2014-12-16,16,24-131,STL,,LAK,W,W,2,23,21,.913,0,0,60:00
31,2014-12-20,17,24-135,STL,@,SJS,L-OT,O,3,30,27,.900,0,0,64:22
32,2014-12-23,18,24-138,STL,@,COL,L,L,5,31,26,.839,0,0,39:58
