,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-11-26,1,20-063,WSH,,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,21:06,0,1,0,0,
1,2008-11-28,2,20-065,WSH,,MTL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,28,23:22,0,1,0,0,
2,2008-11-29,3,20-066,WSH,@,CBJ,L,0,0,0,-2,0,0,0,0,0,,,,0,,17,13:32,0,1,0,0,
3,2008-12-02,4,20-069,WSH,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,26,20:06,0,2,0,0,
4,2008-12-04,5,20-071,WSH,,NYI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,32,20:16,0,1,0,0,
5,2008-12-06,6,20-073,WSH,@,TOR,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,29,23:06,1,3,0,0,
6,2008-12-07,7,20-074,WSH,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,26,20:42,3,1,0,0,
7,2008-12-10,8,20-077,WSH,,BOS,W,0,0,0,2,0,0,0,0,0,,,,0,,27,20:44,2,3,0,0,
8,2008-12-12,9,20-079,WSH,,OTT,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,25,15:45,2,0,0,0,
9,2008-12-13,10,20-080,WSH,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,30,21:33,2,2,0,0,
10,2008-12-16,11,20-083,WSH,@,NYI,W,0,1,1,2,0,0,0,0,0,,,,2,0.0,26,19:56,3,3,0,0,
11,2008-12-18,12,20-085,WSH,,STL,W,0,0,0,2,0,0,0,0,0,,,,0,,29,19:44,1,3,0,0,
12,2008-12-20,13,20-087,WSH,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,33,24:45,2,1,0,0,
13,2008-12-23,14,20-090,WSH,@,NYR,W,0,0,0,-3,0,0,0,0,0,,,,0,,29,21:28,2,1,0,0,
14,2008-12-26,15,20-093,WSH,,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,21,21:47,0,4,0,0,
15,2008-12-28,16,20-095,WSH,,TOR,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,28,22:39,0,4,0,0,
16,2009-01-01,17,20-099,WSH,,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,26,20:52,0,2,0,0,
17,2009-01-03,18,20-101,WSH,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,18:28,0,1,0,0,
18,2009-01-06,19,20-104,WSH,,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,27,21:59,1,3,0,0,
19,2009-01-09,20,20-107,WSH,,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,19:14,0,3,0,0,
20,2009-01-10,21,20-108,WSH,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,30,24:16,1,4,0,0,
21,2009-01-13,22,20-111,WSH,,EDM,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,24,19:36,0,1,0,0,
22,2009-01-14,23,20-112,WSH,@,PIT,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,13:55,1,1,0,0,
23,2009-01-17,24,20-115,WSH,,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,22,13:53,1,0,0,0,
24,2009-01-19,25,20-117,WSH,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,16:15,0,2,0,0,
25,2009-01-20,26,20-118,WSH,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,15:53,1,1,0,0,
