,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1997-10-17,1,26-059,CGY,,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:10,,,,,
1,1998-01-09,2,26-143,CGY,,FLA,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,15,11:15,,,,,
2,1998-01-10,3,26-144,CGY,,STL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:59,,,,,
3,1998-01-20,4,26-154,CGY,@,LAK,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,19,11:25,,,,,
4,1998-01-21,5,26-155,CGY,@,SJS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,16,12:42,,,,,
5,1998-01-24,6,26-158,CGY,,VAN,W,0,1,1,1,0,0,0,0,0,,,,0,,15,10:40,,,,,
6,1998-01-28,7,26-162,CGY,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,12,7:18,,,,,
7,1998-01-29,8,26-163,CGY,@,LAK,L,1,0,1,1,2,1,0,0,0,,,,1,100.0,15,10:22,,,,,
8,1998-01-31,9,26-165,CGY,,NJD,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,9:06,,,,,
9,1998-02-03,10,26-168,CGY,,LAK,L,0,0,0,-1,2,0,0,0,0,,,,0,,15,10:25,,,,,
10,1998-02-05,11,26-170,CGY,,SJS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,11:40,,,,,
11,1998-02-07,12,26-172,CGY,,EDM,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,6,3:25,,,,,
