,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-10-14,1,23-150,LAK,,EDM,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,15,12:16,3,0,3,5,37.5
1,2014-10-16,2,23-152,LAK,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:02,1,0,1,2,33.3
2,2014-10-19,3,23-155,LAK,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,5:28,1,0,1,0,100.0
3,2014-10-23,4,23-159,LAK,,BUF,W,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,16,12:10,3,0,0,0,
4,2014-10-26,5,23-162,LAK,,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:14,1,0,1,1,50.0
5,2014-10-28,6,23-164,LAK,@,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,4:04,1,0,0,0,
6,2014-10-30,7,23-166,LAK,@,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,6:45,1,0,2,2,50.0
7,2014-10-31,8,23-167,LAK,@,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:12,3,0,2,4,33.3
8,2014-12-30,9,23-227,LAK,@,EDM,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,7:37,2,0,0,0,
9,2015-01-12,10,23-240,LAK,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:02,0,0,1,2,33.3
10,2015-01-14,11,23-242,LAK,,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,16,11:06,4,0,4,4,50.0
11,2015-02-03,12,23-262,LAK,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:39,1,0,2,1,66.7
12,2015-03-01,13,23-288,LAK,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:33,4,0,0,4,0.0
13,2015-03-14,14,23-301,LAK,,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,10,8:28,3,0,5,1,83.3
14,2015-03-16,15,23-303,LAK,,ARI,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,15,10:39,3,0,5,1,83.3
15,2015-03-18,16,23-305,LAK,@,ANA,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,13,8:40,0,0,2,2,50.0
16,2015-03-21,17,23-308,LAK,,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:51,2,0,0,0,
17,2015-04-11,18,23-329,LAK,,SJS,W,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,16,11:28,0,0,3,0,100.0
18,2015-10-07,1,24-143,LAK,,SJS,L,0,0,0,0,7,0,0,0,0,0,0,0,0,,8,5:37,2,0,3,2,60.0
19,2015-10-13,2,24-149,LAK,,VAN,L,0,0,0,-1,5,0,0,0,0,0,0,0,0,,11,5:53,1,0,1,1,50.0
20,2015-10-16,3,24-152,LAK,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:49,0,0,1,2,33.3
21,2015-10-18,4,24-154,LAK,,COL,W,0,0,0,0,15,0,0,0,0,0,0,0,2,0.0,7,4:14,1,0,0,2,0.0
22,2015-10-22,5,24-158,LAK,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:57,0,0,2,9,18.2
23,2015-10-23,6,24-159,LAK,,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:34,2,0,3,2,60.0
24,2015-10-25,7,24-161,LAK,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:38,3,1,1,8,11.1
25,2015-10-27,8,24-163,LAK,@,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:08,1,0,2,4,33.3
26,2015-10-31,9,24-167,LAK,,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,8:31,2,1,2,4,33.3
27,2015-11-02,10,24-169,LAK,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:32,1,0,3,4,42.9
28,2015-11-03,11,24-170,LAK,@,STL,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,17,11:56,2,0,4,4,50.0
29,2015-11-05,12,24-172,LAK,,CBJ,L,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,12,7:20,0,0,2,2,50.0
30,2015-11-07,13,24-174,LAK,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,10:31,2,0,6,7,46.2
31,2015-11-10,14,24-177,LAK,,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:03,0,1,1,4,20.0
32,2015-11-12,15,24-179,LAK,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:29,1,0,4,2,66.7
33,2015-11-14,16,24-181,LAK,,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:03,2,1,4,3,57.1
34,2015-11-17,17,24-184,LAK,@,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:10,1,0,4,3,57.1
35,2015-11-20,18,24-187,LAK,@,DET,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,10,6:53,1,1,2,2,50.0
36,2015-11-23,19,24-190,LAK,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:23,4,0,1,0,100.0
37,2015-11-25,20,24-192,LAK,@,TBL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,8:22,2,0,1,0,100.0
38,2015-11-28,21,24-195,LAK,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:14,0,0,1,0,100.0
39,2015-12-01,22,24-198,LAK,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:39,1,0,0,2,0.0
40,2015-12-05,23,24-202,LAK,,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,14:18,2,0,0,2,0.0
41,2015-12-06,24,24-203,LAK,,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,13,9:43,4,1,1,1,50.0
42,2015-12-08,25,24-205,LAK,@,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,13:49,0,0,0,0,
43,2015-12-11,26,24-208,LAK,@,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:29,6,0,2,2,50.0
44,2015-12-12,27,24-209,LAK,@,BUF,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,8:24,2,0,0,0,
45,2015-12-14,28,24-211,LAK,@,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,17,10:35,1,0,3,0,100.0
