,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1991-02-07,1,20-319,VAN,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1991-02-08,2,20-320,VAN,@,NYR,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1991-11-26,1,21-246,VAN,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
3,1991-11-29,2,21-249,VAN,,CHI,W,0,0,0,0,15,0,0,0,0,,,,1,0.0,,,,,,,
4,1991-12-01,3,21-251,VAN,@,EDM,L,0,0,0,-1,14,0,0,0,0,,,,1,0.0,,,,,,,
5,1991-12-03,4,21-253,VAN,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1992-10-22,1,22-211,VAN,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1992-12-16,2,22-266,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1993-10-06,1,23-195,VAN,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1993-10-09,2,23-198,VAN,,CGY,L,0,0,0,-2,4,0,0,0,0,,,,0,,,,,,,,
10,1993-10-11,3,23-200,VAN,,EDM,W,0,0,0,1,11,0,0,0,0,,,,1,0.0,,,,,,,
11,1993-10-16,4,23-205,VAN,@,EDM,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,,,,,,,
12,1993-10-19,5,23-208,VAN,,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
13,1993-10-21,6,23-210,VAN,@,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1993-10-23,7,23-212,VAN,@,SJS,W,0,0,0,-1,5,0,0,0,0,,,,0,,,,,,,,
15,1993-10-24,8,23-213,VAN,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
16,1993-10-27,9,23-216,VAN,,WSH,L,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
17,1993-11-03,10,23-223,VAN,@,NYR,L,0,1,1,0,4,0,0,0,0,,,,2,0.0,,,,,,,
18,1993-11-05,11,23-225,VAN,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1993-11-07,12,23-227,VAN,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
20,1993-11-10,13,23-230,VAN,,LAK,W,0,0,0,0,17,0,0,0,0,,,,0,,,,,,,,
21,1993-11-13,14,23-233,VAN,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
22,1993-11-14,15,23-234,VAN,,MDA,W,0,0,0,1,5,0,0,0,0,,,,0,,,,,,,,
23,1993-11-16,16,23-236,VAN,,STL,W,0,0,0,0,10,0,0,0,0,,,,2,0.0,,,,,,,
24,1993-11-19,17,23-239,VAN,,MDA,L,0,0,0,0,14,0,0,0,0,,,,0,,,,,,,,
25,1993-11-22,18,23-242,VAN,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1993-11-24,19,23-244,VAN,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
27,1993-11-26,20,23-246,VAN,@,WIN,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
28,1993-11-29,21,23-249,VAN,,CHI,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
29,1993-12-02,22,23-252,VAN,,PHI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
30,1993-12-04,23,23-254,VAN,@,QUE,L,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
31,1993-12-06,24,23-256,VAN,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
32,1993-12-08,25,23-258,VAN,@,HAR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
33,1993-12-09,26,23-259,VAN,@,BOS,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
34,1993-12-14,27,23-264,VAN,@,CGY,L,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
35,1994-01-05,28,23-286,VAN,@,OTT,W,1,0,1,1,16,1,0,0,1,,,,1,100.0,,,,,,,
36,1994-01-08,29,23-289,VAN,@,TOR,L,0,0,0,-3,15,0,0,0,0,,,,0,,,,,,,,
37,1994-01-09,30,23-290,VAN,@,BUF,L,0,1,1,1,11,0,0,0,0,,,,0,,,,,,,,
38,1994-01-12,31,23-293,VAN,,QUE,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
39,1994-01-14,32,23-295,VAN,,OTT,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
40,1994-01-16,33,23-297,VAN,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1994-01-19,34,23-300,VAN,,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1994-02-06,35,23-318,VAN,,HAR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
43,1994-02-08,36,23-320,VAN,@,DET,W,0,0,0,-1,7,0,0,0,0,,,,0,,,,,,,,
44,1994-02-10,37,23-322,VAN,@,NJD,L,0,0,0,-2,4,0,0,0,0,,,,0,,,,,,,,
45,1994-02-12,38,23-324,VAN,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1994-02-13,39,23-325,VAN,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
47,1994-02-15,40,23-327,VAN,@,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
48,1994-02-26,41,23-338,VAN,,TBL,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
49,1994-03-01,42,23-341,VAN,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
50,1994-03-03,43,23-343,VAN,@,STL,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
51,1994-03-04,44,23-344,VAN,@,DAL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
52,1994-03-07,45,23-347,VAN,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
53,1994-03-09,46,23-349,VAN,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
54,1994-03-11,47,23-351,VAN,@,WIN,W,0,0,0,0,5,0,0,0,0,,,,0,,,,,,,,
55,1994-03-13,48,23-353,VAN,@,CHI,L,0,0,0,-1,7,0,0,0,0,,,,0,,,,,,,,
56,1994-03-15,49,23-355,VAN,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
57,1994-03-20,50,23-360,VAN,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
58,1994-03-25,51,24-000,VAN,,NYR,L,0,0,0,0,9,0,0,0,0,,,,0,,,,,,,,
59,1994-03-27,52,24-002,VAN,,LAK,W,0,0,0,-2,7,0,0,0,0,,,,0,,,,,,,,
60,1994-03-28,53,24-003,VAN,,TOR,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
61,1994-04-05,54,24-011,VAN,,DET,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
62,1994-04-10,55,24-016,VAN,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
63,1995-01-20,1,24-301,VAN,,DAL,T,0,0,0,0,19,0,0,0,0,,,,1,0.0,,,,,,,
