,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,30-139,WIN,,TOR,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,30-141,WIN,@,EDM,T,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
2,1990-10-08,3,30-143,WIN,,CGY,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-10,4,30-145,WIN,,BOS,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
4,1990-10-12,5,30-147,WIN,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
5,1990-10-13,6,30-148,WIN,@,PHI,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-10-16,7,30-151,WIN,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,6,0.0,,,,,,,
7,1990-10-17,8,30-152,WIN,@,NYR,L,0,0,0,-3,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1990-10-19,9,30-154,WIN,,VAN,W,0,2,2,2,0,0,0,0,0,,,,4,0.0,,,,,,,
9,1990-10-24,10,30-159,WIN,,EDM,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
10,1990-10-26,11,30-161,WIN,,LAK,W,0,1,1,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
11,1990-10-28,12,30-163,WIN,,LAK,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-10-31,13,30-166,WIN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
13,1990-11-01,14,30-167,WIN,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1990-11-18,15,30-184,WIN,,STL,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
15,1990-11-20,16,30-186,WIN,@,STL,L,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
16,1990-11-22,17,30-188,WIN,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
17,1990-11-24,18,30-190,WIN,@,QUE,W,0,3,3,2,0,0,0,0,0,,,,2,0.0,,,,,,,
18,1990-11-25,19,30-191,WIN,@,MTL,L,0,2,2,0,0,0,0,0,0,,,,2,0.0,,,,,,,
19,1990-11-28,20,30-194,WIN,,CGY,T,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
20,1990-11-30,21,30-196,WIN,,MNS,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1990-12-02,22,30-198,WIN,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1990-12-03,23,30-199,WIN,,NJD,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
23,1990-12-05,24,30-201,WIN,@,LAK,T,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
24,1990-12-08,25,30-204,WIN,@,LAK,T,0,0,0,1,12,0,0,0,0,,,,0,,,,,,,,
25,1990-12-11,26,30-207,WIN,@,STL,T,1,2,3,1,0,1,0,0,0,,,,3,33.3,,,,,,,
26,1990-12-13,27,30-209,WIN,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1990-12-15,28,30-211,WIN,,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
28,1990-12-16,29,30-212,WIN,,PHI,L,1,0,1,-1,2,1,0,0,0,,,,1,100.0,,,,,,,
29,1990-12-18,30,30-214,WIN,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
30,1990-12-20,31,30-216,WIN,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
31,1990-12-22,32,30-218,WIN,,DET,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
32,1990-12-26,33,30-222,WIN,@,MNS,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
33,1990-12-28,34,30-224,WIN,,BOS,W,1,0,1,0,2,0,1,0,0,,,,3,33.3,,,,,,,
34,1990-12-31,35,30-227,WIN,,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
35,1991-01-02,36,30-229,WIN,,CGY,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
36,1991-01-04,37,30-231,WIN,@,BUF,L,0,1,1,-2,2,0,0,0,0,,,,0,,,,,,,,
37,1991-01-05,38,30-232,WIN,@,HAR,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
38,1991-01-07,39,30-234,WIN,@,BOS,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
39,1991-01-11,40,30-238,WIN,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
40,1991-01-16,41,30-243,WIN,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
41,1991-01-21,42,30-248,WIN,,MNS,W,0,1,1,1,2,0,0,0,0,,,,3,0.0,,,,,,,
42,1991-01-25,43,30-252,WIN,,NYI,W,1,1,2,2,0,1,0,0,1,,,,3,33.3,,,,,,,
43,1991-01-27,44,30-254,WIN,,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1991-01-29,45,30-256,WIN,@,QUE,W,0,1,1,3,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1991-01-30,46,30-257,WIN,@,MTL,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,,,,,,,
46,1991-02-02,47,30-260,WIN,@,WSH,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,,,,,,,
47,1991-02-03,48,30-261,WIN,@,NYR,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
48,1991-02-06,49,30-264,WIN,,TOR,T,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
49,1991-02-08,50,30-266,WIN,,PIT,W,1,0,1,2,4,1,0,0,0,,,,1,100.0,,,,,,,
50,1991-02-10,51,30-268,WIN,,BUF,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
51,1991-02-12,52,30-270,WIN,@,DET,L,0,1,1,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
52,1991-02-14,53,30-272,WIN,@,NJD,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
53,1991-02-17,54,30-275,WIN,,QUE,W,2,0,2,2,2,2,0,0,1,,,,2,100.0,,,,,,,
54,1991-02-20,55,30-278,WIN,,VAN,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
55,1991-02-22,56,30-280,WIN,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
56,1991-02-24,57,30-282,WIN,,LAK,L,0,0,0,-2,14,0,0,0,0,,,,1,0.0,,,,,,,
57,1991-02-26,58,30-284,WIN,,HAR,W,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
58,1991-03-02,59,30-288,WIN,@,LAK,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
59,1991-03-05,60,30-291,WIN,,EDM,L,0,1,1,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
60,1991-03-08,61,30-294,WIN,,WSH,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
61,1991-10-04,1,31-139,WIN,,LAK,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
62,1991-10-06,2,31-141,WIN,,CGY,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,,,,,,,
63,1991-10-08,3,31-143,WIN,,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
64,1991-10-10,4,31-145,WIN,@,SJS,W,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
65,1991-10-19,5,31-154,WIN,,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
66,1991-10-23,6,31-158,WIN,@,DET,W,0,0,0,-1,4,0,0,0,0,,,,1,0.0,,,,,,,
67,1991-10-27,7,31-162,WIN,,WSH,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
68,1991-10-31,8,31-166,BOS,,LAK,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
69,1991-11-02,9,31-168,BOS,,DET,W,0,1,1,2,2,0,0,0,0,,,,1,0.0,,,,,,,
70,1991-11-04,10,31-170,BOS,@,NYI,L,1,1,2,-3,0,0,1,0,0,,,,4,25.0,,,,,,,
71,1991-11-05,11,31-171,BOS,@,PIT,T,0,0,0,-1,0,0,0,0,0,,,,4,0.0,,,,,,,
72,1991-11-07,12,31-173,BOS,,CGY,T,2,0,2,0,2,0,1,1,0,,,,9,22.2,,,,,,,
