,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2019-11-16,1,21-348,BUF,,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:13,2,0,5,4,55.6
1,2019-11-17,2,21-349,BUF,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,11:59,2,0,5,5,50.0
2,2019-11-19,3,21-351,BUF,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,17:53,1,0,7,6,53.8
3,2019-11-21,4,21-353,BUF,@,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,11,9:31,1,1,2,5,28.6
4,2019-11-24,5,21-356,BUF,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:07,0,0,2,3,40.0
5,2019-11-25,6,21-357,BUF,@,TBL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,9:21,1,0,0,6,0.0
6,2019-11-27,7,21-359,BUF,,CGY,L-OT,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,12,8:40,1,0,0,0,
7,2019-11-29,8,21-361,BUF,,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,19,10:43,0,1,4,3,57.1
8,2019-11-30,9,21-362,BUF,@,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,8:32,1,1,1,4,20.0
9,2019-12-02,10,21-364,BUF,,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,14:23,1,0,4,4,50.0
10,2019-12-05,11,22-002,BUF,@,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,8:24,0,0,4,2,66.7
11,2019-12-07,12,22-004,BUF,@,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,11:44,0,0,1,2,33.3
12,2019-12-08,13,22-005,BUF,@,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,14:10,0,0,2,4,33.3
13,2019-12-10,14,22-007,BUF,,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,18,11:44,0,0,1,0,100.0
14,2019-12-12,15,22-009,BUF,,NSH,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,9,5:28,1,0,0,0,
15,2019-12-14,16,22-011,BUF,@,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:10,1,0,1,3,25.0
16,2019-12-17,17,22-014,BUF,@,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:51,0,0,0,1,0.0
17,2019-12-19,18,22-016,BUF,@,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:06,1,0,3,5,37.5
18,2019-12-21,19,22-018,BUF,,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:32,3,1,0,1,0.0
19,2019-12-23,20,22-020,BUF,@,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:01,0,1,0,0,
20,2019-12-27,21,22-024,BUF,,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:39,0,0,1,0,100.0
21,2019-12-29,22,22-026,BUF,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,9:36,1,0,3,1,75.0
22,2019-12-31,23,22-028,BUF,,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,8:21,0,0,0,0,
23,2020-01-02,24,22-030,BUF,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:15,0,0,0,0,
24,2020-01-04,25,22-032,BUF,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,15:44,0,2,0,0,
25,2020-01-09,26,22-037,BUF,@,STL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,13:00,0,0,1,0,100.0
26,2020-01-11,27,22-039,BUF,,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,6:43,1,0,0,0,
27,2020-01-16,28,22-044,BUF,@,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,10:46,1,0,0,1,0.0
28,2020-02-04,29,22-063,BUF,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,9:35,1,0,2,5,28.6
