,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1997-01-25,1,21-286,MDA,@,LAK,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
1,1997-01-27,2,21-288,MDA,@,STL,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
2,1997-01-29,3,21-290,MDA,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1998-03-06,1,22-326,MDA,,SJS,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,14,10:32,,,,,
4,1998-03-08,2,22-328,MDA,,CAR,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,15,10:03,,,,,
5,1998-03-09,3,22-329,MDA,@,LAK,L,0,0,0,0,10,0,0,0,0,,,,0,,7,5:21,,,,,
6,1998-03-11,4,22-331,MDA,,TOR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,13:34,,,,,
7,1998-03-13,5,22-333,MDA,@,DAL,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,14,10:04,,,,,
8,1998-03-15,6,22-335,MDA,,COL,W,1,0,1,0,0,0,1,0,0,,,,6,16.7,15,11:58,,,,,
9,1998-03-18,7,22-338,MDA,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,10:51,,,,,
10,1998-03-19,8,22-339,MDA,@,PHI,T,1,0,1,1,0,1,0,0,0,,,,2,50.0,16,9:52,,,,,
11,1998-03-21,9,22-341,MDA,@,MTL,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,15,11:22,,,,,
12,1998-03-22,10,22-342,MDA,@,OTT,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,18,10:56,,,,,
13,1998-03-25,11,22-345,MDA,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,15,9:12,,,,,
14,1998-03-26,12,22-346,MDA,@,DET,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,11:19,,,,,
15,1998-03-28,13,22-348,MDA,@,COL,L,1,0,1,2,0,1,0,0,0,,,,2,50.0,15,8:32,,,,,
16,1998-04-03,14,22-354,MDA,@,PHX,L,0,0,0,-3,0,0,0,0,0,,,,3,0.0,19,15:23,,,,,
17,1998-04-05,15,22-356,MDA,,CGY,T,0,0,0,-1,0,0,0,0,0,,,,3,0.0,22,17:26,,,,,
18,1998-04-08,16,22-359,MDA,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:45,,,,,
19,1998-04-09,17,22-360,MDA,@,SJS,L,0,1,1,-2,0,0,0,0,0,,,,2,0.0,20,16:44,,,,,
20,1998-04-13,18,22-364,MDA,,COL,T,1,0,1,0,0,1,0,0,0,,,,3,33.3,15,15:03,,,,,
21,1998-04-15,19,23-001,MDA,@,EDM,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,20,20:27,,,,,
22,1998-04-18,20,23-004,MDA,@,LAK,W,1,1,2,1,0,1,0,0,0,,,,1,100.0,19,16:28,,,,,
23,1998-04-19,21,23-005,MDA,,STL,L,0,0,0,-4,0,0,0,0,0,,,,4,0.0,17,15:29,,,,,
24,1999-12-19,1,24-249,MDA,,DET,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,8:38,,,,,
25,1999-12-22,2,24-252,MDA,,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:39,,,,,
26,1999-12-29,3,24-259,MDA,@,CGY,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,8,5:03,,,,,
27,2002-11-15,1,27-215,PHX,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,0,,17,8:15,,,,,
28,2002-11-17,2,27-217,PHX,,COL,T,0,0,0,0,2,0,0,0,0,,,,1,0.0,8,3:53,,,,,
29,2002-11-20,3,27-220,PHX,,DAL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,6,4:50,,,,,
30,2003-04-04,4,27-355,PHX,,NSH,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,11:22,,,,,
31,2003-04-06,5,27-357,PHX,@,SJS,T,0,0,0,-1,0,0,0,0,0,,,,0,,13,10:58,,,,,
