,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-03-08,1,25-019,NSH,,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,23,19:15,1,1,0,0,
1,2013-03-09,2,25-020,NSH,,MIN,L-SO,0,0,0,0,2,0,0,0,0,,,,2,0.0,19,15:18,0,1,0,0,
2,2013-03-12,3,25-023,NSH,@,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,27,17:06,2,4,0,0,
3,2013-03-14,4,25-025,NSH,@,VAN,L,0,0,0,2,2,0,0,0,0,,,,0,,22,14:20,3,0,0,0,
4,2013-03-15,5,25-026,NSH,@,CGY,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,28,19:03,1,0,0,0,
5,2013-03-17,6,25-028,NSH,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,15:42,0,0,0,0,
6,2013-03-19,7,25-030,NSH,@,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,20:36,0,0,0,0,
7,2013-03-21,8,25-032,NSH,,CGY,W,0,1,1,3,0,0,0,0,0,,,,0,,24,19:05,2,3,0,0,
8,2013-03-23,9,25-034,NSH,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,27,20:34,1,1,0,0,
9,2013-03-25,10,25-036,NSH,,EDM,W,0,1,1,1,0,0,0,0,0,,,,0,,24,18:46,3,2,0,0,
10,2013-03-28,11,25-039,NSH,,PHX,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,25,17:33,3,1,0,0,
11,2013-03-30,12,25-041,NSH,@,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,22,20:36,2,0,0,0,
12,2013-04-01,13,25-043,NSH,@,CHI,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,27,22:12,2,1,0,0,
13,2013-04-02,14,25-044,NSH,,COL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,22:17,0,2,0,0,
14,2013-04-06,15,25-048,NSH,,CHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,23,19:16,1,1,0,0,
15,2013-04-07,16,25-049,NSH,@,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,24,23:47,4,2,0,0,
16,2013-04-09,17,25-051,NSH,,STL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,21:43,2,2,0,0,
17,2013-04-12,18,25-054,NSH,,DAL,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,26,19:54,1,0,0,0,
18,2013-04-14,19,25-056,NSH,,DET,L,0,0,0,-1,0,0,0,0,0,,,,0,,22,19:26,0,2,0,0,
19,2013-04-15,20,25-057,NSH,,VAN,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,24,20:28,0,0,0,0,
20,2013-04-19,21,25-061,NSH,@,CHI,L-OT,0,2,2,1,0,0,0,0,0,,,,0,,27,20:09,1,1,0,0,
21,2013-04-23,22,25-065,NSH,,CGY,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,25,22:54,2,0,0,0,
22,2013-04-25,23,25-067,NSH,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,17:24,0,3,0,0,
23,2013-04-27,24,25-069,NSH,@,CBJ,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,21:37,4,1,0,0,
24,2013-10-03,1,25-228,NSH,@,STL,L,0,0,0,-1,6,0,0,0,0,,,,0,,23,16:51,1,1,0,0,
25,2013-10-04,2,25-229,NSH,@,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,30,21:41,2,0,0,0,
26,2013-10-08,3,25-233,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:46,0,0,0,0,
27,2013-10-10,4,25-235,NSH,,TOR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,11:19,1,0,0,0,
28,2013-10-12,5,25-237,NSH,,NYI,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,19,16:30,3,1,0,0,
29,2013-10-15,6,25-240,NSH,,FLA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,14:20,0,0,0,0,
30,2013-10-17,7,25-242,NSH,,LAK,L-SO,0,0,0,1,2,0,0,0,0,,,,2,0.0,20,14:06,1,1,0,0,
31,2013-10-19,8,25-244,NSH,@,MTL,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,17,9:17,0,1,0,0,
32,2013-10-20,9,25-245,NSH,@,WPG,W,0,0,0,1,0,0,0,0,0,,,,0,,16,9:50,0,1,0,0,
33,2013-10-22,10,25-247,NSH,@,MIN,L,0,0,0,0,0,0,0,0,0,,,,0,,23,13:06,1,1,0,0,
34,2013-10-24,11,25-249,NSH,,WPG,W,0,0,0,0,0,0,0,0,0,,,,0,,16,12:25,1,2,0,0,
35,2013-10-26,12,25-251,NSH,,STL,L,0,0,0,-3,0,0,0,0,0,,,,0,,15,12:54,2,0,0,0,
36,2013-11-12,13,25-268,NSH,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:22,0,1,0,0,
37,2013-11-16,14,25-272,NSH,,CHI,W,0,0,0,3,2,0,0,0,0,,,,0,,22,16:49,0,1,0,0,
38,2013-11-19,15,25-275,NSH,@,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,14,9:18,0,1,0,0,
39,2013-11-21,16,25-277,NSH,@,TOR,W,0,0,0,-1,0,0,0,0,0,,,,0,,15,10:41,1,0,0,0,
40,2013-11-23,17,25-279,NSH,,NYR,L,0,0,0,0,0,0,0,0,0,,,,0,,19,16:42,3,1,0,0,
41,2013-11-25,18,25-281,NSH,,PHX,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,11:48,0,2,0,0,
42,2013-11-27,19,25-283,NSH,@,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,20:18,1,2,0,0,
43,2013-11-28,20,25-284,NSH,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,27,20:28,2,5,0,0,
44,2013-11-30,21,25-286,NSH,,PHI,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,26,18:53,1,1,0,0,
45,2013-12-03,22,25-289,NSH,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,21,15:47,2,0,0,0,
46,2013-12-05,23,25-291,NSH,,CAR,L,0,1,1,1,0,0,0,0,0,,,,0,,20,20:29,4,5,0,0,
47,2013-12-07,24,25-293,NSH,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,28,20:44,4,5,0,0,
48,2013-12-10,25,25-296,NSH,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,0,,29,19:02,2,1,0,0,
49,2013-12-12,26,25-298,NSH,,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,25,22:03,1,1,0,0,
50,2013-12-14,27,25-300,NSH,,SJS,W,0,1,1,1,0,0,0,0,0,,,,0,,28,21:11,3,2,0,0,
51,2013-12-17,28,25-303,NSH,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,17:04,2,5,0,0,
52,2013-12-19,29,25-305,NSH,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,16:29,0,3,0,0,
53,2013-12-27,30,25-313,NSH,@,DAL,L,0,0,0,-3,0,0,0,0,0,,,,0,,30,18:16,1,1,0,0,
54,2014-01-16,31,25-333,NSH,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,19,14:19,4,2,0,0,
55,2014-01-18,32,25-335,NSH,,COL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,13:57,1,2,0,0,
56,2014-01-20,33,25-337,NSH,,DAL,W,0,0,0,1,0,0,0,0,0,,,,0,,21,17:40,5,2,0,0,
57,2014-01-23,34,25-340,NSH,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,0,,20,16:18,2,4,0,0,
58,2014-01-24,35,25-341,NSH,@,CGY,L-SO,0,1,1,0,0,0,0,0,0,,,,0,,26,16:34,2,1,0,0,
59,2014-01-26,36,25-343,NSH,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,23,15:07,1,2,0,0,
60,2014-02-06,37,25-354,NSH,@,MIN,L-OT,0,1,1,1,2,0,0,0,0,,,,1,0.0,21,14:02,2,2,0,0,
61,2014-02-08,38,25-356,NSH,,ANA,L,0,1,1,0,0,0,0,0,0,,,,0,,19,15:59,0,1,0,0,
62,2014-03-19,39,26-030,NSH,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,0,,20,14:33,2,2,0,0,
63,2014-03-21,40,26-032,NSH,@,CGY,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,13,9:12,1,1,0,0,
