,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-10-15,1,19-142,NYI,@,WSH,L,0,0,0,0,6,0,0,0,0,0,0,0,0,,16,10:10,1,0,2,4,33.3
1,2016-10-26,2,19-153,NYI,,MTL,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,9:20,0,0,4,3,57.1
2,2017-10-06,1,20-133,NYI,@,CBJ,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,15:02,0,0,3,6,33.3
3,2017-10-07,2,20-134,NYI,,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,18,15:40,1,1,3,3,50.0
4,2017-10-09,3,20-136,NYI,,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,15:58,0,0,1,3,25.0
5,2017-10-11,4,20-138,NYI,@,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:45,1,0,2,4,33.3
6,2017-10-14,5,20-141,NYI,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:20,0,1,3,2,60.0
7,2017-10-15,6,20-142,NYI,@,LAK,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,17,14:07,1,0,3,2,60.0
8,2017-10-19,7,20-146,NYI,@,NYR,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,22,18:03,0,0,2,4,33.3
9,2017-10-21,8,20-148,NYI,,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,15:29,0,0,5,3,62.5
10,2017-10-24,9,20-151,NYI,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:45,0,2,2,6,25.0
11,2017-10-26,10,20-153,NYI,@,MIN,L,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,18,16:54,0,0,4,4,50.0
12,2017-10-28,11,20-155,NYI,@,NSH,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,15:02,0,1,3,2,60.0
13,2017-10-30,12,20-157,NYI,,VEG,W,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,16,15:30,0,0,6,2,75.0
14,2017-11-02,13,20-160,NYI,@,WSH,L,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,18:19,0,1,2,7,22.2
15,2017-11-05,14,20-163,NYI,,COL,W,0,5,5,2,0,0,0,0,0,3,2,0,1,0.0,20,14:07,0,0,9,2,81.8
16,2017-11-07,15,20-165,NYI,,EDM,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,20,18:59,0,0,6,5,54.5
17,2017-11-10,16,20-168,NYI,@,DAL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,16:58,0,0,5,8,38.5
18,2017-11-11,17,20-169,NYI,@,STL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,17,15:07,0,0,6,4,60.0
19,2017-11-16,18,20-174,NYI,,CAR,W,1,2,3,0,0,1,0,0,0,1,1,0,3,33.3,18,18:04,0,0,6,5,54.5
20,2017-11-18,19,20-176,NYI,@,TBL,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,19,18:38,1,0,2,6,25.0
21,2017-11-19,20,20-177,NYI,@,CAR,L,0,1,1,-1,2,0,0,0,0,0,1,0,1,0.0,24,21:46,0,0,2,5,28.6
22,2017-11-22,21,20-180,NYI,,PHI,W,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,20,16:57,0,2,3,6,33.3
23,2017-11-24,22,20-182,NYI,@,PHI,W,1,1,2,2,2,1,0,0,0,1,0,0,2,50.0,21,18:55,1,0,2,1,66.7
24,2017-11-25,23,20-183,NYI,@,OTT,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,16:53,1,0,2,4,33.3
25,2017-11-28,24,20-186,NYI,,VAN,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,17,15:03,1,0,5,5,50.0
26,2017-12-01,25,20-189,NYI,,OTT,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,17:28,0,0,5,6,45.5
27,2017-12-04,26,20-192,NYI,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,16:20,0,0,1,9,10.0
28,2017-12-05,27,20-193,NYI,@,TBL,L,1,1,2,0,0,0,1,0,0,1,0,0,1,100.0,17,14:23,0,0,3,6,33.3
