,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1998-11-21,1,28-152,MTL,,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,19,12:08,,,,,
1,1998-11-27,2,28-158,MTL,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,14,9:16,,,,,
2,1998-12-02,3,28-163,MTL,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:45,,,,,
3,1998-12-04,4,28-165,MTL,@,NJD,T,0,0,0,0,0,0,0,0,0,,,,0,,4,2:23,,,,,
4,1998-12-19,5,28-180,MTL,,NJD,T,0,0,0,-1,0,0,0,0,0,,,,0,,4,2:54,,,,,
5,1999-03-25,6,28-276,MTL,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,0,,8,4:10,,,,,
6,1999-03-27,7,28-278,MTL,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,10,7:32,,,,,
7,1999-04-07,8,28-289,MTL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,5:51,,,,,
8,1999-04-08,9,28-290,MTL,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,8,5:26,,,,,
9,1999-04-10,10,28-292,MTL,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,10,9:03,,,,,
10,2000-01-30,1,29-222,MTL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,8,5:06,,,,,
11,2000-02-02,2,29-225,MTL,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,8,5:13,,,,,
12,2000-11-17,1,30-148,MTL,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,16:03,,,,,
13,2000-11-18,2,30-149,MTL,,TOR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,20,16:21,,,,,
14,2000-11-21,3,30-152,MTL,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,13:20,,,,,
15,2000-11-23,4,30-154,MTL,@,ATL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,12:25,,,,,
16,2000-11-25,5,30-156,MTL,,BUF,L,0,1,1,1,0,0,0,0,0,,,,0,,20,13:04,,,,,
17,2000-11-27,6,30-158,MTL,,ATL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,17,10:58,,,,,
18,2000-11-29,7,30-160,MTL,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:25,,,,,
19,2000-11-30,8,30-161,MTL,@,VAN,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,15,10:48,,,,,
20,2000-12-02,9,30-163,MTL,@,CGY,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,12:32,,,,,
21,2000-12-05,10,30-166,MTL,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:45,,,,,
22,2000-12-08,11,30-169,MTL,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,13:47,,,,,
23,2000-12-09,12,30-170,MTL,,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,12:12,,,,,
24,2000-12-21,13,30-182,MTL,,NSH,W,0,1,1,1,0,0,0,0,0,,,,0,,17,10:31,,,,,
25,2000-12-23,14,30-184,MTL,,TOR,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,11:47,,,,,
26,2000-12-27,15,30-188,MTL,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:19,,,,,
27,2000-12-30,16,30-191,MTL,@,EDM,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,9,5:13,,,,,
28,2000-12-31,17,30-192,MTL,@,CGY,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,11:27,,,,,
29,2001-01-02,18,30-194,MTL,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,15,9:14,,,,,
