,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-11-23,1,25-104,HAR,@,BOS,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
1,1990-11-24,2,25-105,HAR,,BOS,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
2,1990-12-03,3,25-114,HAR,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
3,1990-12-05,4,25-116,HAR,,MTL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1991-10-05,1,26-055,HAR,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1991-10-08,2,26-058,HAR,,MTL,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1991-10-12,3,26-062,HAR,,NYR,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
7,1991-10-14,4,26-064,HAR,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1991-10-16,5,26-066,HAR,@,WIN,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1991-10-19,6,26-069,HAR,,BUF,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
10,1991-10-23,7,26-073,HAR,,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1991-10-26,8,26-076,HAR,,CHI,L,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
12,1991-10-27,9,26-077,HAR,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
13,1991-10-30,10,26-080,HAR,,LAK,T,0,0,0,2,0,0,0,0,0,,,,0,,,,,,,,
14,1991-11-01,11,26-082,HAR,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
15,1991-11-02,12,26-083,HAR,@,PIT,W,0,3,3,3,2,0,0,0,0,,,,3,0.0,,,,,,,
16,1991-11-06,13,26-087,HAR,,CGY,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
17,1991-11-09,14,26-090,HAR,@,STL,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
18,1991-11-10,15,26-091,HAR,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1991-11-12,16,26-093,HAR,,QUE,W,1,0,1,-1,0,1,0,0,1,,,,1,100.0,,,,,,,
20,1991-11-14,17,26-095,HAR,,MTL,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
