,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2013-11-03,1,26-304,CGY,@,CHI,W,W,2,44,42,.955,0,0,61:32
1,2013-11-05,2,26-306,CGY,@,MIN,L,L,5,24,19,.792,0,0,60:00
2,2013-11-07,3,26-308,CGY,@,STL,L,L,3,27,24,.889,0,0,58:40
3,2013-11-12,4,26-313,CGY,,SJS,L-OT,O,3,35,32,.914,0,0,61:13
4,2013-11-14,5,26-315,CGY,,DAL,L,L,4,17,13,.765,0,0,28:32
5,2013-11-16,6,26-317,CGY,,EDM,L,L,3,23,20,.870,0,0,58:38
6,2013-11-18,7,26-319,CGY,@,WPG,W,W,4,47,43,.915,0,0,65:00
7,2013-11-20,8,26-321,CGY,,CBJ,L-OT,O,2,18,16,.889,0,0,62:25
8,2013-11-22,9,26-323,CGY,,FLA,W,W,3,26,23,.885,0,0,65:00
9,2013-11-27,10,26-328,CGY,,CHI,L,L,3,30,27,.900,0,0,59:55
10,2013-11-29,11,26-330,CGY,@,ANA,L,L,5,38,33,.868,0,2,51:26
11,2013-12-07,12,26-338,CGY,@,EDM,W,W,1,31,30,.968,0,0,63:14
12,2013-12-10,13,26-341,CGY,,BOS,L,L,2,24,22,.917,0,0,58:19
13,2013-12-17,14,26-348,CGY,@,BOS,L,L,2,31,29,.935,0,0,57:44
14,2013-12-23,15,26-354,CGY,,STL,W,W,3,35,32,.914,0,0,63:17
15,2013-12-27,16,26-358,CGY,,EDM,L,L,1,27,26,.963,0,0,58:37
16,2013-12-29,17,26-360,CGY,,VAN,L,L,2,30,28,.933,0,0,57:51
17,2013-12-31,18,26-362,CGY,,PHI,L,L,3,20,17,.850,0,0,57:01
18,2014-01-07,19,27-004,CGY,@,PHX,L,L,6,30,24,.800,0,0,60:00
19,2014-01-11,20,27-008,CGY,,PIT,L,L,2,26,24,.923,0,0,58:38
20,2014-01-16,21,27-013,CGY,,WPG,L,L,5,23,18,.783,0,0,60:00
21,2014-01-24,22,27-021,CGY,,NSH,W,W,1,13,12,.923,0,0,38:59
22,2014-01-28,23,27-025,CGY,,CHI,W,\,4,24,20,.833,0,0,39:56
23,2014-02-01,24,27-029,CGY,,MIN,W,W,3,17,14,.824,0,0,44:53
24,2014-02-04,25,27-032,CGY,@,MTL,L,L,1,26,25,.962,0,0,58:11
25,2014-02-06,26,27-034,CGY,@,NYI,W,W,2,30,28,.933,0,0,59:58
26,2014-02-08,27,27-036,CGY,@,PHI,L,L,2,23,21,.913,0,0,59:15
27,2014-03-01,28,27-057,CGY,@,EDM,W,W,1,22,21,.955,0,0,61:47
28,2014-03-03,29,27-059,CGY,@,MIN,L,L,3,27,24,.889,0,0,58:22
29,2014-03-19,30,27-075,COL,@,WPG,L-OT,O,5,27,22,.815,0,0,61:40
30,2014-04-11,31,27-098,COL,@,SJS,L,L,2,5,3,.600,0,0,10:11
31,2014-10-09,1,27-279,COL,@,MIN,L,,0,10,10,1.000,0,0,20:00
32,2014-10-13,2,27-283,COL,@,BOS,W,W,1,28,27,.964,0,0,59:45
33,2014-10-16,3,27-286,COL,@,OTT,L,,0,0,0,,0,0,2:46
34,2014-10-21,4,27-291,COL,,FLA,L-OT,O,4,36,32,.889,0,0,62:22
35,2014-11-06,5,27-307,COL,,TOR,W,W,3,38,35,.921,0,0,65:00
36,2014-11-08,6,27-309,COL,@,PHI,L,L,4,27,23,.852,0,0,57:11
37,2014-11-20,7,27-321,COL,,WSH,L,L,3,23,20,.870,0,0,58:35
38,2014-11-22,8,27-323,COL,,CAR,W,,3,10,7,.700,0,0,16:50
39,2014-11-25,9,27-326,COL,@,ARI,W,,3,8,5,.625,0,0,10:53
40,2014-12-05,10,27-336,COL,@,WPG,L,,1,7,6,.857,0,0,16:42
41,2015-02-16,11,28-044,COL,,ARI,W,,1,12,11,.917,0,0,20:00
42,2015-02-24,12,28-052,COL,@,NSH,L,,0,11,11,1.000,0,0,16:59
43,2015-03-08,13,28-064,COL,@,MIN,W,,1,4,3,.750,0,0,5:44
44,2015-03-10,14,28-066,COL,,LAK,L,,2,22,20,.909,0,0,43:13
45,2015-03-25,15,28-081,COL,@,EDM,L,L,1,27,26,.963,0,0,49:08
46,2015-03-26,16,28-082,COL,@,VAN,W,W,1,34,33,.971,0,0,60:00
47,2015-04-01,17,28-088,COL,@,SJS,L,L,3,28,25,.893,0,0,58:49
48,2015-04-03,18,28-090,COL,@,ANA,W,W,2,37,35,.946,0,0,59:30
49,2015-04-09,19,28-096,COL,,WPG,W,W,0,41,41,1.000,1,0,65:00
50,2015-10-14,1,28-284,COL,,BOS,L,,0,5,5,1.000,0,0,22:22
51,2015-10-16,2,28-286,COL,@,ANA,W,W,0,35,35,1.000,1,0,60:00
52,2015-10-18,3,28-288,COL,@,LAK,L,L,2,40,38,.950,0,0,59:15
53,2015-10-27,4,28-297,COL,@,FLA,L,L,4,28,24,.857,0,0,59:32
54,2015-11-06,5,28-307,COL,,NYR,L,L,2,33,31,.939,0,0,58:18
55,2015-11-10,6,28-311,COL,@,PHI,W,W,0,25,25,1.000,1,0,60:00
56,2015-11-12,7,28-313,COL,@,BOS,W,W,2,27,25,.926,0,0,60:00
57,2015-11-14,8,28-315,COL,@,MTL,W,W,1,40,39,.975,0,0,60:00
58,2015-11-17,9,28-318,COL,@,TOR,L,L,4,26,22,.846,0,0,51:42
59,2015-11-19,10,28-320,COL,@,PIT,L,L,4,30,26,.867,0,0,56:49
60,2015-11-21,11,28-322,COL,@,WSH,L,L,4,11,7,.636,0,0,20:00
61,2015-11-25,12,28-326,COL,,OTT,L,L,1,13,12,.923,0,0,35:18
62,2015-12-01,13,28-332,COL,@,NJD,W,W,1,28,27,.964,0,0,60:00
63,2015-12-09,14,28-340,COL,,PIT,L,L,4,33,29,.879,0,2,57:27
64,2017-03-07,1,30-063,FLA,,NYR,L,,0,8,8,1.000,0,0,25:12
65,2017-03-21,2,30-077,FLA,,CAR,L,L,4,25,21,.840,0,0,58:38
66,2017-03-27,3,30-083,FLA,@,BUF,L,,0,10,10,1.000,0,0,23:27
67,2017-03-28,4,30-084,FLA,@,TOR,L,L,1,11,10,.909,0,0,27:37
68,2017-03-30,5,30-086,FLA,@,MTL,L,L,6,33,27,.818,0,0,60:00
69,2017-04-01,6,30-088,FLA,@,BOS,L,L,4,28,24,.857,0,0,59:03
70,2017-04-03,7,30-090,FLA,,MTL,L,L,3,30,27,.900,0,0,59:10
71,2017-10-13,1,30-283,ANA,@,COL,L,L,1,20,19,.950,0,0,38:58
72,2017-10-26,2,30-296,ANA,@,FLA,L,,2,5,3,.600,0,0,19:43
73,2017-11-09,3,30-310,ANA,,VAN,W,,0,6,6,1.000,0,0,8:32
74,2017-11-20,4,30-321,ANA,@,SJS,W,W,2,42,40,.952,0,0,64:57
75,2018-02-03,5,31-031,ANA,@,MTL,L,,2,22,20,.909,0,0,49:47
