,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-02-19,1,22-078,NJD,@,TOR,W,1,0,1,1,0,1,0,0,0,,,,6,16.7,25,13:21,,,,,
1,2001-02-22,2,22-081,NJD,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,14:59,,,,,
2,2001-02-23,3,22-082,NJD,@,CAR,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,21,16:18,,,,,
3,2001-02-26,4,22-085,NJD,,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:47,,,,,
4,2001-02-27,5,22-086,NJD,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:55,,,,,
5,2001-10-06,1,22-307,NJD,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,15,13:10,,,,,
6,2002-12-07,1,24-004,NJD,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,15,10:31,,,,,
7,2002-12-10,2,24-007,NJD,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:12,,,,,
8,2002-12-14,3,24-011,NJD,@,OTT,L-OT,0,1,1,1,0,0,0,0,0,,,,0,,13,9:10,,,,,
9,2002-12-18,4,24-015,NJD,,OTT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,15,12:34,,,,,
10,2002-12-19,5,24-016,NJD,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,18,11:57,,,,,
11,2002-12-21,6,24-018,NJD,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,10:42,,,,,
12,2002-12-23,7,24-020,NJD,@,NYR,T,0,0,0,0,0,0,0,0,0,,,,0,,10,8:50,,,,,
13,2002-12-27,8,24-024,NJD,@,WSH,L,0,0,0,0,0,0,0,0,0,,,,0,,14,11:46,,,,,
14,2002-12-28,9,24-025,NJD,,WSH,W,0,0,0,-1,0,0,0,0,0,,,,0,,11,7:44,,,,,
15,2002-12-30,10,24-027,NJD,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,11:37,,,,,
16,2003-01-03,11,24-031,NJD,,TOR,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,14,10:53,,,,,
17,2003-01-04,12,24-032,NJD,@,TOR,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,20,16:12,,,,,
18,2003-01-07,13,24-035,NJD,,MTL,W,0,1,1,0,2,0,0,0,0,,,,0,,15,11:38,,,,,
19,2003-01-10,14,24-038,NJD,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,8:45,,,,,
20,2003-01-11,15,24-039,NJD,@,TBL,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,18,12:01,,,,,
21,2003-01-13,16,24-041,NJD,,FLA,W,1,0,1,1,4,0,1,0,0,,,,2,50.0,14,10:56,,,,,
22,2003-01-15,17,24-043,NJD,,NYI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,18,12:22,,,,,
23,2003-01-17,18,24-045,NJD,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,15,10:50,,,,,
24,2003-01-18,19,24-046,NJD,,CAR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,17,11:35,,,,,
25,2003-01-22,20,24-050,NJD,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,12:01,,,,,
26,2003-01-24,21,24-052,NJD,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:34,,,,,
27,2003-01-25,22,24-053,NJD,@,LAK,L-OT,0,0,0,0,2,0,0,0,0,,,,2,0.0,18,15:27,,,,,
28,2003-01-28,23,24-056,NJD,,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,13:49,,,,,
29,2003-01-30,24,24-058,NJD,,PHI,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,17,12:29,,,,,
30,2003-02-04,25,24-063,NJD,,BUF,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,17,15:43,,,,,
31,2003-02-05,26,24-064,NJD,@,WSH,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,15:28,,,,,
32,2003-02-07,27,24-066,NJD,,ATL,L,0,0,0,-1,0,0,0,0,0,,,,0,,19,14:26,,,,,
33,2003-02-09,28,24-068,NJD,,MIN,W,0,0,0,1,0,0,0,0,0,,,,0,,19,15:07,,,,,
34,2003-02-11,29,24-070,NJD,@,COL,L,0,0,0,0,17,0,0,0,0,,,,1,0.0,17,13:09,,,,,
35,2003-02-12,30,24-071,NJD,@,PHX,W,1,0,1,1,0,1,0,0,0,,,,5,20.0,19,14:34,,,,,
36,2003-02-15,31,24-074,NJD,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,18,13:45,,,,,
37,2003-02-18,32,24-077,NJD,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:20,,,,,
38,2003-02-19,33,24-078,NJD,,OTT,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,18,13:14,,,,,
39,2003-02-21,34,24-080,NJD,,BOS,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,24,15:50,,,,,
40,2003-02-23,35,24-082,NJD,@,PIT,W,0,0,0,-2,0,0,0,0,0,,,,2,0.0,20,15:01,,,,,
41,2003-03-04,36,24-091,NJD,@,MIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,13,9:54,,,,,
42,2003-03-05,37,24-092,NJD,@,CGY,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,14,9:14,,,,,
43,2003-03-18,38,24-105,NJD,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,9,7:58,,,,,
44,2003-03-21,39,24-108,NJD,,PIT,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,18,13:30,,,,,
45,2003-03-22,40,24-109,NJD,@,NYI,W,0,1,1,1,0,0,0,0,0,,,,0,,14,8:58,,,,,
46,2003-03-24,41,24-111,NJD,@,FLA,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,17,10:26,,,,,
47,2003-03-27,42,24-114,NJD,@,TBL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,7:41,,,,,
48,2003-03-28,43,24-115,NJD,@,ATL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,7:30,,,,,
49,2003-04-06,44,24-124,NJD,@,BUF,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:57,,,,,
50,2003-12-12,1,25-009,NJD,,PHI,T,0,0,0,0,0,0,0,0,0,,,,0,,10,6:52,,,,,
51,2003-12-13,2,25-010,NJD,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:23,,,,,
52,2003-12-16,3,25-013,NJD,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,14,9:29,,,,,
53,2003-12-18,4,25-015,NJD,@,ATL,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,15,8:51,,,,,
54,2003-12-19,5,25-016,NJD,@,BUF,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,13,11:30,,,,,
55,2003-12-21,6,25-018,NJD,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,18,13:40,,,,,
56,2003-12-26,7,25-023,NJD,,NYI,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,6:50,,,,,
57,2004-03-13,8,25-101,NJD,@,PHI,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,12,9:02,,,,,
58,2004-03-15,9,25-103,NJD,@,NYR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,16,12:21,,,,,
59,2004-03-17,10,25-105,NJD,,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:42,,,,,
60,2004-03-28,11,25-116,NJD,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,16,11:38,,,,,
61,2004-04-04,12,25-123,NJD,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,13,7:45,,,,,
