,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2008-10-24,1,21-338,STL,,LAK,L,,2,17,15,.882,0,0,40:00
1,2008-10-25,2,21-339,STL,,FLA,W,W,0,12,12,1.000,0,0,44:33
2,2008-11-06,3,21-351,STL,@,SJS,L-SO,O,4,43,39,.907,0,0,64:56
3,2008-12-11,4,22-020,STL,@,LAK,L,,2,8,6,.750,0,0,20:00
4,2008-12-18,5,22-027,STL,@,WSH,L,L,4,29,25,.862,0,0,56:54
5,2009-03-14,6,22-113,STL,,DET,L,,0,3,3,1.000,0,0,18:36
6,2011-02-19,1,24-090,STL,,ANA,W,W,0,20,20,1.000,0,0,43:18
7,2011-02-21,2,24-092,STL,,CHI,L,L,4,18,14,.778,0,0,32:37
8,2011-02-25,3,24-096,STL,@,EDM,W,W,0,39,39,1.000,1,0,59:54
9,2011-02-27,4,24-098,STL,@,CGY,L,L,1,20,19,.950,0,0,58:15
10,2011-03-01,5,24-100,STL,,CGY,L,L,6,29,23,.793,0,0,59:56
11,2011-03-05,6,24-104,STL,@,NYI,L,L,5,22,17,.773,0,0,59:59
12,2011-03-07,7,24-106,STL,,CBJ,W,W,1,20,19,.950,0,0,54:50
13,2012-03-06,1,25-106,OTT,@,TBL,W,W,3,28,25,.893,0,0,60:00
14,2012-03-08,2,25-108,OTT,,NYR,W,W,1,26,25,.962,0,0,60:00
15,2012-03-10,3,25-110,OTT,,BUF,L-SO,O,3,41,38,.927,0,0,65:00
16,2012-03-14,4,25-114,OTT,@,MTL,L-SO,O,2,26,24,.923,0,0,65:00
17,2012-03-16,5,25-116,OTT,,MTL,W,W,1,14,13,.929,0,0,62:22
18,2012-03-17,6,25-117,OTT,,TOR,L,L,3,18,15,.833,0,0,58:18
19,2012-03-20,7,25-120,OTT,,NJD,L,L,1,34,33,.971,0,2,58:56
20,2012-03-23,8,25-123,OTT,@,MTL,L,\,2,9,7,.778,0,0,15:04
21,2012-03-24,9,25-124,OTT,,PIT,W,\,3,20,17,.850,0,0,29:23
22,2012-04-05,10,25-136,OTT,,BOS,L,L,3,27,24,.889,0,0,57:36
23,2013-01-25,1,26-065,OTT,@,TBL,L,L,5,30,25,.833,0,0,59:44
24,2013-02-09,2,26-080,OTT,,WPG,L,L,1,37,36,.973,0,0,58:53
25,2013-02-18,3,26-089,OTT,@,NJD,W,W,1,31,30,.968,0,0,65:00
26,2013-02-21,4,26-092,OTT,,NYR,W,W,2,13,11,.846,0,0,23:17
27,2013-02-23,5,26-094,OTT,,TOR,W,W,2,28,26,.929,0,0,60:00
