,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-01-17,1,24-186,NSH,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:01,2,0,0,0,
1,2015-02-10,2,24-210,NSH,,TBL,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,16,10:09,0,0,0,0,
2,2015-02-12,3,24-212,NSH,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,13:44,3,1,0,0,
3,2015-02-14,4,24-214,NSH,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,14:12,1,0,0,0,
4,2015-02-17,5,24-217,NSH,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:29,1,0,0,0,
5,2015-02-19,6,24-219,NSH,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:32,1,2,1,0,100.0
6,2015-02-22,7,24-222,NSH,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:20,1,0,0,0,
7,2015-10-20,1,25-097,NSH,,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,13:27,1,1,0,0,
8,2016-01-08,2,25-177,NSH,@,COL,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,12:02,1,1,0,0,
9,2016-01-12,3,25-181,NSH,@,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:38,3,2,0,0,
10,2016-01-14,4,25-183,NSH,@,WPG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,12:02,1,2,0,0,
11,2016-01-16,5,25-185,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:24,5,1,0,0,
12,2016-01-19,6,25-188,NSH,,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,11:47,1,2,0,0,
13,2016-02-04,7,25-204,NSH,,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,9:37,1,2,0,0,
14,2016-02-06,8,25-206,NSH,,SJS,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,19,14:54,0,1,0,0,
15,2016-02-09,9,25-209,NSH,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,9:08,0,0,0,0,
16,2016-02-12,10,25-212,NSH,@,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,12:05,3,0,0,0,
17,2016-02-13,11,25-213,NSH,@,FLA,W,0,1,1,0,5,0,0,0,0,1,0,0,0,,20,12:58,7,1,0,0,
18,2016-02-15,12,25-215,NSH,,DAL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:12,1,1,0,0,
19,2016-02-18,13,25-218,NSH,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:29,0,3,0,0,
20,2016-02-20,14,25-220,NSH,,LAK,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,10:43,1,2,0,0,
21,2016-02-22,15,25-222,NSH,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:47,1,0,0,0,
22,2016-02-23,16,25-223,NSH,@,TOR,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,13:09,1,2,0,0,
23,2016-02-25,17,25-225,NSH,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:31,1,5,0,0,
24,2016-02-27,18,25-227,NSH,,STL,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,22,16:19,6,0,0,0,
25,2016-03-01,19,25-230,NSH,,DAL,W,0,1,1,0,2,0,0,0,0,1,0,0,0,,16,12:49,1,1,0,0,
26,2016-03-03,20,25-232,NSH,,NJD,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,15:05,1,0,0,0,
27,2016-03-05,21,25-234,NSH,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:16,2,2,0,0,
28,2016-03-08,22,25-237,NSH,@,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:08,3,1,0,0,
29,2016-03-09,23,25-238,NSH,@,CGY,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,12:40,2,1,0,0,
30,2016-03-12,24,25-241,NSH,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:44,1,1,0,0,
31,2016-03-14,25,25-243,NSH,@,EDM,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,18,10:45,3,4,0,0,
32,2016-03-17,26,25-246,NSH,,NYI,W,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,13:15,5,2,0,0,
33,2016-04-07,27,25-267,NSH,,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:02,3,3,0,0,
34,2016-04-09,28,25-269,NSH,@,DAL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,16:49,7,0,0,0,
35,2016-10-14,1,26-091,NSH,,CHI,W,0,0,0,-1,5,0,0,0,0,0,0,0,0,,7,4:42,1,0,0,0,
36,2016-11-25,2,26-133,NSH,,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:40,5,2,0,0,
37,2016-11-27,3,26-135,NSH,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:31,1,0,0,0,
38,2016-11-29,4,26-137,NSH,@,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,8,4:44,0,1,0,0,
39,2017-01-05,5,26-174,NSH,@,TBL,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,23,15:07,1,3,0,0,
40,2017-01-06,6,26-175,NSH,@,FLA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:01,1,0,0,0,
41,2017-01-08,7,26-177,NSH,@,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:42,3,0,0,0,
42,2017-01-10,8,26-179,NSH,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:08,1,0,0,0,
43,2017-01-12,9,26-181,NSH,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,20:08,1,2,0,0,
44,2017-01-14,10,26-183,NSH,@,COL,W,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,26,15:36,1,2,0,0,
45,2017-01-17,11,26-186,NSH,@,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:22,2,0,0,0,
46,2017-01-19,12,26-188,NSH,@,CGY,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,19,13:46,0,2,0,0,
47,2017-01-20,13,26-189,NSH,@,EDM,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,10:21,1,0,0,0,
48,2017-01-22,14,26-191,NSH,@,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,11:21,2,1,0,0,
49,2017-01-24,15,26-193,NSH,,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:59,1,1,0,0,
50,2017-01-26,16,26-195,NSH,,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,8:33,2,0,0,0,
51,2017-01-31,17,26-200,NSH,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:30,0,2,0,0,
52,2017-02-02,18,26-202,NSH,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,13:30,1,0,0,0,
53,2017-03-04,19,26-232,NSH,,CHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,11:22,4,2,0,0,
54,2017-03-09,20,26-237,NSH,@,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,8:17,1,1,0,0,
55,2017-03-11,21,26-239,NSH,@,SJS,W,0,0,0,1,4,0,0,0,0,0,0,0,0,,17,10:26,4,1,0,0,
56,2017-03-13,22,26-241,NSH,,WPG,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,16,10:48,1,0,0,0,
57,2017-03-27,23,26-255,NSH,@,NYI,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,9:41,2,0,0,0,
58,2017-03-28,24,26-256,NSH,@,BOS,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,21,11:34,2,0,0,0,
59,2017-03-30,25,26-258,NSH,,TOR,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,7:52,2,0,0,0,
60,2017-04-01,26,26-260,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:26,0,1,0,0,
61,2017-04-02,27,26-261,NSH,@,STL,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,13:51,0,1,0,0,
62,2017-04-06,28,26-265,NSH,@,DAL,W,0,2,2,2,0,0,0,0,0,2,0,0,0,,24,17:16,2,2,0,0,
63,2017-04-08,29,26-267,NSH,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,17:04,1,0,0,0,
64,2017-10-07,1,27-084,NSH,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:13,2,0,0,0,
65,2017-10-14,2,27-091,NSH,@,CHI,L-OT,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,17,10:44,1,1,0,0,
66,2017-10-17,3,27-094,NSH,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:22,2,1,0,0,
67,2017-10-19,4,27-096,NSH,@,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,11:49,1,1,0,0,
68,2017-10-28,5,27-105,NSH,,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,16:48,0,2,0,0,
69,2017-11-14,6,27-122,NSH,,WSH,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,16:48,1,3,0,0,
70,2017-11-16,7,27-124,NSH,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:28,2,0,0,0,
71,2017-11-18,8,27-126,NSH,,COL,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,19,14:49,1,1,0,0,
72,2017-11-20,9,27-128,NSH,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,12:36,0,0,0,0,
73,2017-11-22,10,27-130,NSH,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,13:08,3,1,0,0,
74,2017-11-24,11,27-132,NSH,@,STL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,13:56,0,0,0,0,
75,2017-11-26,12,27-134,NSH,@,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:47,3,5,0,0,
76,2017-11-28,13,27-136,NSH,,CHI,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,16,12:59,1,0,0,0,
77,2017-11-30,14,27-138,NSH,,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:07,0,0,0,0,
78,2017-12-02,15,27-140,NSH,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:16,2,0,0,0,
79,2017-12-05,16,27-143,NSH,@,DAL,W,0,0,0,-1,5,0,0,0,0,0,0,0,0,,21,16:38,1,1,0,0,
80,2017-12-08,17,27-146,NSH,,VEG,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,10:39,0,0,0,0,
81,2017-12-14,18,27-152,NSH,@,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,15:04,1,3,0,0,
82,2017-12-16,19,27-154,NSH,@,CGY,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,18,12:08,0,2,0,0,
83,2017-12-23,20,27-161,NSH,@,DAL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:17,1,1,0,0,
84,2017-12-30,21,27-168,NSH,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,13:52,0,0,0,0,
85,2018-01-02,22,27-171,NSH,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:23,3,1,0,0,
86,2018-01-20,23,27-189,NSH,,FLA,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,21,16:08,1,1,0,0,
87,2018-02-17,24,27-217,NSH,,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,11:18,1,0,0,0,
88,2018-03-02,25,27-230,NSH,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,10:33,1,2,0,0,
89,2018-03-08,26,27-236,NSH,,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,9:18,1,0,0,0,
90,2018-03-15,27,27-243,NSH,@,ARI,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,13:16,2,2,0,0,
91,2018-03-19,28,27-247,NSH,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:15,1,0,0,0,
92,2018-03-24,29,27-252,NSH,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:45,1,0,0,0,
93,2018-03-25,30,27-253,NSH,@,WPG,L-SO,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,10:46,1,1,0,0,
94,2018-03-31,31,27-259,NSH,,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15:08,3,0,0,0,
95,2018-04-01,32,27-260,NSH,@,TBL,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,13:46,3,2,0,0,
96,2018-10-06,1,28-083,NSH,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,16,10:45,3,1,0,0,
97,2018-10-09,2,28-086,NSH,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:51,2,0,0,0,
98,2018-10-25,3,28-102,NSH,@,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,8:56,2,1,0,0,
99,2018-10-27,4,28-104,NSH,,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:06,2,0,0,0,
