,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2006-11-20,1,21-361,FLA,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:29,,,,,
1,2006-11-22,2,21-363,FLA,,TBL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,11:16,,,,,
2,2006-11-24,3,22-000,FLA,,OTT,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,14,9:28,,,,,
3,2006-11-25,4,22-001,FLA,@,ATL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,9:04,,,,,
4,2006-12-12,5,22-018,FLA,,ANA,L,0,1,1,-1,0,0,0,0,0,,,,3,0.0,12,7:08,,,,,
5,2006-12-14,6,22-020,FLA,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,7:18,,,,,
6,2006-12-16,7,22-022,FLA,@,BOS,W,0,0,0,-1,0,0,0,0,0,,,,0,,6,5:07,,,,,
7,2006-12-27,8,22-033,FLA,,PHI,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,15,11:10,,,,,
8,2006-12-29,9,22-035,FLA,,MTL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,15,11:11,,,,,
9,2007-01-02,10,22-039,FLA,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,18,12:38,,,,,
10,2007-01-04,11,22-041,FLA,@,CGY,L-OT,1,0,1,1,0,1,0,0,0,,,,1,100.0,22,14:52,,,,,
11,2007-01-07,12,22-044,FLA,@,VAN,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,18,13:25,,,,,
12,2007-01-10,13,22-047,FLA,,PIT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:07,,,,,
13,2007-01-11,14,22-048,FLA,@,CAR,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,20,12:22,,,,,
14,2007-01-13,15,22-050,FLA,,WSH,W,0,1,1,2,2,0,0,0,0,,,,2,0.0,18,10:41,,,,,
15,2007-01-20,16,22-057,FLA,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,9:37,,,,,
16,2007-01-27,17,22-064,FLA,,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,8:32,,,,,
17,2007-01-30,18,22-067,FLA,@,PIT,L,0,0,0,-1,4,0,0,0,0,,,,1,0.0,15,9:24,,,,,
18,2007-02-01,19,22-069,FLA,,WSH,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,6,4:33,,,,,
19,2007-02-03,20,22-071,FLA,,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,9:30,,,,,
20,2007-02-06,21,22-074,FLA,@,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,5:26,,,,,
21,2007-02-08,22,22-076,FLA,@,MIN,L,0,0,0,0,2,0,0,0,0,,,,0,,13,9:43,,,,,
22,2007-02-10,23,22-078,FLA,,PHX,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,11:11,,,,,
23,2007-02-13,24,22-081,FLA,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,6:57,,,,,
24,2007-02-14,25,22-082,FLA,@,OTT,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,9:38,,,,,
25,2007-02-17,26,22-085,FLA,,TBL,W,0,0,0,0,0,0,0,0,0,,,,0,,14,10:10,,,,,
26,2007-02-20,27,22-088,FLA,@,TBL,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0.0,14,9:09,,,,,
27,2007-02-22,28,22-090,FLA,,PIT,L-OT,0,0,0,0,0,0,0,0,0,,,,5,0.0,16,10:12,,,,,
28,2007-02-24,29,22-092,FLA,,BOS,W,0,0,0,0,0,0,0,0,0,,,,5,0.0,12,6:59,,,,,
29,2007-02-27,30,22-095,FLA,@,WSH,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,11,6:41,,,,,
30,2007-03-01,31,22-097,FLA,,DAL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,6:44,,,,,
31,2007-03-03,32,22-099,FLA,,TBL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,12,7:52,,,,,
32,2007-03-06,33,22-102,FLA,@,ATL,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,12,5:26,,,,,
33,2007-03-08,34,22-104,FLA,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,7,5:24,,,,,
34,2007-03-10,35,22-106,FLA,,ATL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,9,5:14,,,,,
35,2007-03-13,36,22-109,FLA,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,9,7:01,,,,,
36,2007-03-15,37,22-111,FLA,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:41,,,,,
37,2007-03-17,38,22-113,FLA,,NYI,W,0,2,2,2,0,0,0,0,0,,,,1,0.0,15,10:59,,,,,
38,2007-03-20,39,22-116,FLA,@,PHI,W,1,0,1,1,0,1,0,0,0,,,,4,25.0,12,8:38,,,,,
