,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2007-11-06,1,21-281,WSH,@,ATL,L-OT,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,11:58,2,0,0,0,
1,2007-11-08,2,21-283,WSH,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,9,5:33,1,0,0,0,
2,2007-11-10,3,21-285,WSH,,TBL,L,0,0,0,0,0,0,0,0,0,,,,0,,7,7:27,0,0,0,1,0.0
3,2008-02-26,4,22-028,WSH,,MIN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,9:48,1,1,0,0,
4,2008-10-18,1,22-263,WSH,,NJD,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,11:25,1,0,0,0,
5,2008-11-26,2,22-302,WSH,,ATL,W,0,0,0,-1,0,0,0,0,0,,,,3,0.0,16,11:42,2,0,0,0,
6,2008-11-28,3,22-304,WSH,,MTL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,13,12:14,1,1,0,0,
7,2008-11-29,4,22-305,WSH,@,CBJ,L,0,0,0,0,0,0,0,0,0,,,,0,,12,11:27,1,0,0,0,
8,2008-12-30,5,22-336,WSH,@,BUF,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,14,9:59,0,0,0,0,
9,2009-01-01,6,22-338,WSH,,TBL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:45,0,0,0,0,
10,2009-03-21,7,23-051,WSH,@,CAR,L,0,0,0,0,0,0,0,0,0,,,,0,,7,5:04,2,0,0,0,
11,2009-03-24,8,23-054,WSH,@,TOR,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,5:35,1,1,0,0,
12,2009-10-07,1,23-251,PIT,,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,11,9:42,2,0,0,0,
13,2009-10-14,2,23-258,PIT,@,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,9:22,0,,,,
14,2009-10-23,3,23-267,PIT,,FLA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,12,7:50,2,0,0,0,
15,2009-10-28,4,23-272,PIT,,MTL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,14,11:30,2,0,0,0,
16,2009-10-30,5,23-274,PIT,@,CBJ,W,0,0,0,0,4,0,0,0,0,,,,2,0.0,17,12:09,0,0,0,0,
17,2009-10-31,6,23-275,PIT,,MIN,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,15,12:10,2,2,0,0,
18,2009-11-03,7,23-278,PIT,@,ANA,W,0,0,0,-1,0,0,0,0,0,,,,0,,9,7:40,0,0,0,0,
19,2009-11-05,8,23-280,PIT,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,10,7:13,1,0,0,0,
20,2009-11-07,9,23-282,PIT,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,10,8:35,0,1,0,0,
21,2009-11-10,10,23-285,PIT,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,9:03,1,0,0,0,
22,2009-11-12,11,23-287,PIT,,NJD,L,0,1,1,1,0,0,0,0,0,,,,0,,13,12:18,2,1,0,0,
23,2009-11-14,12,23-289,PIT,,BOS,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,16,10:43,1,0,0,0,
24,2009-11-16,13,23-291,PIT,,ANA,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,12,9:28,1,0,0,0,
25,2009-11-19,14,23-294,PIT,@,OTT,L,0,0,0,-2,0,0,0,0,0,,,,0,,12,12:42,2,0,0,0,
26,2009-11-21,15,23-296,PIT,@,ATL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,16,11:35,2,0,0,0,
27,2009-11-23,16,23-298,PIT,@,FLA,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,11,9:18,0,0,0,0,
28,2009-11-25,17,23-300,PIT,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,12,9:21,2,0,0,0,
29,2009-11-27,18,23-302,PIT,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,9,9:15,1,0,0,0,
30,2009-11-30,19,23-305,PIT,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,9,7:13,2,0,0,0,
31,2009-12-03,20,23-308,PIT,,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,8,4:26,1,0,0,0,
32,2010-02-11,21,24-013,WSH,@,OTT,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,12,9:37,1,1,0,0,
33,2013-01-19,1,26-356,BOS,,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,18,12:46,1,0,0,0,
34,2013-01-21,2,26-358,BOS,,WPG,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:16,5,0,0,0,
35,2013-01-23,3,26-360,BOS,@,NYR,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,17,12:18,1,0,0,0,
36,2013-01-25,4,26-362,BOS,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,0,,14,12:04,3,0,0,0,
37,2013-01-28,5,26-365,BOS,@,CAR,W,0,0,0,-1,2,0,0,0,0,,,,1,0.0,15,10:30,1,0,0,0,
38,2013-01-29,6,27-000,BOS,,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:55,1,0,0,0,
39,2013-02-02,7,27-004,BOS,@,TOR,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,20,13:05,1,0,0,1,0.0
40,2013-02-06,8,27-008,BOS,@,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,12:35,1,0,0,0,
41,2013-02-10,9,27-012,BOS,@,BUF,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,17,13:58,2,1,0,0,
42,2013-02-12,10,27-014,BOS,,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,10:31,3,0,0,0,
43,2013-02-15,11,27-017,BOS,@,BUF,L,0,0,0,-2,0,0,0,0,0,,,,4,0.0,19,14:02,2,2,0,0,
44,2013-02-17,12,27-019,BOS,@,WPG,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,21,15:04,2,2,0,0,
45,2013-02-21,13,27-023,BOS,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:30,0,0,0,0,
46,2013-02-24,14,27-026,BOS,@,FLA,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,12:07,1,1,0,0,
47,2013-02-26,15,27-028,BOS,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,13:29,0,0,0,0,
48,2013-02-28,16,27-030,BOS,,OTT,W,0,0,0,0,4,0,0,0,0,,,,4,0.0,17,12:00,0,0,0,0,
49,2013-03-02,17,27-032,BOS,,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,7:17,0,0,0,0,
50,2013-03-05,18,27-035,BOS,@,WSH,L-OT,0,0,0,-2,0,0,0,0,0,,,,0,,15,8:55,1,1,0,0,
