,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2011-12-28,1,21-096,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,10,8:05,0,1,0,0,
1,2011-12-30,2,21-098,NSH,@,STL,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,19,13:56,0,1,0,0,
2,2012-01-01,3,21-100,NSH,,CGY,W,0,0,0,1,0,0,0,0,0,,,,0,,22,15:44,1,1,0,0,
3,2012-01-05,4,21-104,NSH,,DAL,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,16,14:51,1,0,0,0,
4,2012-01-07,5,21-106,NSH,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,11:51,1,0,0,0,
5,2012-01-10,6,21-109,NSH,@,COL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,21,14:38,0,1,0,0,
6,2012-01-12,7,21-111,NSH,,COL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,14:15,3,0,0,0,
7,2012-01-14,8,21-113,NSH,,PHI,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,19,12:10,2,2,0,0,
8,2012-01-16,9,21-115,NSH,@,NYI,W,0,0,0,-1,2,0,0,0,0,,,,2,0.0,19,12:50,2,1,0,0,
9,2012-01-17,10,21-116,NSH,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,12:54,2,0,0,0,
10,2012-01-19,11,21-118,NSH,@,CBJ,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,13:56,2,1,0,0,
11,2012-01-21,12,21-120,NSH,,CHI,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,18,13:05,1,0,0,0,
12,2012-01-23,13,21-122,NSH,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,14:13,2,0,0,0,
13,2012-01-24,14,21-123,NSH,@,CHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,12:04,3,0,0,0,
14,2012-01-31,15,21-130,NSH,@,MIN,W,0,0,0,0,0,0,0,0,0,,,,0,,19,11:52,1,0,0,0,
15,2012-02-02,16,21-132,NSH,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,10:20,1,3,0,0,
16,2012-02-09,17,21-139,NSH,@,OTT,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,19,13:22,1,0,0,0,
17,2012-02-11,18,21-141,NSH,@,BOS,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,16,13:11,1,0,0,1,0.0
18,2012-02-14,19,21-144,NSH,,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,21,13:52,1,0,0,0,
