,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-01-05,1,21-131,LAK,@,NYI,W,0,0,0,0,2,0,0,0,0,,,,0,,9,5:50,,,,,
1,2002-01-09,2,21-135,LAK,@,NYR,W,0,0,0,1,5,0,0,0,0,,,,0,,12,6:46,,,,,
2,2002-01-10,3,21-136,LAK,@,BOS,L,0,0,0,0,15,0,0,0,0,,,,0,,4,2:36,,,,,
3,2002-01-12,4,21-138,LAK,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,6,3:28,,,,,
4,2002-11-29,1,22-094,LAK,@,MDA,T,0,0,0,0,4,0,0,0,0,,,,1,0.0,7,1:38,,,,,
5,2002-11-30,2,22-095,LAK,,CHI,W,0,0,0,0,5,0,0,0,0,,,,0,,7,3:42,,,,,
6,2002-12-19,3,22-114,LAK,,MDA,W,0,0,0,1,5,0,0,0,0,,,,0,,7,2:34,,,,,
7,2002-12-22,4,22-117,LAK,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,6:56,,,,,
8,2002-12-23,5,22-118,LAK,@,STL,L,0,0,0,-1,2,0,0,0,0,,,,0,,13,7:00,,,,,
9,2002-12-26,6,22-121,LAK,,PHX,W,0,0,0,0,5,0,0,0,0,,,,0,,9,5:55,,,,,
10,2002-12-29,7,22-124,LAK,@,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,15,9:12,,,,,
11,2002-12-30,8,22-125,LAK,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,7:53,,,,,
12,2003-01-02,9,22-128,LAK,,PHI,L,0,0,0,0,10,0,0,0,0,,,,1,0.0,12,7:57,,,,,
13,2003-01-04,10,22-130,LAK,,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,9,5:41,,,,,
14,2003-01-11,11,22-137,LAK,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:34,,,,,
15,2003-01-13,12,22-139,LAK,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,7,3:26,,,,,
16,2003-01-16,13,22-142,LAK,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,1,0:50,,,,,
17,2003-02-07,14,22-164,LAK,,CAR,W,0,0,0,1,14,0,0,0,0,,,,0,,8,6:06,,,,,
18,2003-02-09,15,22-166,LAK,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,5,3:35,,,,,
19,2003-02-11,16,22-168,LAK,@,NSH,W,0,0,0,0,5,0,0,0,0,,,,0,,5,3:49,,,,,
20,2003-02-13,17,22-170,LAK,,CGY,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,5,3:05,,,,,
21,2003-02-15,18,22-172,LAK,,NYI,L,0,0,0,0,5,0,0,0,0,,,,1,0.0,6,3:50,,,,,
22,2003-02-17,19,22-174,LAK,,SJS,W,0,0,0,-1,2,0,0,0,0,,,,0,,8,4:51,,,,,
23,2003-10-09,1,23-043,LAK,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,7,4:36,,,,,
24,2003-10-21,2,23-055,LAK,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,9,5:48,,,,,
25,2003-10-23,3,23-057,LAK,,BUF,L,0,0,0,0,17,0,0,0,0,,,,0,,4,2:02,,,,,
26,2003-10-25,4,23-059,LAK,,CHI,L,0,0,0,0,5,0,0,0,0,,,,2,0.0,6,3:42,,,,,
27,2003-11-19,5,23-084,LAK,,NSH,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,12,7:37,,,,,
28,2003-11-22,6,23-087,LAK,@,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,5,2:49,,,,,
29,2003-11-25,7,23-090,LAK,,NJD,L,0,0,0,-1,2,0,0,0,0,,,,0,,12,6:20,,,,,
30,2003-11-27,8,23-092,LAK,@,PHX,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,11,6:51,,,,,
31,2003-11-29,9,23-094,LAK,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,8,5:27,,,,,
32,2003-11-30,10,23-095,LAK,@,DAL,W,0,0,0,0,0,0,0,0,0,,,,0,,5,2:09,,,,,
33,2003-12-20,11,23-115,LAK,,COL,T,0,0,0,0,22,0,0,0,0,,,,0,,4,1:29,,,,,
