,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2000-11-21,1,21-208,VAN,@,STL,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,7,4:48,,,,,
1,2001-10-23,1,22-179,VAN,,NSH,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,10,5:56,,,,,
2,2001-10-25,2,22-181,VAN,@,COL,L,0,0,0,0,0,0,0,0,0,,,,0,,7,3:27,,,,,
3,2001-10-27,3,22-183,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:09,,,,,
4,2001-12-20,4,22-237,VAN,@,NSH,L,0,0,0,0,6,0,0,0,0,,,,0,,8,5:42,,,,,
5,2001-12-22,5,22-239,VAN,,MIN,L,0,0,0,1,0,0,0,0,0,,,,0,,5,3:35,,,,,
6,2001-12-27,6,22-244,VAN,,CGY,W,0,0,0,0,4,0,0,0,0,,,,0,,10,5:41,,,,,
7,2001-12-31,7,22-248,VAN,,PHI,L,0,0,0,0,5,0,0,0,0,,,,0,,7,3:13,,,,,
8,2002-01-05,8,22-253,VAN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,4,2:39,,,,,
9,2002-01-09,9,22-257,VAN,@,DET,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,2,0:51,,,,,
10,2002-01-12,10,22-260,VAN,,CAR,W,0,0,0,0,5,0,0,0,0,,,,0,,5,2:57,,,,,
11,2002-02-26,11,22-305,VAN,,STL,T,0,0,0,0,0,0,0,0,0,,,,0,,6,4:22,,,,,
12,2002-03-02,12,22-309,VAN,,MIN,W,0,0,0,0,5,0,0,0,0,,,,0,,5,1:22,,,,,
13,2002-03-07,13,22-314,VAN,@,PHX,L,0,0,0,0,20,0,0,0,0,,,,0,,5,2:17,,,,,
14,2002-03-10,14,22-317,VAN,,SJS,L,0,0,0,0,22,0,0,0,0,,,,0,,3,1:45,,,,,
15,2002-03-24,15,22-331,VAN,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,1,0:23,,,,,
16,2002-11-08,1,23-195,MDA,@,COL,W,0,0,0,0,7,0,0,0,0,,,,1,0.0,11,4:46,,,,,
17,2002-11-10,2,23-197,MDA,,MIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,7,4:41,,,,,
18,2002-11-12,3,23-199,MDA,@,NJD,L-OT,0,0,0,0,5,0,0,0,0,,,,1,0.0,13,7:13,,,,,
19,2002-11-17,4,23-204,MDA,@,ATL,W,0,1,1,2,5,0,0,0,0,,,,0,,15,6:46,,,,,
20,2002-11-19,5,23-206,MDA,@,NYR,L-OT,0,0,0,-1,7,0,0,0,0,,,,0,,8,4:42,,,,,
21,2002-11-27,6,23-214,MDA,,PHX,T,0,0,0,0,0,0,0,0,0,,,,0,,6,3:10,,,,,
22,2002-12-22,7,23-239,MDA,,PHX,W,1,0,1,1,5,1,0,0,1,,,,1,100.0,11,5:33,,,,,
23,2002-12-26,8,23-243,MDA,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,0,,9,5:29,,,,,
24,2002-12-28,9,23-245,MDA,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,10,6:33,,,,,
25,2002-12-29,10,23-246,MDA,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,8,3:29,,,,,
26,2003-01-20,11,23-268,MDA,,MIN,L-OT,0,0,0,0,2,0,0,0,0,,,,1,0.0,10,5:01,,,,,
27,2003-01-22,12,23-270,MDA,,LAK,W,0,0,0,-1,7,0,0,0,0,,,,0,,11,5:16,,,,,
28,2003-01-24,13,23-272,MDA,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,10,5:47,,,,,
29,2003-01-30,14,23-278,MDA,@,SJS,W,0,0,0,-1,0,0,0,0,0,,,,0,,3,1:10,,,,,
30,2003-02-28,15,23-307,MDA,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,0,,6,4:01,,,,,
31,2003-03-04,16,23-311,MDA,@,LAK,W,0,0,0,0,6,0,0,0,0,,,,0,,10,5:55,,,,,
32,2006-04-08,1,26-346,CHI,@,NSH,L-SO,0,1,1,1,9,0,0,0,0,,,,0,,11,4:45,,,,,
33,2006-04-11,2,26-349,CHI,@,MIN,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,12,6:59,,,,,
