,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-10-10,1,22-134,CAR,,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,10:05,2,1,0,0,
1,2014-10-11,2,22-135,CAR,@,NYI,L,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,15,11:18,3,0,0,0,
2,2014-10-14,3,22-138,CAR,,BUF,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,14,11:49,0,0,0,1,0.0
3,2014-10-16,4,22-140,CAR,@,NYR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,5:18,2,1,0,0,
4,2014-10-21,5,22-145,CAR,@,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,4:59,1,0,0,1,0.0
5,2014-10-23,6,22-147,CAR,@,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:48,3,0,0,0,
6,2014-10-24,7,22-148,CAR,@,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,5:53,0,0,0,0,
7,2016-03-26,1,23-302,CAR,,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:37,1,0,0,0,
8,2016-03-27,2,23-303,CAR,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:10,2,2,0,0,
9,2016-03-29,3,23-305,CAR,@,NYI,L-SO,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,18,11:48,2,0,0,0,
10,2016-03-31,4,23-307,CAR,,NYR,W,1,1,2,3,0,1,0,0,0,1,0,0,2,50.0,20,12:21,2,0,0,0,
11,2016-04-02,5,23-309,CAR,,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:59,0,1,0,0,
12,2016-04-05,6,23-312,CAR,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:33,2,1,0,0,
13,2016-04-07,7,23-314,CAR,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,13:46,2,2,0,0,
14,2017-03-01,1,24-276,CAR,@,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:18,3,2,0,0,
15,2017-03-03,2,24-278,CAR,,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,10:37,2,0,0,0,
16,2017-03-05,3,24-280,CAR,@,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,8:09,1,0,0,0,
17,2017-03-07,4,24-282,CAR,@,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:19,0,0,0,0,
18,2017-03-09,5,24-284,CAR,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:55,4,1,0,0,
19,2017-03-11,6,24-286,CAR,,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,6:30,1,1,0,0,
20,2017-03-13,7,24-288,CAR,@,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:25,1,0,0,0,
21,2017-03-14,8,24-289,CAR,,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:23,3,0,0,0,
22,2017-03-16,9,24-291,CAR,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:34,2,0,0,0,
23,2017-03-18,10,24-293,CAR,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:59,0,0,3,1,75.0
24,2017-03-19,11,24-294,CAR,@,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,13:06,5,0,1,2,33.3
25,2017-03-21,12,24-296,CAR,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:35,1,1,4,1,80.0
26,2017-03-23,13,24-298,CAR,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:19,5,0,0,0,
27,2017-03-25,14,24-300,CAR,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:51,2,0,1,2,33.3
28,2020-02-23,1,27-270,VEG,@,ANA,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,14,10:04,6,0,0,0,
