,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2005-10-08,1,23-020,COL,@,DAL,W,W,2,18,16,.889,0,0,60:00
1,2005-10-14,2,23-026,COL,,CHI,L-SO,O,2,40,38,.950,0,0,64:36
2,2005-10-22,3,23-034,COL,@,VAN,L,L,5,22,17,.773,0,0,58:31
3,2005-11-05,4,23-048,COL,,DAL,L-SO,O,2,35,33,.943,0,2,64:34
4,2005-11-12,5,23-055,COL,@,CGY,L,L,2,16,14,.875,0,0,42:45
5,2005-11-16,6,23-059,COL,@,PHX,W,W,1,22,21,.955,0,0,60:00
6,2005-11-18,7,23-061,COL,@,MDA,W,W,2,33,31,.939,0,0,59:55
7,2005-11-21,8,23-064,COL,,CGY,L-SO,O,2,34,32,.941,0,0,64:41
8,2005-11-23,9,23-066,COL,@,DET,L,L,6,28,22,.786,0,0,59:39
9,2005-12-04,10,23-077,COL,,BUF,L,L,1,13,12,.923,0,0,39:01
10,2005-12-17,11,23-090,COL,@,NYI,L,,0,6,6,1.000,0,0,14:17
11,2005-12-22,12,23-095,COL,,MIN,W,W,3,30,27,.900,0,0,59:54
12,2005-12-23,13,23-096,COL,@,MIN,L,L,5,24,19,.792,0,0,60:00
13,2005-12-26,14,23-099,COL,,PHX,W,W,2,28,26,.929,0,0,56:31
14,2005-12-28,15,23-101,COL,,LAK,L,,2,4,2,.500,0,0,11:05
15,2005-12-31,16,23-104,COL,@,PHX,W,W,2,32,30,.938,0,0,60:00
16,2006-01-24,17,23-128,COL,,CGY,W,,0,0,0,,0,0,0:32
17,2006-01-26,18,23-130,COL,,DAL,L-SO,O,2,30,28,.933,0,0,65:00
18,2006-02-10,19,23-145,COL,@,CBJ,W,W,1,29,28,.966,0,0,60:00
19,2006-03-04,20,23-167,COL,@,DAL,L,L,5,31,26,.839,0,0,60:00
20,2006-03-09,21,23-172,COL,@,CHI,W,W,1,27,26,.963,0,0,60:00
21,2006-03-12,22,23-175,COL,,CGY,W,W,0,33,33,1.000,1,0,59:16
22,2006-03-13,23,23-176,COL,@,CGY,L,L,4,30,26,.867,0,0,58:54
23,2006-03-19,24,23-182,COL,@,SJS,L,L,6,33,27,.818,0,0,59:10
24,2006-03-20,25,23-183,COL,@,LAK,W,W,0,21,21,1.000,1,2,60:00
25,2006-03-22,26,23-185,COL,@,MDA,L-OT,O,5,36,31,.861,0,0,63:22
26,2006-03-25,27,23-188,COL,@,STL,W,W,2,28,26,.929,0,0,60:57
27,2006-03-26,28,23-189,COL,,EDM,L-SO,O,3,27,24,.889,0,0,64:54
28,2006-03-28,29,23-191,COL,,MDA,W,W,3,31,28,.903,0,0,59:53
29,2006-03-31,30,23-194,COL,@,CGY,L,L,6,29,23,.793,0,0,52:06
30,2006-04-03,31,23-197,COL,,CHI,W,W,3,26,23,.885,0,0,58:54
31,2006-04-05,32,23-199,COL,,SJS,L,L,2,32,30,.938,0,0,59:29
32,2006-04-08,33,23-202,COL,,STL,W,W,2,33,31,.939,0,0,59:35
33,2006-04-09,34,23-203,COL,,MIN,L,,2,3,1,.333,0,0,5:17
34,2006-10-05,1,24-017,COL,@,MIN,L-OT,O,3,33,30,.909,0,0,60:53
35,2006-10-18,2,24-030,COL,@,TOR,W,W,1,28,27,.964,0,0,59:40
36,2006-10-23,3,24-035,COL,,LAK,W,W,1,28,27,.964,0,0,59:54
37,2006-10-25,4,24-037,COL,,WSH,L,L,4,29,25,.862,0,0,58:48
38,2006-11-02,5,24-045,COL,@,STL,L,L,4,29,25,.862,0,0,59:48
39,2006-11-07,6,24-050,COL,,LAK,L,L,1,9,8,.889,0,0,18:29
40,2006-11-17,7,24-060,COL,@,CBJ,W,W,0,25,25,1.000,1,0,60:00
41,2006-11-18,8,24-061,COL,@,MIN,W,W,1,29,28,.966,0,0,65:00
42,2006-11-20,9,24-063,COL,@,DAL,L,L,5,31,26,.839,0,0,58:50
43,2006-11-30,10,24-073,COL,@,EDM,W,W,3,24,21,.875,0,0,59:53
44,2006-12-02,11,24-075,COL,@,VAN,L,L,2,18,16,.889,0,0,39:34
45,2006-12-05,12,24-078,COL,,CBJ,L,L,3,21,18,.857,0,0,60:00
46,2006-12-11,13,24-084,COL,,CAR,W,W,2,28,26,.929,0,0,59:49
47,2006-12-13,14,24-086,COL,,STL,W,W,1,26,25,.962,0,0,60:00
48,2006-12-15,15,24-088,COL,,EDM,W,W,1,19,18,.947,0,0,60:00
49,2006-12-19,16,24-092,COL,@,EDM,W,W,6,37,31,.838,0,0,60:00
50,2006-12-27,17,24-100,COL,,DAL,L,,0,5,5,1.000,0,0,17:23
51,2006-12-29,18,24-102,COL,,STL,L,L,3,19,16,.842,0,0,59:03
52,2006-12-30,19,24-103,COL,@,STL,L,L,2,22,20,.909,0,0,60:00
53,2007-01-01,20,24-105,COL,@,NSH,W,W,3,29,26,.897,0,0,60:00
54,2007-01-05,21,24-109,COL,,TBL,W,W,2,28,26,.929,0,0,60:00
55,2007-01-06,22,24-110,COL,@,MIN,W,W,1,25,24,.960,0,0,65:00
56,2007-01-09,23,24-113,COL,,DET,L-SO,O,3,43,40,.930,0,0,64:50
57,2007-01-11,24,24-115,COL,,CGY,L,L,5,17,12,.706,0,0,32:01
58,2007-01-13,25,24-117,COL,@,ANA,W,W,2,40,38,.950,0,0,65:00
59,2007-01-15,26,24-119,COL,@,SJS,L,L,3,42,39,.929,0,0,58:59
60,2007-01-17,27,24-121,COL,,PHX,W,W,3,32,29,.906,0,0,60:00
61,2007-01-20,28,24-124,COL,,DET,W,W,1,28,27,.964,0,0,59:55
62,2007-01-26,29,24-130,COL,,PHX,L-SO,O,4,29,25,.862,0,0,65:00
63,2007-01-30,30,24-134,COL,,NSH,W,W,3,37,34,.919,0,0,60:00
64,2007-02-01,31,24-136,COL,,MIN,L,L,4,36,32,.889,0,0,59:27
65,2007-02-03,32,24-138,COL,,EDM,L,L,3,28,25,.893,0,0,58:35
66,2007-02-08,33,24-143,COL,,ATL,L,L,2,20,18,.900,0,0,39:38
67,2007-02-11,34,24-146,COL,@,DAL,L,,4,15,11,.733,0,0,26:01
68,2007-02-13,35,24-148,COL,,ANA,W,W,0,39,39,1.000,1,0,60:00
69,2007-02-15,36,24-150,COL,@,CGY,W,,4,20,16,.800,0,0,35:02
70,2007-02-17,37,24-152,COL,@,CGY,L,L,4,29,25,.862,0,0,59:36
71,2007-02-20,38,24-155,COL,,CGY,W,W,3,36,33,.917,0,0,60:00
72,2007-02-22,39,24-157,COL,,MIN,L,L,4,23,19,.826,0,0,59:01
73,2007-02-24,40,24-159,COL,@,LAK,L-SO,O,5,39,34,.872,0,0,65:00
74,2007-02-27,41,24-162,COL,,CBJ,W,W,2,23,21,.913,0,0,60:00
75,2007-03-01,42,24-164,COL,@,CHI,W,W,1,24,23,.958,0,0,60:00
76,2007-03-04,43,24-167,COL,@,DET,W,W,3,34,31,.912,0,0,62:41
77,2007-03-06,44,24-169,COL,@,BOS,W,W,0,21,21,1.000,1,0,59:57
78,2007-03-07,45,24-170,COL,@,BUF,W,W,2,21,19,.905,0,0,60:00
79,2007-03-11,46,24-174,COL,@,MIN,L-OT,O,3,29,26,.897,0,0,64:36
80,2007-03-14,47,24-177,COL,,CGY,W,W,2,19,17,.895,0,0,60:00
81,2007-03-17,48,24-180,COL,@,PHX,W,W,3,34,31,.912,0,0,60:00
82,2007-03-18,49,24-181,COL,,SJS,W,W,3,24,21,.875,0,0,60:08
83,2007-03-21,50,24-184,COL,@,EDM,W,W,1,23,22,.957,0,0,59:57
84,2007-03-23,51,24-186,COL,@,EDM,L-SO,O,3,22,19,.864,0,0,64:17
85,2007-03-25,52,24-188,COL,@,VAN,W,,3,13,10,.769,0,0,17:47
86,2007-03-29,53,24-192,COL,@,PHX,W,W,3,23,20,.870,0,0,59:56
87,2007-03-31,54,24-194,COL,,MIN,W,W,1,24,23,.958,0,0,59:54
88,2007-04-03,55,24-197,COL,@,CGY,W,W,3,21,18,.857,0,0,60:00
89,2007-04-05,56,24-199,COL,@,VAN,W,W,1,18,17,.944,0,0,59:46
90,2007-04-07,57,24-201,COL,,NSH,L,L,3,31,28,.903,0,0,59:26
91,2007-10-03,1,25-015,COL,,DAL,W,W,3,34,31,.912,0,0,60:00
