,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2011-10-08,1,19-165,MIN,,CBJ,W,0,0,0,0,0,0,0,0,0,,,,0,,13,11:06,1,0,0,0,
1,2011-10-10,2,19-167,MIN,@,NYI,L,0,1,1,0,2,0,0,0,0,,,,1,0.0,23,13:35,2,0,0,0,
2,2011-10-11,3,19-168,MIN,@,OTT,L-SO,0,0,0,-1,2,0,0,0,0,,,,0,,18,11:48,4,0,0,0,
3,2011-10-13,4,19-170,MIN,,EDM,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,9,4:27,2,0,0,0,
4,2011-10-15,5,19-172,MIN,,DET,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,10,8:08,1,0,0,0,
5,2011-10-18,6,19-175,MIN,,PIT,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,14,8:44,1,1,0,0,
6,2011-10-20,7,19-177,MIN,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,0,,18,14:00,3,0,0,0,
7,2011-10-22,8,19-179,MIN,@,VAN,L-OT,0,1,1,1,0,0,0,0,0,,,,1,0.0,23,16:54,2,1,0,0,
8,2011-10-27,9,19-184,MIN,,ANA,L,0,0,0,0,2,0,0,0,0,,,,0,,16,10:35,1,0,0,0,
9,2013-12-12,1,21-230,MIN,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:18,4,0,0,0,
10,2013-12-14,2,21-232,MIN,@,COL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,14:58,5,2,0,0,
11,2013-12-17,3,21-235,MIN,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,13:06,3,0,0,0,
12,2013-12-19,4,21-237,MIN,@,PIT,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,15,8:47,2,0,0,0,
13,2014-01-04,5,21-253,MIN,,WSH,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,11,6:18,0,0,0,0,
14,2015-11-17,1,23-205,MIN,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:07,0,0,0,0,
15,2015-11-19,2,23-207,MIN,@,BOS,L,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,10,6:22,1,0,0,0,
16,2015-11-21,3,23-209,MIN,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,8:40,1,0,0,0,
