,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-10-06,1,26-316,OTT,,QUE,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1993-10-14,2,26-324,OTT,@,FLA,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
2,1993-10-16,3,26-326,OTT,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
3,1993-10-21,4,26-331,OTT,,DAL,L,0,1,1,0,2,0,0,0,0,,,,4,0.0,,,,,,,
4,1993-10-23,5,26-333,OTT,@,NYI,T,1,0,1,2,0,1,0,0,0,,,,3,33.3,,,,,,,
5,1993-10-25,6,26-335,OTT,,MDA,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1993-10-27,7,26-337,OTT,,PHI,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
7,1993-10-28,8,26-338,OTT,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1993-10-30,9,26-340,OTT,@,DAL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1993-11-03,10,26-344,OTT,@,EDM,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
10,1993-11-05,11,26-346,OTT,@,WIN,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,,,,,,,
11,1993-11-15,12,26-356,OTT,,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1993-11-17,13,26-358,OTT,,NYI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
13,1993-11-18,14,26-359,OTT,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
14,1993-11-22,15,26-363,OTT,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1993-11-24,16,27-000,OTT,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
16,1993-12-06,17,27-012,OTT,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
17,1993-12-09,18,27-015,OTT,vs.,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
18,1993-12-30,19,27-036,OTT,,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
19,1994-01-01,20,27-038,OTT,,NJD,L,0,1,1,0,0,0,0,0,0,,,,4,0.0,,,,,,,
20,1994-01-03,21,27-040,OTT,,PIT,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
21,1994-03-05,22,27-101,OTT,@,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1994-03-10,23,27-106,OTT,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
