,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2010-04-01,1,22-340,OTT,,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,9:09,0,0,0,0,
1,2010-04-03,2,22-342,OTT,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,0,,10,7:32,1,0,0,0,
2,2010-12-05,1,23-223,OTT,@,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,17,14:25,1,0,0,0,
3,2010-12-07,2,23-225,OTT,@,MTL,L,0,0,0,-1,0,0,0,0,0,,,,0,,13,7:51,1,0,0,0,
4,2010-12-09,3,23-227,OTT,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,17,15:40,1,0,0,0,
5,2010-12-10,4,23-228,OTT,,NJD,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,9,7:53,0,1,0,0,
6,2011-01-18,5,23-267,OTT,,ANA,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0.0,22,18:47,1,0,0,1,0.0
7,2011-01-20,6,23-269,OTT,@,PHI,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,17,13:23,0,0,0,0,
8,2011-01-21,7,23-270,OTT,,MTL,L,0,0,0,-2,0,0,0,0,0,,,,6,0.0,18,15:55,2,1,0,0,
9,2011-01-25,8,23-274,OTT,,BUF,L-OT,0,0,0,-1,0,0,0,0,0,,,,2,0.0,11,10:40,0,0,0,0,
10,2011-02-09,9,23-289,OTT,@,CGY,L,0,0,0,-2,2,0,0,0,0,,,,0,,17,12:26,0,2,0,0,
11,2011-02-12,10,23-292,OTT,@,EDM,W,1,1,2,0,0,1,0,0,0,,,,4,25.0,18,15:29,0,0,0,0,
12,2011-02-15,11,23-295,OTT,,NYI,L-SO,1,1,2,-2,0,0,1,0,0,,,,2,50.0,20,12:55,1,0,0,0,
13,2011-02-18,12,23-298,OTT,,BOS,L,1,0,1,-1,0,1,0,0,0,,,,3,33.3,21,17:39,1,0,0,0,
14,2011-02-19,13,23-299,OTT,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,0,,15,13:57,1,0,0,0,
15,2011-02-23,14,23-303,OTT,,FLA,W,2,0,2,2,0,2,0,0,0,,,,7,28.6,20,16:55,1,0,0,0,
16,2011-02-25,15,23-305,OTT,@,BUF,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,21,19:31,2,1,0,1,0.0
17,2011-02-26,16,23-306,OTT,,PHI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,18,17:52,2,0,0,0,
18,2011-03-01,17,23-309,OTT,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,18:52,1,1,0,0,
19,2011-03-03,18,23-311,OTT,@,ATL,W,1,0,1,2,0,1,0,0,1,,,,2,50.0,14,14:28,0,0,0,0,
20,2011-03-04,19,23-312,OTT,,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,18:31,1,1,0,0,
21,2011-03-08,20,23-316,OTT,@,NJD,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,16:23,1,0,0,0,
22,2011-03-10,21,23-318,OTT,@,FLA,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,16,14:43,0,0,0,0,
