,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-12,1,24-328,SJS,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:27,1,0,0,2,0.0
1,2016-11-26,1,25-313,SJS,,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:29,3,0,3,2,60.0
2,2016-11-29,2,25-316,SJS,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,8:29,2,0,2,0,100.0
3,2016-11-30,3,25-317,SJS,@,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,11:38,3,0,5,7,41.7
4,2017-01-18,4,26-000,SJS,@,LAK,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,23,12:00,1,1,2,2,50.0
5,2017-01-19,5,26-001,SJS,,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,14,8:33,1,0,3,2,60.0
6,2017-01-21,6,26-003,SJS,,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,12:13,1,0,1,4,20.0
7,2017-01-24,7,26-006,SJS,@,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,19,10:58,0,0,6,6,50.0
8,2017-01-26,8,26-008,SJS,,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:36,1,1,5,5,50.0
9,2017-01-31,9,26-013,SJS,,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,8:26,0,0,1,1,50.0
10,2017-02-02,10,26-015,SJS,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,17,11:36,0,0,3,6,33.3
11,2017-02-09,11,26-022,SJS,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:15,3,0,3,6,33.3
12,2017-10-12,1,26-267,SJS,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:11,1,0,8,6,57.1
13,2017-10-14,2,26-269,SJS,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,13:04,3,1,10,2,83.3
14,2017-10-17,3,26-272,SJS,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:23,2,0,7,5,58.3
15,2017-10-20,4,26-275,SJS,@,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,12:39,1,1,7,5,58.3
16,2017-10-21,5,26-276,SJS,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:04,1,1,3,5,37.5
17,2017-10-23,6,26-278,SJS,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,14:01,2,0,5,10,33.3
18,2017-10-26,7,26-281,SJS,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:14,2,0,6,4,60.0
19,2017-10-28,8,26-283,SJS,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:09,1,1,2,6,25.0
20,2017-10-30,9,26-285,SJS,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:11,2,0,6,5,54.5
21,2017-11-01,10,26-287,SJS,,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:33,0,1,3,4,42.9
22,2017-11-22,11,26-308,SJS,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,11:20,4,0,5,6,45.5
23,2017-11-24,12,26-310,SJS,@,VEG,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:21,2,0,3,5,37.5
