,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2017-02-11,1,21-193,BOS,,VAN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,13:50,1,0,0,0,
1,2017-02-12,2,21-194,BOS,,MTL,W,0,2,2,1,0,0,0,0,0,1,1,0,0,,20,15:43,1,0,0,0,
2,2017-02-19,3,21-201,BOS,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:31,0,1,1,0,100.0
3,2017-02-22,4,21-204,BOS,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,11:35,1,0,0,0,
4,2017-02-23,5,21-205,BOS,@,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:32,2,0,0,0,
5,2017-02-26,6,21-208,BOS,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,17:48,0,3,1,0,100.0
6,2017-02-28,7,21-210,BOS,,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,14:47,1,0,0,0,
7,2017-03-02,8,21-212,BOS,,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,15:49,0,0,0,0,
8,2017-03-04,9,21-214,BOS,,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,13:10,0,0,0,0,
9,2017-03-06,10,21-216,BOS,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,16:07,0,0,0,0,
10,2017-03-13,11,21-223,BOS,@,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:11,1,0,0,1,0.0
11,2017-11-15,1,22-105,BOS,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:20,0,0,1,1,50.0
12,2017-11-16,2,22-106,BOS,@,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,14:53,0,1,0,1,0.0
13,2017-11-18,3,22-108,BOS,@,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,13:49,1,1,1,0,100.0
14,2017-11-22,4,22-112,BOS,@,NJD,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:03,2,0,0,0,
15,2017-11-24,5,22-114,BOS,,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,16,12:11,0,0,0,0,
16,2018-02-01,6,22-183,BOS,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:20,0,1,0,0,
17,2019-01-16,1,23-167,BOS,@,PHI,L,2,0,2,2,2,2,0,0,0,0,0,0,2,100.0,22,17:40,0,1,0,0,
18,2019-01-17,2,23-168,BOS,,STL,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,18,14:45,1,0,0,1,0.0
19,2019-01-19,3,23-170,BOS,,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,14:56,0,0,0,1,0.0
20,2019-01-29,4,23-180,BOS,,WPG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:49,0,1,0,1,0.0
21,2019-01-31,5,23-182,BOS,,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,13:59,0,1,0,0,
22,2019-02-03,6,23-185,BOS,@,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:52,0,0,0,0,
23,2019-02-05,7,23-187,BOS,,NYI,W,1,0,1,1,0,1,0,0,1,0,0,0,1,100.0,17,13:25,0,0,0,1,0.0
24,2019-02-06,8,23-188,BOS,@,NYR,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,13:01,1,0,0,0,
25,2019-02-09,9,23-191,BOS,,LAK,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,13:45,0,0,0,0,
