,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,31-145,BOS,,PHI,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1990-10-06,2,31-147,BOS,,QUE,W,1,1,2,1,0,1,0,0,0,,,,2,50.0,,,,,,,
2,1990-10-07,3,31-148,BOS,@,QUE,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1990-10-10,4,31-151,BOS,@,WIN,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
4,1990-10-11,5,31-152,BOS,@,MNS,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-10-13,6,31-154,BOS,@,LAK,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
6,1990-10-19,7,31-160,BOS,@,EDM,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
7,1990-10-25,8,31-166,BOS,,VAN,W,1,1,2,1,0,1,0,0,0,,,,6,16.7,,,,,,,
8,1990-10-27,9,31-168,BOS,,CHI,W,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
9,1990-10-31,10,31-172,BOS,@,BUF,T,1,0,1,1,0,1,0,0,0,,,,4,25.0,,,,,,,
10,1990-11-01,11,31-173,BOS,,STL,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-11-03,12,31-175,BOS,,BUF,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-05,13,31-177,BOS,@,NYR,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
13,1990-11-07,14,31-179,BOS,@,MTL,W,1,0,1,0,2,0,1,0,1,,,,2,50.0,,,,,,,
14,1990-11-10,15,31-182,BOS,,PIT,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
15,1990-11-11,16,31-183,BOS,@,WSH,W,1,0,1,2,10,1,0,0,0,,,,1,100.0,,,,,,,
16,1990-11-14,17,31-186,BOS,@,HAR,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
17,1990-11-15,18,31-187,BOS,,QUE,W,2,0,2,1,0,1,1,0,0,,,,3,66.7,,,,,,,
18,1990-11-17,19,31-189,BOS,,MTL,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
19,1990-11-19,20,31-191,BOS,@,TOR,W,2,0,2,2,0,2,0,0,0,,,,2,100.0,,,,,,,
20,1990-11-23,21,31-195,BOS,,HAR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
21,1990-11-24,22,31-196,BOS,@,HAR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
