,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,20-350,NJD,,DET,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,20-352,NJD,,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1990-10-23,3,21-004,NJD,@,NYI,W,1,1,2,2,0,1,0,0,0,,,,8,12.5,,,,,,,
3,1990-10-25,4,21-006,NJD,,BUF,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
4,1990-10-27,5,21-008,NJD,,PIT,W,2,0,2,-1,0,1,1,0,0,,,,5,40.0,,,,,,,
5,1990-11-01,6,21-013,NJD,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,3,0.0,,,,,,,
6,1990-11-03,7,21-015,NJD,@,EDM,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1990-11-07,8,21-019,NJD,,NYI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1990-11-09,9,21-021,NJD,,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-11-15,10,21-027,NJD,,HAR,L,1,1,2,1,0,1,0,0,0,,,,2,50.0,,,,,,,
10,1990-11-24,11,21-036,NJD,@,MNS,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-11-28,12,21-040,NJD,,PHI,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-30,13,21-042,NJD,,NYI,T,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
13,1990-12-01,14,21-043,NJD,@,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
14,1990-12-03,15,21-045,NJD,@,WIN,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1990-12-05,16,21-047,NJD,,VAN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
16,1990-12-13,17,21-055,NJD,@,PIT,L,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
17,1991-01-12,18,21-085,NJD,,EDM,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
18,1991-01-14,19,21-087,NJD,,LAK,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
19,1991-01-16,20,21-089,NJD,,CHI,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
20,1991-01-22,21,21-095,NJD,@,PIT,L,0,1,1,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
21,1991-01-24,22,21-097,NJD,,QUE,W,0,4,4,4,0,0,0,0,0,,,,0,,,,,,,,
22,1991-02-05,23,21-109,NJD,,CGY,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
23,1991-02-09,24,21-113,NJD,@,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
24,1991-02-10,25,21-114,NJD,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1991-02-13,26,21-117,NJD,@,NYR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
26,1991-02-14,27,21-118,NJD,,WIN,T,1,0,1,0,0,0,1,0,0,,,,3,33.3,,,,,,,
27,1991-02-16,28,21-120,NJD,,PHI,W,1,1,2,2,0,1,0,0,1,,,,2,50.0,,,,,,,
28,1991-02-18,29,21-122,NJD,,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
29,1991-02-25,30,21-129,NJD,,WSH,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
30,1991-02-27,31,21-131,NJD,@,TOR,L,0,2,2,2,2,0,0,0,0,,,,3,0.0,,,,,,,
31,1991-03-01,32,21-133,NJD,@,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
32,1991-03-03,33,21-135,NJD,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
33,1991-03-06,34,21-138,NJD,@,BUF,T,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
34,1991-03-10,35,21-142,NJD,@,WIN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
35,1991-03-13,36,21-145,NJD,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
36,1991-03-15,37,21-147,NJD,,NYR,W,1,1,2,2,0,1,0,0,0,,,,7,14.3,,,,,,,
37,1991-03-16,38,21-148,NJD,@,HAR,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
38,1991-03-19,39,21-151,NJD,,PIT,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
39,1991-03-21,40,21-153,NJD,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
40,1991-03-23,41,21-155,NJD,@,MTL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
41,1991-03-26,42,21-158,NJD,@,NYR,T,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1991-03-27,43,21-159,NJD,,HAR,W,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
43,1991-03-30,44,21-162,NJD,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
44,1991-03-31,45,21-163,NJD,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
45,1992-02-24,1,22-128,NJD,,MNS,L,0,1,1,-1,2,0,0,0,0,,,,0,,,,,,,,
46,1992-02-25,2,22-129,NJD,@,TOR,T,0,0,0,-3,0,0,0,0,0,,,,0,,,,,,,,
47,1992-02-28,3,22-132,NJD,,NYI,L,1,0,1,-2,0,0,1,0,0,,,,3,33.3,,,,,,,
48,1992-02-29,4,22-133,NJD,@,NYI,W,1,0,1,2,0,1,0,0,0,,,,1,100.0,,,,,,,
49,1992-03-02,5,22-135,NJD,,NYR,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
50,1992-03-04,6,22-137,NJD,@,NYR,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
51,1992-03-06,7,22-139,NJD,@,BUF,L,2,0,2,0,0,2,0,0,0,,,,3,66.7,,,,,,,
52,1992-03-07,8,22-140,NJD,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
53,1992-03-11,9,22-144,NJD,@,EDM,T,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
54,1992-03-12,10,22-145,NJD,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
55,1992-03-14,11,22-147,NJD,@,SJS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
56,1992-03-19,12,22-152,NJD,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
57,1992-03-21,13,22-154,NJD,,NYI,T,0,0,0,1,2,0,0,0,0,,,,3,0.0,,,,,,,
58,1992-03-22,14,22-155,NJD,@,NYR,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
59,1992-03-24,15,22-157,NJD,,SJS,W,0,1,1,1,2,0,0,0,0,,,,4,0.0,,,,,,,
60,1992-03-28,16,22-161,NJD,,QUE,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
