,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2015-12-30,1,23-036,OTT,,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:20,0,0,0,0,
1,2016-01-03,2,23-040,OTT,@,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,17:46,3,3,0,0,
2,2016-01-04,3,23-041,OTT,@,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,20:46,2,2,0,0,
3,2016-01-07,4,23-044,OTT,,FLA,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,14:16,2,2,0,0,
4,2016-01-09,5,23-046,OTT,,BOS,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,20,18:01,3,2,0,0,
5,2016-01-10,6,23-047,OTT,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,14:37,1,0,0,0,
6,2016-01-16,7,23-053,OTT,@,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,15:18,1,4,0,0,
7,2016-01-18,8,23-055,OTT,@,SJS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,20:51,1,3,0,0,
8,2016-03-23,9,23-120,OTT,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,21:40,2,3,0,0,
9,2016-03-26,10,23-123,OTT,,ANA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,22:34,5,0,0,0,
10,2016-03-30,11,23-127,OTT,@,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,20:58,1,1,0,0,
11,2016-03-31,12,23-128,OTT,@,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,23:08,2,2,0,0,
12,2016-04-02,13,23-130,OTT,@,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,19:46,3,2,0,0,
13,2016-04-05,14,23-133,OTT,,PIT,L,0,1,1,-2,0,0,0,0,0,1,0,0,0,,25,20:54,2,3,0,0,
14,2016-04-07,15,23-135,OTT,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:16,2,2,0,0,
15,2016-04-09,16,23-137,OTT,@,BOS,W,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,28,25:27,3,1,0,0,
16,2016-11-03,1,23-345,OTT,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,10:21,2,0,0,0,
17,2016-11-05,2,23-347,OTT,,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,8:35,2,0,0,0,
18,2016-11-08,3,23-350,OTT,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:50,0,1,0,0,
19,2016-11-09,4,23-351,OTT,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:40,1,2,0,0,
