,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,2006-01-22,1,21-022,CHI,,MIN,L,,0,7,7,1.000,0,0,21:27
1,2006-02-02,2,21-033,CHI,@,STL,L-SO,O,5,34,29,.853,0,0,65:00
2,2008-02-24,1,23-055,CHI,@,ANA,L,,1,3,2,.667,0,0,11:22
3,2008-02-28,2,23-059,CHI,@,DAL,L,,2,12,10,.833,0,0,33:26
4,2008-03-05,3,23-065,CHI,,ANA,W,W,0,19,19,1.000,1,0,59:57
5,2008-03-11,4,23-071,CHI,@,DET,L,L,2,46,44,.957,0,0,59:24
6,2008-03-12,5,23-072,CHI,,CAR,L,L,3,32,29,.906,0,0,60:00
7,2010-03-17,1,25-076,CHI,@,ANA,L,L,3,35,32,.914,0,0,59:13
8,2010-10-11,1,25-284,CHI,@,BUF,W,W,3,35,32,.914,0,0,59:54
9,2010-10-13,2,25-286,CHI,,NSH,L,L,3,27,24,.889,0,0,59:00
10,2010-10-23,3,25-296,CHI,,CBJ,L,L,3,40,37,.925,0,0,59:26
11,2010-10-29,4,25-302,CHI,,EDM,L,L,2,9,7,.778,0,0,39:34
12,2010-11-07,5,25-311,CHI,,EDM,L,L,2,26,24,.923,0,0,58:41
13,2010-11-14,6,25-318,CHI,,ANA,W,W,2,26,24,.923,0,0,64:32
14,2010-11-20,7,25-324,CHI,@,VAN,W,W,1,28,27,.964,0,0,59:58
15,2010-11-26,8,25-330,CHI,@,ANA,W,W,1,27,26,.963,0,0,60:00
16,2010-11-27,9,25-331,CHI,@,LAK,W,W,1,22,21,.955,0,0,60:00
17,2010-11-30,10,25-334,CHI,,STL,W,W,5,26,21,.808,0,0,60:00
18,2010-12-05,11,25-339,CHI,,CGY,W,W,2,26,24,.923,0,0,59:33
19,2010-12-08,12,25-342,CHI,,DAL,W,W,3,31,28,.903,0,0,60:00
20,2010-12-11,13,25-345,CHI,@,SJS,L-OT,O,2,30,28,.933,0,0,63:52
21,2010-12-13,14,25-347,CHI,@,COL,L,L,2,19,17,.895,0,0,38:33
22,2010-12-15,15,25-349,CHI,,COL,L,L,4,23,19,.826,0,0,58:25
23,2010-12-17,16,25-351,CHI,,DET,W,W,1,30,29,.967,0,0,59:46
24,2010-12-19,17,25-353,CHI,,LAK,W,W,2,28,26,.929,0,0,60:00
25,2010-12-22,18,25-356,CHI,,NSH,W,W,1,25,24,.960,0,0,60:00
26,2011-01-02,19,26-002,CHI,@,ANA,L,L,2,18,16,.889,0,0,58:49
27,2011-01-03,20,26-003,CHI,@,LAK,W,W,3,29,26,.897,0,0,60:00
28,2011-01-05,21,26-005,CHI,,DAL,L,L,3,21,18,.857,0,0,58:01
29,2011-01-07,22,26-007,CHI,,OTT,W,W,2,26,24,.923,0,0,65:00
30,2011-01-09,23,26-009,CHI,,NYI,W,W,0,29,29,1.000,1,0,60:00
31,2011-01-12,24,26-012,CHI,,COL,W,W,0,24,24,1.000,1,0,59:58
32,2011-01-15,25,26-015,CHI,@,NSH,L-SO,O,2,26,24,.923,0,0,65:00
33,2011-01-22,26,26-022,CHI,@,DET,W,W,1,37,36,.973,0,0,60:00
34,2011-01-23,27,26-023,CHI,,PHI,L,L,3,33,30,.909,0,0,59:14
35,2011-01-25,28,26-025,CHI,,MIN,L,L,4,22,18,.818,0,0,58:12
36,2011-02-07,29,26-038,CHI,@,CGY,L,L,2,27,25,.926,0,0,59:42
37,2011-02-09,30,26-040,CHI,@,EDM,W,W,1,24,23,.958,0,0,59:53
38,2011-02-12,31,26-043,CHI,@,PHX,L-SO,O,2,25,23,.920,0,0,65:00
39,2011-02-16,32,26-047,CHI,,MIN,W,W,1,34,33,.971,0,0,59:54
40,2011-02-18,33,26-049,CHI,,CBJ,L,L,4,36,32,.889,0,0,58:35
41,2011-02-20,34,26-051,CHI,,PIT,W,W,2,26,24,.923,0,0,65:00
42,2011-02-21,35,26-052,CHI,@,STL,W,W,3,34,31,.912,0,0,60:00
43,2011-02-24,36,26-055,CHI,@,NSH,W,W,0,31,31,1.000,1,0,59:55
44,2011-02-27,37,26-058,CHI,,PHX,W,W,3,29,26,.897,0,0,65:00
45,2011-02-28,38,26-059,CHI,@,MIN,W,W,2,26,24,.923,0,0,60:00
46,2011-03-02,39,26-061,CHI,,CGY,W,W,4,25,21,.840,0,0,59:58
47,2011-03-04,40,26-063,CHI,,CAR,W,W,2,20,18,.900,0,0,60:00
48,2011-03-05,41,26-064,CHI,@,TOR,W,W,3,33,30,.909,0,0,60:00
49,2011-03-08,42,26-067,CHI,@,FLA,L,L,3,8,5,.625,0,0,20:00
50,2011-03-09,43,26-068,CHI,@,TBL,L-SO,O,3,30,27,.900,0,0,65:00
51,2011-03-13,44,26-072,CHI,@,WSH,L-OT,O,4,42,38,.905,0,0,63:04
52,2011-03-14,45,26-073,CHI,,SJS,W,W,3,36,33,.917,0,0,59:51
53,2011-03-17,46,26-076,CHI,@,DAL,L,L,3,10,7,.700,0,0,23:19
54,2011-03-20,47,26-079,CHI,@,PHX,W,W,1,23,22,.957,0,0,59:53
55,2011-03-23,48,26-082,CHI,,FLA,W,W,0,23,23,1.000,1,0,60:00
56,2011-03-26,49,26-085,CHI,,ANA,L,L,2,25,23,.920,0,0,59:02
57,2011-03-28,50,26-087,CHI,@,DET,W,W,2,35,33,.943,0,0,60:24
58,2011-03-29,51,26-088,CHI,@,BOS,L,L,3,34,31,.912,0,0,60:00
59,2011-04-01,52,26-091,CHI,@,CBJ,W,W,3,34,31,.912,0,0,65:00
60,2011-04-03,53,26-093,CHI,,TBL,L,L,1,14,13,.929,0,2,59:05
61,2011-04-05,54,26-095,CHI,@,MTL,L-OT,O,2,35,33,.943,0,0,61:19
62,2011-04-06,55,26-096,CHI,,STL,W,W,3,24,21,.875,0,0,63:19
63,2011-04-08,56,26-098,CHI,@,DET,W,W,2,28,26,.929,0,0,60:00
64,2011-04-10,57,26-100,CHI,,DET,L,L,4,31,27,.871,0,0,58:56
65,2011-10-07,1,26-280,CHI,@,DAL,L,L,2,33,31,.939,0,0,57:22
66,2011-10-08,2,26-281,CHI,,DAL,W,W,2,21,19,.905,0,0,59:56
67,2011-10-15,3,26-288,CHI,,BOS,L-SO,O,2,37,35,.946,0,0,65:00
68,2011-10-18,4,26-291,CHI,@,PHX,W,W,2,16,14,.875,0,0,59:55
69,2011-10-20,5,26-293,CHI,@,COL,W,W,1,32,31,.969,0,0,60:00
70,2011-10-22,6,26-295,CHI,,COL,L-SO,O,4,24,20,.833,0,0,64:55
71,2011-10-25,7,26-298,CHI,,ANA,W,W,2,31,29,.935,0,0,65:00
72,2011-10-28,8,26-301,CHI,@,CAR,L,L,3,33,30,.909,0,0,60:00
73,2011-10-31,9,26-304,CHI,,NSH,W,W,4,28,24,.857,0,0,61:52
