,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2018-02-10,1,23-013,CHI,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,16:48,0,0,0,0,
1,2018-02-12,2,23-015,CHI,@,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,27,15:16,0,1,0,0,
2,2018-02-13,3,23-016,CHI,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,18:37,1,1,1,0,100.0
3,2018-02-15,4,23-018,CHI,,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:43,0,1,0,0,
4,2018-02-17,5,23-020,CHI,,WSH,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,27,20:26,1,0,0,0,
5,2018-02-19,6,23-022,CHI,,LAK,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,29,16:52,1,1,0,0,
6,2018-02-21,7,23-024,CHI,,OTT,W,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,23,19:07,2,1,0,0,
7,2018-03-01,8,23-032,CHI,@,SJS,L,0,1,1,-3,0,0,0,0,0,1,0,0,2,0.0,26,19:21,0,2,0,0,
8,2018-03-03,9,23-034,CHI,@,LAK,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,24,16:15,0,0,0,0,
9,2018-03-04,10,23-035,CHI,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,16:08,0,2,0,0,
10,2018-03-06,11,23-037,CHI,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,17:06,1,0,0,0,
11,2018-12-12,1,23-318,CHI,,PIT,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,30,22:34,1,0,0,0,
12,2018-12-14,2,23-320,CHI,,WPG,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,0,,27,17:47,0,0,0,0,
13,2018-12-16,3,23-322,CHI,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,18:33,2,1,0,0,
14,2018-12-18,4,23-324,CHI,,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,22:01,0,2,0,0,
15,2018-12-20,5,23-326,CHI,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,19:18,0,1,0,0,
16,2018-12-21,6,23-327,CHI,@,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,18:56,1,0,0,0,
17,2018-12-23,7,23-329,CHI,,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,19:24,3,0,0,0,
18,2018-12-27,8,23-333,CHI,,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,28,19:51,1,0,0,0,
19,2018-12-29,9,23-335,CHI,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,19:56,2,2,0,0,
20,2019-01-01,10,23-338,CHI,,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,15:26,0,1,0,0,
21,2019-01-03,11,23-340,CHI,@,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,33,20:53,2,1,0,0,
22,2019-01-06,12,23-343,CHI,@,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,28,21:49,0,0,0,0,
23,2019-01-07,13,23-344,CHI,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,19:59,0,1,0,0,
24,2019-01-09,14,23-346,CHI,,NSH,L-OT,0,1,1,0,0,0,0,0,0,0,0,1,1,0.0,27,18:05,0,0,0,0,
