,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-10-07,1,18-251,WIN,,DAL,W,1,0,1,0,0,1,0,0,0,,,,1,100.0,,,,,,,
1,1995-10-09,2,18-253,WIN,,MDA,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
2,1995-10-11,3,18-255,WIN,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
3,1995-10-12,4,18-256,WIN,@,NJD,L,0,0,0,-2,5,0,0,0,0,,,,0,,,,,,,,
4,1995-10-15,5,18-259,WIN,,DET,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1995-10-17,6,18-261,WIN,,TBL,W,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
6,1995-10-19,7,18-263,WIN,,SJS,T,0,1,1,1,7,0,0,0,0,,,,0,,,,,,,,
7,1995-10-22,8,18-266,WIN,@,MDA,L,0,0,0,0,10,0,0,0,0,,,,3,0.0,,,,,,,
8,1995-10-28,9,18-272,WIN,@,VAN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
9,1995-10-30,10,18-274,WIN,,DET,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
10,1995-11-01,11,18-276,WIN,,TOR,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,,,,,,,
11,1995-11-03,12,18-278,WIN,,COL,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
12,1995-11-05,13,18-280,WIN,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
13,1995-11-10,14,18-285,WIN,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
14,1995-12-10,15,18-315,WIN,,WSH,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
15,1997-11-13,1,20-288,PHX,,MTL,L,0,0,0,-4,2,0,0,0,0,,,,1,0.0,17,12:34,,,,,
16,1997-11-15,2,20-290,PHX,@,SJS,W,0,0,0,0,4,0,0,0,0,,,,0,,9,5:23,,,,,
17,1997-11-20,3,20-295,PHX,@,VAN,L,0,0,0,0,2,0,0,0,0,,,,0,,7,5:17,,,,,
18,1998-02-05,4,21-007,PHX,,PHI,L,0,1,1,0,4,0,0,0,0,,,,0,,19,13:01,,,,,
19,1999-01-11,1,21-347,PHX,,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,7,4:44,,,,,
20,1999-01-13,2,21-349,PHX,,PIT,W,0,0,0,2,0,0,0,0,0,,,,0,,10,8:46,,,,,
21,1999-01-15,3,21-351,PHX,@,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,6,4:40,,,,,
22,1999-01-17,4,21-353,PHX,@,CHI,T,0,0,0,0,4,0,0,0,0,,,,0,,9,7:10,,,,,
23,1999-01-19,5,21-355,PHX,,STL,W,0,0,0,0,0,0,0,0,0,,,,0,,8,6:21,,,,,
24,1999-02-02,6,22-004,PHX,,CGY,T,0,0,0,-1,4,0,0,0,0,,,,0,,8,6:07,,,,,
25,1999-02-04,7,22-006,PHX,,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,8,4:10,,,,,
26,1999-02-06,8,22-008,PHX,,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,3,1:28,,,,,
27,1999-02-16,9,22-018,PHX,,PHI,L,0,1,1,1,0,0,0,0,0,,,,0,,4,2:49,,,,,
28,1999-11-07,1,22-282,NYR,@,CHI,W,0,0,0,0,2,0,0,0,0,,,,0,,18,15:00,,,,,
29,1999-11-10,2,22-285,NYR,,OTT,L,0,1,1,0,0,0,0,0,0,,,,0,,11,6:56,,,,,
30,1999-11-18,3,22-293,NYR,@,BOS,L,0,0,0,-1,2,0,0,0,0,,,,0,,14,9:19,,,,,
31,1999-11-20,4,22-295,NYR,@,TOR,L-OT,0,0,0,1,2,0,0,0,0,,,,0,,8,5:44,,,,,
32,1999-11-26,5,22-301,NYR,@,FLA,L,0,0,0,-2,10,0,0,0,0,,,,1,0.0,13,9:04,,,,,
33,2000-01-05,6,22-341,NYR,,TOR,W,0,0,0,-1,2,0,0,0,0,,,,0,,6,4:54,,,,,
34,2000-01-27,7,22-363,NYR,,TOR,L,0,0,0,1,4,0,0,0,0,,,,2,0.0,12,10:53,,,,,
35,2000-10-11,1,23-256,NYR,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,9:24,,,,,
36,2000-10-16,2,23-261,NYR,,MDA,L,0,0,0,1,0,0,0,0,0,,,,0,,11,7:50,,,,,
37,2001-03-04,3,24-034,NYR,@,NSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,4,2:30,,,,,
38,2002-12-03,1,25-308,WSH,@,PIT,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,19,12:28,,,,,
39,2002-12-06,2,25-311,WSH,,ATL,W,0,1,1,1,0,0,0,0,0,,,,0,,19,14:14,,,,,
40,2002-12-07,3,25-312,WSH,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:27,,,,,
41,2002-12-11,4,25-316,WSH,@,MDA,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,10:35,,,,,
42,2002-12-16,5,25-321,WSH,@,COL,T,0,0,0,0,0,0,0,0,0,,,,0,,15,9:09,,,,,
43,2002-12-19,6,25-324,WSH,,BOS,W,0,0,0,0,10,0,0,0,0,,,,1,0.0,22,13:56,,,,,
44,2002-12-21,7,25-326,WSH,@,NYI,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,17,12:03,,,,,
45,2002-12-23,8,25-328,WSH,,TBL,W,0,0,0,0,5,0,0,0,0,,,,0,,15,10:08,,,,,
46,2002-12-27,9,25-332,WSH,,NJD,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,12,9:07,,,,,
47,2002-12-28,10,25-333,WSH,@,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,13:12,,,,,
48,2002-12-30,11,25-335,WSH,,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,16,11:57,,,,,
49,2003-01-01,12,25-337,WSH,,PHX,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,15,12:25,,,,,
50,2003-01-03,13,25-339,WSH,,CBJ,T,0,0,0,0,0,0,0,0,0,,,,0,,18,13:51,,,,,
51,2003-01-04,14,25-340,WSH,@,NYR,T,0,0,0,0,5,0,0,0,0,,,,2,0.0,18,12:04,,,,,
52,2003-01-10,15,25-346,WSH,@,CAR,W,0,0,0,0,9,0,0,0,0,,,,3,0.0,25,14:49,,,,,
53,2003-01-11,16,25-347,WSH,,FLA,W,1,0,1,-1,4,1,0,0,0,,,,3,33.3,26,18:08,,,,,
54,2003-01-13,17,25-349,WSH,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,11,7:04,,,,,
