,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-11-07,1,26-271,VAN,@,PHI,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
1,1993-11-10,2,26-274,VAN,,LAK,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1993-11-13,3,26-277,VAN,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1993-11-14,4,26-278,VAN,,MDA,W,0,1,1,1,2,0,0,0,0,,,,2,0.0,,,,,,,
4,1993-11-16,5,26-280,VAN,,STL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1993-11-19,6,26-283,VAN,,MDA,L,0,0,0,-3,2,0,0,0,0,,,,2,0.0,,,,,,,
6,1993-11-24,7,26-288,VAN,,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1993-11-26,8,26-290,VAN,@,WIN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1993-11-27,9,26-291,VAN,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
9,1993-11-29,10,26-293,VAN,,CHI,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
10,1993-12-02,11,26-296,VAN,,PHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
11,1993-12-09,12,26-303,VAN,@,BOS,W,1,0,1,0,2,1,0,0,0,,,,1,100.0,,,,,,,
12,1993-12-17,13,26-311,VAN,,WIN,W,0,0,0,0,15,0,0,0,0,,,,1,0.0,,,,,,,
13,1995-02-24,1,28-015,CGY,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
14,1995-02-26,2,28-017,CGY,@,MDA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1995-02-28,3,28-019,CGY,,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
