,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-11-05,1,20-181,STL,,CGY,L-OT,1,0,1,0,0,0,1,0,0,,,,3,33.3,18,9:42,2,0,0,0,
1,2009-11-07,2,20-183,STL,@,PHI,L-SO,0,0,0,1,2,0,0,0,0,,,,1,0.0,21,16:29,2,0,0,1,0.0
2,2009-11-08,3,20-184,STL,@,ATL,L-SO,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,8:52,0,0,0,0,
3,2009-11-10,4,20-186,STL,,VAN,W,0,0,0,0,0,0,0,0,0,,,,0,,15,9:48,2,0,1,0,100.0
4,2009-11-12,5,20-188,STL,,NSH,L,0,0,0,0,0,0,0,0,0,,,,0,,11,6:00,0,0,0,0,
5,2010-04-09,6,20-336,STL,,ANA,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,15,13:07,2,0,4,7,36.4
6,2010-04-10,7,20-337,STL,@,NSH,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,13,11:46,0,1,4,2,66.7
7,2010-10-07,1,21-152,MTL,@,TOR,L,0,0,0,-2,2,0,0,0,0,,,,2,0.0,20,16:27,1,1,0,1,0.0
8,2010-10-09,2,21-154,MTL,@,PIT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,16,9:17,2,0,0,0,
9,2010-10-13,3,21-158,MTL,,TBL,L-OT,0,0,0,1,0,0,0,0,0,,,,2,0.0,17,12:02,3,0,0,0,
10,2010-10-15,4,21-160,MTL,@,BUF,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,12,9:49,1,1,0,0,
11,2010-10-16,5,21-161,MTL,,OTT,W,0,0,0,-2,0,0,0,0,0,,,,1,0.0,7,4:21,0,0,0,0,
12,2010-10-21,6,21-166,MTL,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:25,0,1,1,1,50.0
13,2010-10-23,7,21-168,MTL,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,0,,9,8:04,2,0,2,4,33.3
14,2010-10-25,8,21-170,MTL,,PHX,W,0,1,1,1,0,0,0,0,0,,,,0,,14,10:34,2,1,3,4,42.9
15,2010-10-27,9,21-172,MTL,,NYI,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,14,9:54,0,0,6,3,66.7
16,2010-10-29,10,21-174,MTL,@,NYI,W,0,0,0,0,2,0,0,0,0,,,,0,,11,8:20,0,1,2,2,50.0
17,2010-10-30,11,21-175,MTL,,FLA,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,15,11:42,1,0,2,3,40.0
18,2010-11-02,12,21-178,MTL,@,CBJ,L,0,0,0,-1,0,0,0,0,0,,,,0,,16,11:56,0,0,1,4,20.0
19,2010-11-05,13,21-181,MTL,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,8:26,2,0,4,5,44.4
20,2010-11-09,14,21-185,MTL,,VAN,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,7,4:24,0,0,0,2,0.0
21,2010-11-11,15,21-187,MTL,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,12,10:28,1,0,4,6,40.0
22,2010-11-13,16,21-189,MTL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:07,2,0,4,2,66.7
23,2010-11-16,17,21-192,MTL,,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,10,6:12,0,0,2,2,50.0
24,2010-11-18,18,21-194,MTL,,NSH,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,12:48,4,0,6,3,66.7
25,2010-11-20,19,21-196,MTL,,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,12,9:45,0,0,2,0,100.0
26,2010-11-22,20,21-198,MTL,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:38,0,1,2,5,28.6
27,2010-11-24,21,21-200,MTL,,LAK,W,1,0,1,1,2,1,0,0,0,,,,2,50.0,13,9:47,1,0,3,5,37.5
28,2010-11-26,22,21-202,MTL,@,ATL,L,0,0,0,0,2,0,0,0,0,,,,0,,15,11:42,0,0,4,3,57.1
29,2010-11-27,23,21-203,MTL,,BUF,W,0,0,0,0,2,0,0,0,0,,,,0,,17,11:59,0,0,8,0,100.0
30,2010-12-01,24,21-207,MTL,,EDM,L-OT,0,1,1,1,0,0,0,0,0,,,,2,0.0,16,11:53,1,0,2,3,40.0
31,2010-12-02,25,21-208,MTL,@,NJD,W,1,1,2,2,2,1,0,0,1,,,,1,100.0,17,12:39,1,0,3,8,27.3
32,2010-12-04,26,21-210,MTL,,SJS,W,0,0,0,0,2,0,0,0,0,,,,2,0.0,17,13:01,1,0,3,4,42.9
33,2010-12-07,27,21-213,MTL,,OTT,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,21,14:33,2,0,3,8,27.3
34,2010-12-10,28,21-216,MTL,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,12:24,0,0,2,7,22.2
35,2010-12-11,29,21-217,MTL,@,TOR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:55,1,2,2,10,16.7
36,2010-12-15,30,21-221,MTL,,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,9,6:17,0,0,2,4,33.3
37,2010-12-16,31,21-222,MTL,,BOS,W,0,0,0,1,0,0,0,0,0,,,,0,,13,9:31,0,0,7,3,70.0
38,2010-12-19,32,21-225,MTL,@,COL,L,0,0,0,0,2,0,0,0,0,,,,0,,13,9:40,0,0,8,5,61.5
39,2010-12-21,33,21-227,MTL,@,DAL,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,17,16:22,1,1,0,0,
40,2010-12-23,34,21-229,MTL,@,CAR,W,0,0,0,0,2,0,0,0,0,,,,3,0.0,11,7:55,0,0,1,3,25.0
41,2010-12-26,35,21-232,MTL,@,NYI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,9:12,0,1,1,6,14.3
42,2010-12-28,36,21-234,MTL,@,WSH,L,0,0,0,-1,0,0,0,0,0,,,,4,0.0,14,10:53,1,0,4,5,44.4
43,2010-12-30,37,21-236,MTL,@,TBL,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,13,8:54,1,0,1,3,25.0
