,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2011-10-09,1,25-167,MTL,@,WPG,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,20,16:27,1,1,0,0,
1,2011-10-13,2,25-171,MTL,,CGY,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,22,16:13,1,1,0,0,
2,2011-10-15,3,25-173,MTL,,COL,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,21,17:39,4,1,0,0,
3,2011-10-18,4,25-176,MTL,,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,21,15:04,6,1,0,0,
4,2011-10-20,5,25-178,MTL,@,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,18,15:23,1,3,0,0,
5,2011-10-22,6,25-180,MTL,,TOR,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,18,14:59,1,1,0,0,
6,2011-11-08,7,25-197,MTL,,EDM,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,10:44,4,0,0,0,
7,2011-11-10,8,25-199,MTL,@,PHX,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,7:07,4,1,0,0,
8,2011-11-14,9,25-203,MTL,,BUF,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,22,16:31,5,2,0,0,
9,2011-11-16,10,25-205,MTL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,0,,28,18:04,7,7,0,0,
10,2011-11-17,11,25-206,MTL,@,NYI,L,0,0,0,-1,2,0,0,0,0,,,,0,,20,13:53,2,1,0,0,
11,2011-11-19,12,25-208,MTL,,NYR,W,0,0,0,1,0,0,0,0,0,,,,2,0.0,23,16:14,2,4,0,0,
12,2011-11-21,13,25-210,MTL,,BOS,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,17:21,5,1,0,0,
13,2011-11-23,14,25-212,MTL,@,CAR,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,26,17:08,6,1,0,0,
14,2011-11-25,15,25-214,MTL,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:25,6,1,0,0,
15,2011-11-26,16,25-215,MTL,,PIT,L-OT,0,0,0,1,2,0,0,0,0,,,,0,,25,18:09,4,2,0,0,
16,2011-11-30,17,25-219,MTL,@,ANA,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,16:17,1,1,0,0,
17,2011-12-01,18,25-220,MTL,@,SJS,L-SO,0,0,0,-1,0,0,0,0,0,,,,1,0.0,29,22:29,5,2,0,0,
18,2011-12-03,19,25-222,MTL,@,LAK,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,28,18:00,1,2,0,0,
19,2011-12-06,20,25-225,MTL,,CBJ,L-SO,0,1,1,1,0,0,0,0,0,,,,2,0.0,29,22:26,9,0,0,0,
20,2011-12-08,21,25-227,MTL,,VAN,L-SO,0,0,0,0,2,0,0,0,0,,,,1,0.0,34,23:46,4,3,0,0,
21,2011-12-10,22,25-229,MTL,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,21,15:39,0,0,0,0,
22,2011-12-15,23,25-234,MTL,,PHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,17,12:37,6,1,0,0,
23,2011-12-17,24,25-236,MTL,,NJD,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,21,14:26,1,0,0,0,
24,2011-12-22,25,25-241,MTL,@,WPG,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,29,20:22,2,2,0,0,
25,2011-12-27,26,25-246,MTL,@,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,24,20:14,4,2,0,0,
26,2011-12-29,27,25-248,MTL,@,TBL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,16:54,6,0,0,0,
27,2011-12-31,28,25-250,MTL,@,FLA,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,30,21:54,5,1,0,0,
28,2012-01-04,29,25-254,MTL,,WPG,W,0,0,0,3,0,0,0,0,0,,,,0,,24,18:08,5,1,0,0,
29,2012-01-07,30,25-257,MTL,,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,20:14,7,2,0,0,
30,2012-01-10,31,25-260,MTL,,STL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,24,19:08,3,2,0,0,
31,2012-01-12,32,25-262,MTL,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,14:58,2,0,0,0,
32,2012-01-15,33,25-265,MTL,,NYR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,13:37,1,1,0,0,
33,2012-01-18,34,25-268,MTL,,WSH,L,0,0,0,-2,2,0,0,0,0,,,,0,,17,11:23,1,2,0,0,
34,2012-01-20,35,25-270,MTL,@,PIT,L-SO,0,0,0,1,0,0,0,0,0,,,,2,0.0,23,17:31,4,1,0,0,
35,2012-01-21,36,25-271,MTL,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,24,18:17,5,4,0,0,
36,2012-01-25,37,25-275,MTL,,DET,W,1,0,1,3,2,1,0,0,0,,,,3,33.3,25,18:09,1,0,0,0,
37,2012-01-31,38,25-281,MTL,,BUF,L,0,0,0,0,0,0,0,0,0,,,,0,,24,18:02,5,4,0,0,
38,2012-02-02,39,25-283,MTL,@,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,27,19:51,4,0,0,0,
39,2012-02-04,40,25-285,MTL,,WSH,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,25,18:28,4,1,0,0,
40,2012-02-05,41,25-286,MTL,,WPG,W,1,0,1,1,0,0,0,1,0,,,,2,50.0,22,16:41,6,1,0,0,
41,2012-02-07,42,25-288,MTL,,PIT,W,0,1,1,1,0,0,0,0,0,,,,0,,21,17:39,2,0,0,0,
42,2012-02-09,43,25-290,MTL,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,24,20:19,3,2,0,0,
43,2012-02-11,44,25-292,MTL,@,TOR,W,0,0,0,1,0,0,0,0,0,,,,0,,25,18:05,9,1,0,0,
44,2012-02-13,45,25-294,MTL,,CAR,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,24,17:02,4,2,0,0,
45,2012-02-15,46,25-296,MTL,,BOS,L-SO,0,0,0,1,0,0,0,0,0,,,,0,,22,18:18,3,1,0,0,
46,2012-02-17,47,25-298,MTL,@,BUF,W,0,0,0,-1,0,0,0,0,0,,,,0,,24,18:35,4,2,0,0,
47,2012-02-19,48,25-300,MTL,,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,21,18:07,4,2,0,0,
48,2012-02-21,49,25-302,MTL,,DAL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,18:57,5,0,0,0,
49,2012-02-24,50,25-305,MTL,@,WSH,L,0,1,1,-1,2,0,0,0,0,,,,1,0.0,24,13:35,3,0,0,0,
50,2012-02-26,51,25-307,MTL,@,FLA,L,0,0,0,0,0,0,0,0,0,,,,0,,25,16:42,4,1,0,0,
