,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-11-10,1,27-221,PIT,@,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,25,19:20,5,0,0,0,
1,2009-11-12,2,27-223,PIT,,NJD,L,0,0,0,-1,0,0,0,0,0,,,,0,,20,16:29,2,2,0,0,
2,2009-11-14,3,27-225,PIT,,BOS,W,0,0,0,0,5,0,0,0,0,,,,2,0.0,18,13:33,3,1,0,0,
3,2009-11-16,4,27-227,PIT,,ANA,W,0,1,1,3,2,0,0,0,0,,,,0,,25,18:33,5,0,0,0,
4,2009-11-19,5,27-230,PIT,@,OTT,L,0,0,0,-4,0,0,0,0,0,,,,0,,21,17:43,1,3,0,0,
5,2009-11-21,6,27-232,PIT,@,ATL,W,0,0,0,1,5,0,0,0,0,,,,1,0.0,19,13:34,2,1,0,0,
6,2009-11-23,7,27-234,PIT,@,FLA,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,23,15:06,2,0,0,0,
7,2009-11-25,8,27-236,PIT,,MTL,W,0,0,0,0,0,0,0,0,0,,,,0,,20,17:48,5,1,0,0,
8,2009-11-27,9,27-238,PIT,@,NYI,L,0,0,0,-1,5,0,0,0,0,,,,0,,18,13:09,0,5,0,0,
9,2010-10-07,1,28-187,PIT,,PHI,L,0,0,0,0,2,0,0,0,0,,,,0,,17,12:38,1,1,0,0,
10,2010-10-11,2,28-191,PIT,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,17,13:18,2,0,0,0,
11,2010-10-13,3,28-193,PIT,,TOR,L,0,0,0,-1,5,0,0,0,0,,,,0,,16,10:52,0,2,0,0,
12,2010-10-15,4,28-195,PIT,,NYI,W,0,1,1,0,2,0,0,0,0,,,,0,,24,18:49,4,0,0,0,
13,2010-10-16,5,28-196,PIT,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,0,,19,14:11,1,0,0,0,
14,2010-10-18,6,28-198,PIT,,OTT,W,0,0,0,0,5,0,0,0,0,,,,0,,21,16:31,3,1,0,0,
15,2010-10-21,7,28-201,PIT,@,NSH,W,0,0,0,-1,5,0,0,0,0,,,,0,,20,14:10,4,0,0,0,
16,2010-10-23,8,28-203,PIT,@,STL,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,14:20,4,0,0,0,
17,2010-10-27,9,28-207,PIT,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,17,13:14,1,0,0,0,
18,2010-10-29,10,28-209,PIT,,PHI,L,0,0,0,-1,7,0,0,0,0,,,,0,,19,13:40,1,3,0,0,
19,2010-10-30,11,28-210,PIT,@,CAR,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,18:14,1,1,0,0,
20,2010-11-03,12,28-214,PIT,@,DAL,L,0,0,0,1,2,0,0,0,0,,,,1,0.0,20,16:12,3,2,0,0,
21,2010-11-05,13,28-216,PIT,@,ANA,L,0,0,0,-2,5,0,0,0,0,,,,0,,14,10:40,4,0,0,0,
22,2010-11-06,14,28-217,PIT,@,PHX,W,0,0,0,-1,5,0,0,0,0,,,,0,,11,6:23,2,1,0,0,
23,2010-11-12,15,28-223,PIT,,TBL,W,1,0,1,3,0,1,0,0,0,,,,1,100.0,14,11:29,0,0,0,0,
24,2010-11-13,16,28-224,PIT,@,ATL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,19,13:55,1,0,0,0,
25,2010-11-15,17,28-226,PIT,,NYR,L-OT,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,10:51,0,1,0,0,
26,2010-11-17,18,28-228,PIT,,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,13:14,0,0,0,0,
27,2010-11-19,19,28-230,PIT,,CAR,W,0,0,0,-1,4,0,0,0,0,,,,2,0.0,17,12:34,3,2,0,0,
28,2010-11-24,20,28-235,PIT,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,0,,15,11:16,2,0,0,0,
29,2010-11-27,21,28-238,PIT,,CGY,W,0,0,0,0,9,0,0,0,0,,,,1,0.0,18,13:22,2,6,0,0,
30,2010-11-29,22,28-240,PIT,@,NYR,W,0,0,0,1,2,0,0,0,0,,,,0,,18,14:52,3,0,0,0,
31,2010-12-02,23,28-243,PIT,,ATL,W,0,1,1,0,0,0,0,0,0,,,,0,,16,14:13,2,1,0,0,
32,2010-12-04,24,28-245,PIT,@,CBJ,W,1,0,1,3,2,1,0,0,0,,,,3,33.3,19,17:23,2,1,0,0,
33,2010-12-06,25,28-247,PIT,,NJD,W,0,0,0,0,5,0,0,0,0,,,,0,,15,12:52,1,0,0,0,
34,2010-12-08,26,28-249,PIT,,TOR,W,0,0,0,0,5,0,0,0,0,,,,1,0.0,14,10:57,0,1,0,0,
35,2010-12-14,27,28-255,PIT,@,PHI,L,0,0,0,-1,2,0,0,0,0,,,,0,,15,9:48,3,0,0,0,
36,2010-12-20,28,28-261,PIT,,PHX,W,0,0,0,1,5,0,0,0,0,,,,1,0.0,20,14:04,2,0,0,0,
37,2010-12-23,29,28-264,PIT,@,WSH,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:54,1,5,0,0,
38,2010-12-26,30,28-267,PIT,@,OTT,L,0,0,0,0,2,0,0,0,0,,,,0,,15,12:48,2,0,0,0,
39,2010-12-29,31,28-270,PIT,@,NYI,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,19,16:22,2,0,0,0,
40,2011-01-01,32,28-273,PIT,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,17,12:44,4,2,0,0,
41,2011-01-06,33,28-278,PIT,@,MTL,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,6,5:13,1,0,0,0,
42,2011-01-10,34,28-282,PIT,,BOS,L,0,1,1,1,0,0,0,0,0,,,,0,,13,10:50,2,1,0,0,
43,2011-01-12,35,28-284,PIT,@,MTL,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,18,13:43,4,2,0,0,
