,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-12-03,1,20-317,OTT,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:49,7,0,0,0,
1,2016-12-05,2,20-319,OTT,@,PIT,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,8:20,2,0,0,0,
2,2016-12-07,3,20-321,OTT,@,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,8,4:42,1,0,0,0,
3,2016-12-11,4,20-325,OTT,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,16:58,6,0,0,0,
4,2017-04-09,5,21-078,OTT,@,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,21,13:20,2,0,0,0,
5,2018-04-07,1,22-076,OTT,@,BOS,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,16,11:21,3,2,0,0,
6,2019-04-03,1,23-072,OTT,@,NYR,W,0,0,0,1,10,0,0,0,0,0,0,0,1,0.0,20,15:06,0,1,0,0,
7,2019-04-04,2,23-073,OTT,@,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,12:36,0,0,0,0,
8,2019-04-06,3,23-075,OTT,,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,12:18,5,1,0,0,
9,2019-12-16,1,23-329,OTT,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:25,1,0,0,0,
10,2019-12-17,2,23-330,OTT,@,TBL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:27,4,1,0,0,
11,2019-12-19,3,23-332,OTT,,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,7:17,1,2,0,0,
12,2019-12-21,4,23-334,OTT,,PHI,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,10:44,1,0,0,0,
13,2019-12-23,5,23-336,OTT,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,10:29,3,2,0,0,
14,2019-12-29,6,23-342,OTT,,NJD,L-OT,0,1,1,1,7,0,0,0,0,1,0,0,1,0.0,14,9:48,1,0,0,0,
15,2019-12-30,7,23-343,OTT,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,13:49,5,0,0,0,
16,2020-01-02,8,23-346,OTT,,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,13:38,4,0,0,0,
17,2020-01-04,9,23-348,OTT,,TBL,L,0,0,0,-1,5,0,0,0,0,0,0,0,0,,16,10:46,3,1,0,0,
18,2020-01-07,10,23-351,OTT,@,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,15:25,2,1,0,0,
19,2020-01-10,11,23-354,OTT,@,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:27,1,0,0,0,
20,2020-01-11,12,23-355,OTT,,MTL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:44,2,1,0,0,
21,2020-02-18,13,24-028,OTT,,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:06,2,0,0,0,
22,2020-02-20,14,24-030,OTT,,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:20,5,0,0,0,
23,2020-02-22,15,24-032,OTT,,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:27,2,0,0,0,
24,2020-02-24,16,24-034,OTT,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:49,2,0,0,0,
25,2020-02-25,17,24-035,OTT,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:45,0,0,0,0,
26,2020-02-27,18,24-037,OTT,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:00,2,1,0,0,
27,2020-02-29,19,24-039,OTT,,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:18,1,0,0,0,
28,2020-03-03,20,24-042,OTT,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:48,4,2,0,0,
29,2020-03-05,21,24-044,OTT,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:29,2,0,0,0,
30,2020-03-07,22,24-046,OTT,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:14,5,0,0,0,
31,2020-03-10,23,24-049,OTT,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,20,16:11,4,2,0,0,
32,2020-03-11,24,24-050,OTT,@,LAK,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,18:19,1,3,0,0,
