,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-10-09,1,22-282,COL,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,7:56,0,1,0,0,
1,2014-10-11,2,22-284,COL,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:42,3,0,0,0,
2,2014-10-13,3,22-286,COL,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:42,1,0,0,0,
3,2014-10-14,4,22-287,COL,@,TOR,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,16,13:03,2,1,0,0,
4,2014-10-16,5,22-289,COL,@,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,8:48,1,1,0,0,
5,2014-10-30,6,22-303,COL,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:54,2,2,0,1,0.0
6,2014-11-01,7,22-305,COL,@,STL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,10:26,1,0,0,0,
7,2014-11-02,8,22-306,COL,,ANA,L,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,19,14:01,4,0,0,0,
8,2014-11-04,9,22-308,COL,,VAN,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,15,12:03,2,0,0,0,
9,2014-11-06,10,22-310,COL,,TOR,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:27,2,1,0,0,
10,2014-11-08,11,22-312,COL,@,PHI,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,9:28,3,0,0,0,
11,2014-11-11,12,22-315,COL,@,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,15,8:54,1,0,0,0,
12,2014-11-20,13,22-324,COL,,WSH,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,10:21,3,1,0,0,
13,2014-12-11,14,22-345,COL,,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,9:05,0,0,0,0,
14,2014-12-13,15,22-347,COL,,STL,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:30,0,1,0,0,
15,2014-12-18,16,22-352,COL,@,PIT,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,8:23,1,0,0,0,
16,2014-12-21,17,22-355,COL,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,8:07,0,0,0,0,
