,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2011-10-07,1,19-201,CAR,,TBL,L,0,0,0,-2,4,0,0,0,0,,,,0,,25,19:43,2,1,0,0,
1,2011-10-08,2,19-202,CAR,@,WSH,L-OT,0,0,0,-2,0,0,0,0,0,,,,0,,25,19:16,3,5,0,0,
2,2011-10-10,3,19-204,CAR,@,NJD,L,0,0,0,-2,6,0,0,0,0,,,,3,0.0,28,17:58,1,0,0,0,
3,2011-11-18,4,19-243,CAR,,BUF,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,30,22:07,0,0,0,0,
4,2011-11-20,5,19-245,CAR,,TOR,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,26,21:41,3,1,0,0,
5,2011-11-21,6,19-246,CAR,@,PHI,W,0,0,0,-1,0,0,0,0,0,,,,0,,33,24:04,3,1,0,0,
6,2011-11-23,7,19-248,CAR,,MTL,L-SO,0,1,1,1,0,0,0,0,0,,,,1,0.0,34,26:15,4,1,0,0,
7,2011-11-25,8,19-250,CAR,,WPG,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,25,23:37,2,1,0,0,
8,2011-11-27,9,19-252,CAR,@,OTT,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,30,21:39,0,0,0,0,
9,2011-11-29,10,19-254,CAR,,FLA,L,0,0,0,1,0,0,0,0,0,,,,0,,27,21:22,0,1,0,0,
10,2011-12-01,11,19-256,CAR,,NYR,L,0,0,0,2,2,0,0,0,0,,,,4,0.0,29,21:21,1,2,0,0,
11,2011-12-03,12,19-258,CAR,,PIT,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,28,21:37,0,1,0,0,
12,2011-12-06,13,19-261,CAR,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,27,21:41,1,0,0,0,
13,2011-12-07,14,19-262,CAR,@,EDM,W,0,1,1,-1,0,0,0,0,0,,,,0,,29,20:36,0,2,0,0,
14,2011-12-09,15,19-264,CAR,@,WPG,L,1,0,1,1,2,1,0,0,0,,,,2,50.0,28,24:17,2,2,0,0,
15,2011-12-13,16,19-268,CAR,@,TOR,L-OT,0,0,0,-1,2,0,0,0,0,,,,3,0.0,27,20:49,4,0,0,0,
16,2011-12-15,17,19-270,CAR,,VAN,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,34,25:09,1,1,0,0,
17,2011-12-18,18,19-273,CAR,@,FLA,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,29,20:01,1,1,0,0,
18,2011-12-21,19,19-276,CAR,,PHX,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,27,24:43,2,1,0,0,
19,2011-12-23,20,19-278,CAR,,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,26,22:54,1,0,0,0,
20,2011-12-26,21,19-281,CAR,,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,28,21:50,4,0,0,0,
21,2011-12-27,22,19-282,CAR,@,PIT,L,0,0,0,-2,0,0,0,0,0,,,,0,,28,23:33,0,3,0,0,
22,2011-12-29,23,19-284,CAR,,TOR,W,0,1,1,-1,0,0,0,0,0,,,,3,0.0,30,23:03,0,3,0,0,
23,2011-12-31,24,19-286,CAR,@,TBL,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,27,23:02,3,1,0,0,
24,2012-01-03,25,19-289,CAR,,NYI,L-SO,0,0,0,2,0,0,0,0,0,,,,2,0.0,28,20:33,1,1,0,0,
25,2012-01-06,26,19-292,CAR,,BUF,W,1,0,1,-1,2,0,1,0,0,,,,3,33.3,27,20:22,0,2,0,0,
26,2012-01-07,27,19-293,CAR,@,NSH,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,28,21:27,0,1,0,0,
27,2012-01-10,28,19-296,CAR,,PHI,L,0,1,1,-1,0,0,0,0,0,,,,4,0.0,32,22:51,0,2,0,0,
28,2012-01-12,29,19-298,CAR,@,TBL,W,0,1,1,2,0,0,0,0,0,,,,0,,30,21:16,4,1,0,0,
29,2012-01-14,30,19-300,CAR,,BOS,W,1,0,1,2,0,1,0,0,0,,,,2,50.0,32,22:48,1,0,0,0,
30,2012-01-15,31,19-301,CAR,@,WSH,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,29,25:25,3,2,0,0,
31,2012-01-17,32,19-303,CAR,@,PIT,L-SO,0,0,0,0,0,0,0,0,0,,,,2,0.0,31,27:33,3,2,0,0,
32,2012-01-20,33,19-306,CAR,,WSH,W,0,0,0,0,2,0,0,0,0,,,,0,,32,23:24,1,2,0,0,
33,2012-01-21,34,19-307,CAR,@,NYI,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,30,22:51,0,2,0,0,
34,2012-01-23,35,19-309,CAR,,WPG,W,0,0,0,1,0,0,0,0,0,,,,0,,29,25:42,4,2,0,0,
35,2012-01-31,36,19-317,CAR,,NYI,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,29,25:10,1,0,0,0,
36,2012-02-02,37,19-319,CAR,@,BOS,W,0,0,0,1,2,0,0,0,0,,,,2,0.0,28,22:53,1,0,0,0,
37,2012-02-04,38,19-321,CAR,,LAK,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,25,22:59,2,2,0,0,
38,2012-02-08,39,19-325,CAR,@,ANA,L-OT,0,1,1,-1,0,0,0,0,0,,,,1,0.0,24,23:15,8,2,0,0,
39,2012-02-10,40,19-327,CAR,@,COL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,33,25:39,4,2,0,0,
40,2012-02-13,41,19-330,CAR,@,MTL,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,29,22:04,3,3,0,0,
41,2012-02-17,42,19-334,CAR,,SJS,W,1,0,1,1,0,0,1,0,0,,,,4,25.0,28,23:31,2,1,0,0,
42,2012-02-18,43,19-335,CAR,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,5,0.0,31,22:49,3,0,0,0,
43,2012-02-20,44,19-337,CAR,,WSH,W,1,0,1,1,5,0,1,0,1,,,,3,33.3,24,15:09,1,0,0,0,
44,2012-02-23,45,19-340,CAR,,ANA,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,29,25:52,1,2,0,0,
45,2012-02-25,46,19-342,CAR,,FLA,L-SO,1,0,1,0,0,0,1,0,0,,,,1,100.0,35,28:02,1,1,0,0,
46,2012-02-28,47,19-345,CAR,,NSH,W,0,0,0,1,0,0,0,0,0,,,,5,0.0,28,24:01,0,1,0,0,
47,2012-03-01,48,19-347,CAR,,NYR,L,0,1,1,-2,0,0,0,0,0,,,,1,0.0,27,23:13,1,1,0,0,
48,2012-03-03,49,19-349,CAR,,TBL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,32,22:53,2,2,0,0,
49,2012-03-06,50,19-352,CAR,@,WSH,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,33,24:21,2,3,0,0,
50,2012-03-07,51,19-353,CAR,@,BUF,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,33,24:05,1,1,0,0,
51,2012-03-10,52,19-356,CAR,@,TBL,W,0,1,1,1,0,0,0,0,0,,,,0,,31,22:58,1,2,0,0,
52,2012-03-11,53,19-357,CAR,@,FLA,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,29,24:05,2,1,0,0,
