,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1993-01-17,1,23-102,PHI,,DET,L,1,0,1,1,2,1,0,0,0,,,,1,100.0,,,,,,,
1,1993-01-28,2,23-113,PHI,,QUE,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1993-01-30,3,23-115,PHI,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1993-02-03,4,23-119,PHI,@,NYR,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
4,1993-02-09,5,23-125,PHI,,OTT,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
5,1993-02-22,6,23-138,PHI,vs.,DET,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1993-04-01,7,23-176,PHI,,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
7,1993-04-03,8,23-178,PHI,,TBL,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
8,1993-04-15,9,23-190,PHI,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1993-04-16,10,23-191,PHI,@,HAR,W,1,1,2,2,0,1,0,0,0,,,,1,100.0,,,,,,,
10,1994-01-11,1,24-096,PHI,,OTT,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,,,,,,,
11,1994-01-13,2,24-098,PHI,,BOS,W,0,2,2,1,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1994-01-14,3,24-099,PHI,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1994-01-16,4,24-101,PHI,,LAK,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
14,1994-01-19,5,24-104,PHI,,STL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
