,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,26-042,HAR,,QUE,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-10-06,2,26-044,HAR,,NYR,W,0,1,1,1,4,0,0,0,0,,,,0,,,,,,,,
2,1990-10-08,3,26-046,HAR,@,MTL,L,0,0,0,-3,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-10,4,26-048,HAR,,BUF,W,0,2,2,2,6,0,0,0,0,,,,0,,,,,,,,
4,1990-10-12,5,26-050,HAR,@,DET,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
5,1990-10-13,6,26-051,HAR,,MTL,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
6,1990-10-17,7,26-055,HAR,@,TOR,W,1,0,1,0,2,0,1,0,0,,,,2,50.0,,,,,,,
7,1990-10-19,8,26-057,HAR,@,LAK,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1990-10-24,9,26-062,HAR,@,MNS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-27,10,26-065,HAR,,VAN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
10,1990-10-28,11,26-066,HAR,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,,,,,,,
11,1990-10-31,12,26-069,HAR,,MTL,L,0,0,0,1,4,0,0,0,0,,,,1,0.0,,,,,,,
12,1990-11-03,13,26-072,HAR,,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
13,1990-11-09,14,26-078,HAR,@,WIN,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,,,,,,,
14,1990-11-10,15,26-079,HAR,@,MNS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
15,1990-11-15,16,26-084,NYI,@,CGY,W,2,0,2,1,0,1,1,0,0,,,,4,50.0,,,,,,,
16,1990-11-16,17,26-085,NYI,@,VAN,L,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
17,1990-11-18,18,26-087,NYI,@,EDM,L,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
