,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-10-09,1,20-112,LAK,,PHX,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,13,13:16,,,,,
1,2002-10-12,2,20-115,LAK,,DET,W,0,0,0,-1,2,0,0,0,0,,,,0,,14,10:40,,,,,
2,2002-10-16,3,20-119,LAK,@,MDA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,12,7:21,,,,,
3,2002-10-17,4,20-120,LAK,,COL,L,0,0,0,-1,2,0,0,0,0,,,,1,0.0,14,7:06,,,,,
4,2002-10-19,5,20-122,LAK,,VAN,T,0,1,1,1,0,0,0,0,0,,,,2,0.0,16,13:36,,,,,
5,2002-10-23,6,20-126,LAK,@,DET,T,0,1,1,1,2,0,0,0,0,,,,0,,11,6:03,,,,,
6,2002-10-25,7,20-128,LAK,@,NYR,W,1,0,1,2,0,1,0,0,1,,,,4,25.0,21,14:09,,,,,
7,2002-10-27,8,20-130,LAK,@,CBJ,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,22,18:32,,,,,
8,2002-10-29,9,20-132,LAK,@,ATL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,29,18:08,,,,,
9,2002-10-31,10,20-134,LAK,@,CHI,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,10:57,,,,,
10,2002-11-02,11,20-136,LAK,,NSH,W,2,0,2,2,2,2,0,0,0,,,,2,100.0,15,11:00,,,,,
11,2002-11-04,12,20-138,LAK,,MIN,L,1,0,1,0,0,1,0,0,0,,,,3,33.3,21,15:31,,,,,
12,2002-11-05,13,20-139,LAK,@,SJS,L,0,1,1,0,0,0,0,0,0,,,,0,,22,15:34,,,,,
13,2002-11-08,14,20-142,LAK,@,OTT,W,0,1,1,1,0,0,0,0,0,,,,0,,15,11:29,,,,,
14,2002-11-09,15,20-143,LAK,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,15,11:46,,,,,
15,2002-11-12,16,20-146,LAK,@,TOR,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:54,,,,,
16,2002-11-14,17,20-148,LAK,@,VAN,L,1,0,1,1,0,1,0,0,0,,,,2,50.0,21,18:11,,,,,
17,2002-11-16,18,20-150,LAK,@,EDM,W,0,0,0,1,2,0,0,0,0,,,,1,0.0,21,15:02,,,,,
18,2002-11-19,19,20-153,LAK,@,MIN,T,1,0,1,1,0,1,0,0,0,,,,3,33.3,23,16:24,,,,,
19,2002-11-21,20,20-155,LAK,@,STL,L-OT,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,13:42,,,,,
20,2002-11-23,21,20-157,LAK,,DAL,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,18:19,,,,,
