,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-10-22,1,23-174,NSH,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:01,0,3,1,2,33.3
1,2016-11-27,2,23-210,NSH,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:55,0,0,0,0,
2,2016-11-29,3,23-212,NSH,@,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,13:02,0,0,0,0,
3,2016-12-03,4,23-216,NSH,,NJD,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,5:55,0,1,3,5,37.5
4,2016-12-04,5,23-217,NSH,,PHI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,12,8:39,0,0,0,0,
5,2016-12-06,6,23-219,NSH,,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:54,0,0,0,0,
6,2016-12-08,7,23-221,NSH,@,DAL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,10:57,0,0,0,0,
7,2016-12-10,8,23-223,NSH,@,ARI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:22,0,0,0,1,0.0
8,2017-01-08,9,23-252,NSH,@,CHI,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,8:13,1,1,0,0,
9,2017-10-17,1,24-169,NSH,,COL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,7:27,0,1,0,1,0.0
10,2017-10-19,2,24-171,NSH,@,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:34,0,2,3,3,50.0
11,2017-10-21,3,24-173,NSH,@,NYR,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,8:28,1,1,2,2,50.0
12,2017-10-24,4,24-176,NSH,,CGY,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,11:40,0,1,3,6,33.3
13,2017-10-27,5,24-179,NSH,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:52,1,0,2,6,25.0
14,2017-10-28,6,24-180,NSH,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,13:27,1,0,6,6,50.0
15,2017-11-01,7,24-184,NSH,@,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,14,7:47,1,1,3,1,75.0
16,2017-11-03,8,24-186,NSH,@,ANA,W,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,18,12:18,0,0,5,6,45.5
17,2017-11-04,9,24-187,NSH,@,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,12:27,0,1,2,1,66.7
18,2017-11-07,10,24-190,NSH,@,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,11:00,0,1,5,4,55.6
19,2017-11-22,11,24-205,NSH,,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:39,0,0,5,3,62.5
20,2017-11-26,12,24-209,NSH,@,CAR,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,7:56,2,0,2,3,40.0
21,2017-11-30,13,24-213,NSH,,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:29,1,0,5,2,71.4
22,2017-12-02,14,24-215,NSH,,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:27,0,0,1,4,20.0
23,2017-12-04,15,24-217,NSH,,BOS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,9:23,0,0,6,2,75.0
24,2017-12-05,16,24-218,NSH,@,DAL,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,17,12:39,1,0,3,7,30.0
25,2017-12-08,17,24-221,NSH,,VEG,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:01,0,0,4,2,66.7
26,2017-12-30,18,24-243,NSH,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:21,0,0,3,3,50.0
27,2018-01-16,19,24-260,NSH,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:19,0,0,2,4,33.3
28,2018-01-18,20,24-262,NSH,,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,13,6:59,0,0,7,4,63.6
29,2018-10-06,1,25-158,NSH,@,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:28,0,0,1,4,20.0
30,2018-10-09,2,25-161,NSH,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,5:54,0,0,0,1,0.0
31,2018-10-20,3,25-172,NSH,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,6:35,1,0,0,0,
32,2018-11-01,4,25-184,NSH,@,TBL,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:04,0,0,1,3,25.0
33,2018-11-03,5,25-186,NSH,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:33,0,0,3,1,75.0
34,2018-11-07,6,25-190,NSH,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:16,0,1,1,4,20.0
35,2018-11-10,7,25-193,NSH,@,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,7:32,0,1,2,5,28.6
36,2018-11-12,8,25-195,NSH,@,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,7:50,1,0,3,3,50.0
37,2018-11-13,9,25-196,NSH,@,SJS,L,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,7:03,0,0,3,3,50.0
38,2018-11-15,10,25-198,NSH,@,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,6:42,1,0,2,2,50.0
39,2018-11-17,11,25-200,NSH,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:21,0,0,5,3,62.5
