,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,27-101,CGY,,VAN,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
1,1990-10-06,2,27-103,CGY,,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1990-10-08,3,27-105,CGY,@,WIN,W,0,0,0,-1,2,0,0,0,0,,,,0,,,,,,,,
3,1990-10-10,4,27-107,CGY,@,DET,L,1,0,1,-2,0,1,0,0,0,,,,1,100.0,,,,,,,
4,1990-10-13,5,27-110,CGY,@,NJD,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
5,1990-10-14,6,27-111,CGY,@,CHI,W,0,1,1,0,2,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-10-18,7,27-115,CGY,,STL,L,0,2,2,1,2,0,0,0,0,,,,2,0.0,,,,,,,
7,1990-10-20,8,27-117,CGY,,BOS,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1990-10-21,9,27-118,CGY,@,EDM,W,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
9,1990-10-23,10,27-120,CGY,@,LAK,L,0,0,0,-2,14,0,0,0,0,,,,1,0.0,,,,,,,
10,1990-10-25,11,27-122,CGY,,EDM,W,1,0,1,0,2,0,0,1,1,,,,2,50.0,,,,,,,
11,1990-10-27,12,27-124,CGY,,WSH,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
12,1990-10-30,13,27-127,CGY,,NJD,W,0,2,2,1,0,0,0,0,0,,,,4,0.0,,,,,,,
13,1990-11-01,14,27-129,CGY,,WIN,W,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
14,1990-11-03,15,27-131,CGY,@,TOR,W,0,3,3,3,0,0,0,0,0,,,,5,0.0,,,,,,,
15,1990-11-04,16,27-132,CGY,@,BUF,L,1,0,1,1,0,1,0,0,0,,,,3,33.3,,,,,,,
16,1990-11-06,17,27-134,CGY,@,PIT,L,0,2,2,-1,2,0,0,0,0,,,,0,,,,,,,,
17,1990-11-08,18,27-136,CGY,@,PHI,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1990-11-10,19,27-138,CGY,@,NYI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
19,1990-11-11,20,27-139,CGY,@,NYR,T,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
20,1990-11-15,21,27-143,CGY,,NYI,L,0,1,1,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1990-11-17,22,27-145,CGY,,BUF,T,0,0,0,0,0,0,0,0,0,,,,5,0.0,,,,,,,
22,1990-11-19,23,27-147,CGY,@,VAN,W,0,0,0,0,7,0,0,0,0,,,,0,,,,,,,,
23,1990-11-22,24,27-150,CGY,,LAK,W,1,1,2,1,10,1,0,0,0,,,,3,33.3,,,,,,,
24,1990-11-24,25,27-152,CGY,,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1990-11-28,26,27-156,CGY,@,WIN,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
26,1990-12-01,27,27-159,CGY,@,MTL,W,0,2,2,3,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1990-12-02,28,27-160,CGY,@,QUE,T,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
28,1990-12-05,29,27-163,CGY,,NYR,W,0,2,2,4,0,0,0,0,0,,,,1,0.0,,,,,,,
29,1990-12-07,30,27-165,CGY,,QUE,L,1,2,3,1,0,1,0,0,0,,,,2,50.0,,,,,,,
30,1990-12-09,31,27-167,CGY,@,EDM,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1990-12-11,32,27-169,CGY,@,MNS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
32,1990-12-13,33,27-171,CGY,@,LAK,W,1,0,1,2,0,1,0,0,1,,,,3,33.3,,,,,,,
33,1990-12-16,34,27-174,CGY,@,VAN,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
34,1990-12-18,35,27-176,CGY,,VAN,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
35,1990-12-20,36,27-178,CGY,,LAK,L,0,0,0,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
36,1990-12-22,37,27-180,CGY,,EDM,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1990-12-27,38,27-185,CGY,@,EDM,L,0,0,0,-1,10,0,0,0,0,,,,0,,,,,,,,
38,1990-12-29,39,27-187,CGY,,HAR,W,2,1,3,1,0,1,1,0,0,,,,2,100.0,,,,,,,
39,1990-12-31,40,27-189,CGY,,MTL,W,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
40,1991-01-02,41,27-191,CGY,@,WIN,T,1,0,1,0,4,1,0,0,0,,,,4,25.0,,,,,,,
41,1991-01-05,42,27-194,CGY,,DET,W,0,2,2,3,0,0,0,0,0,,,,2,0.0,,,,,,,
42,1991-01-08,43,27-197,CGY,@,TOR,W,0,0,0,0,9,0,0,0,0,,,,1,0.0,,,,,,,
43,1991-01-10,44,27-199,CGY,@,PIT,L,0,0,0,-1,4,0,0,0,0,,,,2,0.0,,,,,,,
44,1991-01-11,45,27-200,CGY,@,WSH,L,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
45,1991-01-13,46,27-202,CGY,@,WIN,L,0,0,0,-2,16,0,0,0,0,,,,0,,,,,,,,
46,1991-01-15,47,27-204,CGY,,WIN,W,1,0,1,-1,8,1,0,0,0,,,,2,50.0,,,,,,,
47,1991-01-22,48,27-211,CGY,@,PHI,L,0,1,1,1,2,0,0,0,0,,,,2,0.0,,,,,,,
48,1991-01-23,49,27-212,CGY,@,HAR,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1991-01-26,50,27-215,CGY,@,BOS,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
50,1991-01-27,51,27-216,CGY,@,BUF,W,1,0,1,-1,0,1,0,0,1,,,,4,25.0,,,,,,,
51,1991-01-30,52,27-219,CGY,,NYR,W,1,1,2,3,0,0,0,1,0,,,,1,100.0,,,,,,,
52,1991-02-02,53,27-222,CGY,,CHI,W,1,1,2,0,0,1,0,0,1,,,,3,33.3,,,,,,,
53,1991-02-05,54,27-225,CGY,@,NJD,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
54,1991-02-07,55,27-227,CGY,@,BOS,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
55,1991-02-09,56,27-229,CGY,@,HAR,W,0,2,2,0,2,0,0,0,0,,,,0,,,,,,,,
56,1991-02-12,57,27-232,CGY,@,LAK,T,0,0,0,2,2,0,0,0,0,,,,2,0.0,,,,,,,
57,1991-02-15,58,27-235,CGY,,WSH,W,1,1,2,3,0,1,0,0,0,,,,2,50.0,,,,,,,
58,1991-02-17,59,27-237,CGY,,STL,W,0,3,3,4,0,0,0,0,0,,,,2,0.0,,,,,,,
59,1991-02-19,60,27-239,CGY,,DET,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
60,1991-02-21,61,27-241,CGY,,VAN,W,2,1,3,2,0,2,0,0,1,,,,4,50.0,,,,,,,
61,1991-02-23,62,27-243,CGY,,QUE,W,1,2,3,1,0,0,1,0,0,,,,3,33.3,,,,,,,
62,1991-02-25,63,27-245,CGY,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,3,0.0,,,,,,,
63,1991-02-27,64,27-247,CGY,,EDM,W,0,0,0,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
