,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2009-10-02,1,25-074,NYR,@,PIT,L,0,0,0,2,0,0,0,0,0,,,,0,,26,19:58,0,0,0,0,
1,2009-10-03,2,25-075,NYR,,OTT,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,20,15:39,0,1,0,0,
2,2009-10-05,3,25-077,NYR,@,NJD,W,1,0,1,1,0,1,0,0,1,,,,6,16.7,25,18:52,0,0,0,0,
3,2009-10-08,4,25-080,NYR,@,WSH,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,31,21:33,1,2,0,0,
4,2009-10-11,5,25-083,NYR,,ANA,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,24,18:05,1,1,0,0,
5,2009-10-12,6,25-084,NYR,,TOR,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,27,18:56,1,3,0,0,
6,2009-10-14,7,25-086,NYR,,LAK,W,0,0,0,1,0,0,0,0,0,,,,0,,28,21:37,0,2,0,0,
7,2009-10-17,8,25-089,NYR,@,TOR,W,0,0,0,1,0,0,0,0,0,,,,3,0.0,23,18:39,2,3,0,0,
8,2009-10-19,9,25-091,NYR,,SJS,L,0,1,1,0,0,0,0,0,0,,,,2,0.0,29,18:21,1,0,0,0,
9,2009-10-22,10,25-094,NYR,,NJD,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,20:05,0,0,0,0,
10,2009-10-24,11,25-096,NYR,@,MTL,L-OT,1,0,1,-1,0,1,0,0,0,,,,5,20.0,29,19:42,2,0,0,0,
11,2009-10-26,12,25-098,NYR,,PHX,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,15:00,3,2,0,0,
12,2009-10-28,13,25-100,NYR,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,20,13:31,2,3,0,0,
13,2009-10-30,14,25-102,NYR,@,MIN,L,0,0,0,1,0,0,0,0,0,,,,0,,28,16:42,1,1,0,0,
14,2009-11-01,15,25-104,NYR,,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,27,22:07,0,1,0,0,
15,2009-11-03,16,25-106,NYR,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,31,22:49,0,3,0,0,
16,2009-11-05,17,25-108,NYR,@,EDM,W,0,1,1,0,0,0,0,0,0,,,,5,0.0,27,21:06,1,2,0,0,
17,2009-11-07,18,25-110,NYR,@,CGY,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,25,17:53,0,1,0,0,
18,2009-11-12,19,25-115,NYR,,ATL,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,27,23:01,2,0,0,0,
19,2009-11-14,20,25-117,NYR,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,25,19:59,1,1,0,0,
20,2009-11-17,21,25-120,NYR,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,25,19:31,0,0,0,0,
21,2009-11-21,22,25-124,NYR,,FLA,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,17:37,0,1,0,0,
22,2009-11-23,23,25-126,NYR,,CBJ,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,25,19:38,0,2,0,0,
23,2009-11-25,24,25-128,NYR,@,FLA,W,0,0,0,0,17,0,0,0,0,,,,2,0.0,18,13:15,0,0,0,0,
24,2009-11-27,25,25-130,NYR,@,TBL,L,0,0,0,-1,0,0,0,0,0,,,,0,,24,18:30,0,2,0,0,
