,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2001-12-30,1,22-346,NJD,@,EDM,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,15:35,,,,,
1,2002-01-01,2,22-348,NJD,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,13:10,,,,,
2,2002-01-03,3,22-350,NJD,,NSH,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,15,11:17,,,,,
3,2002-01-23,4,23-005,NJD,@,FLA,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,14:34,,,,,
4,2002-01-24,5,23-006,NJD,@,ATL,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,16,12:23,,,,,
5,2002-01-26,6,23-008,NJD,@,MIN,T,0,0,0,1,0,0,0,0,0,,,,3,0.0,15,11:00,,,,,
6,2002-01-29,7,23-011,NJD,@,NYI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,18,13:10,,,,,
7,2002-01-30,8,23-012,NJD,,CHI,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,20,11:35,,,,,
8,2002-02-05,9,23-018,NJD,,MTL,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,12,8:51,,,,,
9,2002-02-07,10,23-020,NJD,,ATL,T,0,0,0,-1,2,0,0,0,0,,,,1,0.0,13,8:07,,,,,
10,2002-02-09,11,23-022,NJD,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,0,,14,9:58,,,,,
11,2002-02-10,12,23-023,NJD,,BUF,W,0,2,2,2,0,0,0,0,0,,,,3,0.0,26,15:23,,,,,
12,2002-02-12,13,23-025,NJD,@,BUF,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,20,12:17,,,,,
13,2002-02-27,14,23-040,NJD,,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,9:50,,,,,
14,2002-03-05,15,23-046,NJD,@,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,15,12:58,,,,,
