,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2008-02-13,1,22-198,PIT,,BOS,L,0,0,0,0,0,0,0,0,0,,,,0,,13,8:40,0,1,0,0,
1,2008-03-01,2,22-215,PIT,@,OTT,L,0,1,1,1,0,0,0,0,0,,,,2,0.0,20,17:00,1,1,0,0,
2,2008-03-02,3,22-216,PIT,,ATL,W,0,1,1,1,2,0,0,0,0,,,,0,,24,16:09,0,2,0,0,
3,2008-10-05,1,23-067,PIT,,OTT,L,1,0,1,-1,0,0,1,0,0,,,,2,50.0,18,21:26,0,2,0,0,
4,2008-10-11,2,23-073,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,0,,,,2,0.0,19,14:03,0,4,0,0,
5,2008-10-14,3,23-076,PIT,,PHI,W,0,0,0,1,0,0,0,0,0,,,,0,,17,18:35,1,1,0,0,
6,2008-10-16,4,23-078,PIT,,WSH,L,1,0,1,0,0,0,1,0,0,,,,1,100.0,20,18:43,0,2,0,0,
7,2008-10-18,5,23-080,PIT,,TOR,W,0,0,0,1,4,0,0,0,0,,,,1,0.0,20,17:13,2,1,0,0,
8,2008-10-20,6,23-082,PIT,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,22,16:57,1,0,0,0,
9,2008-10-23,7,23-085,PIT,,CAR,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,24,18:42,1,1,0,0,
10,2008-10-25,8,23-087,PIT,@,NYR,L-SO,0,1,1,1,0,0,0,0,0,,,,0,,20,16:04,1,0,0,0,
11,2008-10-28,9,23-090,PIT,@,SJS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,17:35,0,1,0,0,
12,2008-10-30,10,23-092,PIT,@,PHX,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,24,21:55,0,1,0,0,
13,2008-11-01,11,23-094,PIT,@,STL,W,1,0,1,0,0,1,0,0,0,,,,4,25.0,18,17:29,0,1,0,0,
14,2008-11-06,12,23-099,PIT,,EDM,W,0,1,1,2,0,0,0,0,0,,,,1,0.0,20,17:11,2,2,0,0,
15,2008-11-08,13,23-101,PIT,@,NYI,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,24,20:38,3,1,0,0,
16,2008-11-11,14,23-104,PIT,@,DET,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,30,28:12,1,0,0,0,
17,2008-11-13,15,23-106,PIT,,PHI,W,0,0,0,-1,0,0,0,0,0,,,,4,0.0,26,23:51,1,1,0,0,
18,2008-11-15,16,23-108,PIT,,BUF,W,1,1,2,0,0,0,1,0,0,,,,3,33.3,21,22:18,0,0,0,0,
19,2008-11-18,17,23-111,PIT,,MIN,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,19:54,1,0,0,0,
20,2008-11-20,18,23-113,PIT,@,ATL,W,0,0,0,2,0,0,0,0,0,,,,2,0.0,21,19:18,0,2,0,0,
21,2008-11-22,19,23-115,PIT,,VAN,L,0,1,1,-1,0,0,0,0,0,,,,2,0.0,26,19:22,1,0,0,0,
22,2008-11-26,20,23-119,PIT,@,NYI,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,18,16:14,0,2,0,0,
23,2008-11-28,21,23-121,PIT,@,BUF,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,20,20:38,0,1,0,0,
24,2008-11-29,22,23-122,PIT,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,22,17:51,1,1,0,0,
25,2008-12-03,23,23-126,PIT,@,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,0,,21,18:08,1,1,0,0,
26,2008-12-04,24,23-127,PIT,@,CAR,W,0,1,1,1,0,0,0,0,0,,,,0,,21,16:15,1,2,0,0,
