,date_game,game_season,age,team_id,game_location,opp_id,game_result,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
0,1990-10-06,1,27-242,QUE,@,BOS,L,,4,29,25,.862,0,0,40:00
1,1990-10-07,2,27-243,QUE,,BOS,L,L,4,26,22,.846,0,0,59:26
2,1990-10-10,3,27-246,QUE,@,TOR,W,,3,7,4,.571,0,0,8:53
3,1990-11-03,4,27-270,QUE,,MNS,L,L,1,21,20,.952,0,0,59:28
4,1990-11-08,5,27-275,QUE,@,MNS,L,L,3,27,24,.889,0,0,59:03
5,1990-11-10,6,27-277,QUE,,PHI,L,L,3,6,3,.500,0,0,10:35
6,1990-11-17,7,27-284,QUE,,CHI,L,,4,11,7,.636,0,0,38:01
7,1990-11-19,8,27-286,QUE,,MTL,L,L,5,36,31,.861,0,0,60:00
8,1990-11-24,9,27-291,QUE,,WIN,L,L,7,20,13,.650,0,0,46:21
9,1990-12-15,10,27-312,QUE,,NYI,L,,2,3,1,.333,0,0,20:00
10,1990-12-23,11,27-320,QUE,@,BUF,L,,2,6,4,.667,0,0,17:02
11,1991-01-24,12,27-352,QUE,@,NJD,L,L,5,17,12,.706,0,0,28:07
12,1991-02-10,13,28-004,QUE,,BOS,L,L,5,16,11,.688,0,0,38:00
