,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-02-11,1,23-342,LAK,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:46,0,1,0,0,
1,2016-02-12,2,23-343,LAK,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:28,2,1,0,0,
2,2016-02-14,3,23-345,LAK,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:52,1,0,0,0,
3,2016-02-16,4,23-347,LAK,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,10:25,0,1,0,0,
4,2016-04-05,5,24-030,LAK,@,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,13:52,1,1,0,0,
5,2016-11-03,1,24-242,LAK,,PIT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,13:25,4,1,0,0,
6,2016-11-05,2,24-244,LAK,,CGY,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,16:35,1,2,0,0,
7,2016-11-08,3,24-247,LAK,@,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,26,19:19,4,3,0,0,
8,2016-11-10,4,24-249,LAK,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:31,2,1,0,0,
9,2016-11-11,5,24-250,LAK,@,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,14:21,1,2,0,0,
10,2016-11-13,6,24-252,LAK,@,WPG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,17,12:03,1,0,0,0,
11,2016-11-15,7,24-254,LAK,@,COL,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,20,13:02,0,2,0,0,
12,2016-11-17,8,24-256,LAK,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:02,2,0,0,0,
13,2016-11-19,9,24-258,LAK,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,16:00,1,2,0,0,
14,2016-11-20,10,24-259,LAK,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,12:15,1,2,0,0,
15,2016-11-23,11,24-262,LAK,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,14:59,2,2,0,0,
16,2016-11-26,12,24-265,LAK,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:25,0,1,0,0,
17,2016-11-30,13,24-269,LAK,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:35,2,3,0,0,
18,2016-12-01,14,24-270,LAK,@,ARI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,16,9:45,0,0,0,0,
19,2016-12-04,15,24-273,LAK,,MTL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:22,0,1,0,0,
20,2016-12-08,16,24-277,LAK,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:39,0,3,0,0,
21,2016-12-10,17,24-279,LAK,,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,19,12:14,0,3,0,0,
22,2016-12-13,18,24-282,LAK,@,BUF,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,15:41,1,0,0,0,
23,2016-12-20,19,24-289,LAK,@,CBJ,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,13:39,2,1,0,0,
