,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2018-12-27,1,23-220,COL,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,8:26,1,1,0,0,
1,2018-12-29,2,23-222,COL,,CHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,10:32,3,5,0,0,
2,2018-12-31,3,23-224,COL,,LAK,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:59,2,0,0,0,
3,2019-01-02,4,23-226,COL,,SJS,L,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,17,10:20,2,1,0,0,
4,2019-01-04,5,23-228,COL,,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,11:36,0,0,0,0,
5,2019-01-08,6,23-232,COL,@,WPG,L,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,15,11:06,0,2,0,0,
6,2019-01-09,7,23-233,COL,@,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,9:19,2,0,0,0,
7,2019-01-12,8,23-236,COL,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,9:32,1,4,0,0,
8,2019-01-23,9,23-247,COL,,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,16:08,1,7,0,0,
9,2019-02-09,10,23-264,COL,@,NYI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:44,2,1,0,0,
10,2019-02-10,11,23-265,COL,@,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:07,0,0,0,0,
11,2019-02-12,12,23-267,COL,,TOR,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,14:14,3,3,0,0,
12,2019-02-14,13,23-269,COL,@,WPG,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:14,0,1,0,0,
13,2019-02-16,14,23-271,COL,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:18,1,3,0,0,
14,2019-02-18,15,23-273,COL,,VEG,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,20,14:18,0,3,0,0,
15,2019-02-20,16,23-275,COL,,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,16:48,2,3,0,0,
16,2019-02-22,17,23-277,COL,@,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,16,12:00,1,5,0,0,
17,2019-02-23,18,23-278,COL,@,NSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,17,12:44,0,2,0,0,
