,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,29-251,LAK,,NYI,W,2,1,3,0,0,0,2,0,0,,,,3,66.7,,,,,,,
1,1990-10-06,2,29-253,LAK,,VAN,L,0,0,0,-4,0,0,0,0,0,,,,3,0.0,,,,,,,
2,1990-10-09,3,29-256,LAK,@,VAN,W,0,1,1,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
3,1990-10-11,4,29-258,LAK,,EDM,T,1,4,5,-1,0,1,0,0,0,,,,2,50.0,,,,,,,
4,1990-10-13,5,29-260,LAK,,BOS,W,2,2,4,2,0,1,1,0,0,,,,3,66.7,,,,,,,
5,1990-10-14,6,29-261,LAK,,STL,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-10-17,7,29-264,LAK,,MNS,W,1,2,3,2,0,1,0,0,0,,,,6,16.7,,,,,,,
7,1990-10-19,8,29-266,LAK,,HAR,W,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
8,1990-10-23,9,29-270,LAK,,CGY,W,0,2,2,0,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-26,10,29-273,LAK,@,WIN,L,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
10,1990-10-28,11,29-275,LAK,@,WIN,W,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
11,1990-10-30,12,29-277,LAK,@,NYI,W,1,1,2,1,0,0,1,0,1,,,,5,20.0,,,,,,,
12,1990-10-31,13,29-278,LAK,@,NYR,L,1,0,1,-2,0,1,0,0,0,,,,4,25.0,,,,,,,
13,1990-11-02,14,29-280,LAK,@,WSH,L,1,1,2,1,0,1,0,0,0,,,,3,33.3,,,,,,,
14,1990-11-04,15,29-282,LAK,@,CHI,W,0,1,1,1,0,0,0,0,0,,,,6,0.0,,,,,,,
15,1990-11-08,16,29-286,LAK,,DET,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,,,,,,,
