,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-11-21,1,22-046,PIT,,NYR,L,2,0,2,1,0,2,0,0,0,0,0,0,5,40.0,20,15:38,4,0,2,2,50.0
1,2016-11-23,2,22-048,PIT,@,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:05,2,0,0,0,
2,2016-11-25,3,22-050,PIT,@,MIN,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,22,16:00,2,1,0,0,
3,2016-11-26,4,22-051,PIT,,NJD,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,16,11:55,3,0,0,0,
4,2016-11-30,5,22-055,PIT,@,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,11:28,1,1,0,0,
5,2017-01-16,6,22-102,PIT,,WSH,W,0,1,1,-1,0,0,0,0,0,1,0,0,0,,19,11:25,6,0,0,0,
6,2017-01-18,7,22-104,PIT,@,MTL,W,1,0,1,2,0,1,0,0,0,0,0,0,1,100.0,22,15:30,6,1,0,1,0.0
7,2017-01-20,8,22-106,PIT,@,CAR,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,14:03,3,1,0,0,
8,2017-01-22,9,22-108,PIT,,BOS,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,14:07,3,0,0,0,
9,2017-01-24,10,22-110,PIT,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:45,1,0,0,0,
10,2017-01-26,11,22-112,PIT,@,BOS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,12:28,1,0,4,3,57.1
11,2017-01-31,12,22-117,PIT,,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,16:21,1,1,1,0,100.0
12,2017-02-03,13,22-120,PIT,,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,16:51,4,2,0,0,
13,2017-02-04,14,22-121,PIT,@,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:29,1,0,1,1,50.0
14,2017-02-07,15,22-124,PIT,,CGY,L-SO,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,24,17:26,2,0,0,0,
15,2017-02-09,16,22-126,PIT,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:52,0,1,0,0,
16,2017-02-11,17,22-128,PIT,@,ARI,L-OT,0,1,1,-2,0,0,0,0,0,1,0,0,3,0.0,27,20:19,1,0,0,0,
17,2017-02-14,18,22-131,PIT,,VAN,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,22,18:53,0,0,0,0,
18,2017-02-16,19,22-133,PIT,,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:30,0,0,0,0,
19,2017-02-17,20,22-134,PIT,@,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:30,0,0,0,0,
20,2017-02-19,21,22-136,PIT,,DET,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,21,14:35,1,0,0,0,
21,2017-02-21,22,22-138,PIT,@,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:38,2,0,0,0,
22,2017-02-25,23,22-142,PIT,,PHI,W,0,2,2,0,2,0,0,0,0,1,1,0,2,0.0,21,13:17,3,0,0,0,
23,2017-02-28,24,22-145,PIT,@,DAL,L,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,22,19:52,0,1,0,0,
24,2017-03-01,25,22-146,PIT,@,CHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,16:34,3,1,0,0,
25,2017-03-03,26,22-148,PIT,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,16:11,1,2,0,0,
26,2017-03-05,27,22-150,PIT,,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,20,14:26,1,0,0,0,
27,2017-03-08,28,22-153,PIT,@,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,14:42,1,1,0,0,
28,2017-03-10,29,22-155,PIT,@,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,19:14,2,1,0,0,
29,2017-03-11,30,22-156,PIT,@,VAN,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,24,21:34,0,0,0,1,0.0
30,2017-03-13,31,22-158,PIT,@,CGY,L-SO,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,27,20:43,0,0,0,0,
31,2017-03-15,32,22-160,PIT,@,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,22,20:17,1,0,0,0,
32,2017-03-17,33,22-162,PIT,,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,24,19:28,0,1,0,0,
33,2017-03-19,34,22-164,PIT,,FLA,W,0,3,3,3,0,0,0,0,0,3,0,0,5,0.0,20,15:49,2,0,0,0,
34,2017-03-21,35,22-166,PIT,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,3:20,0,0,0,0,
35,2017-03-31,36,22-176,PIT,@,NYR,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,16:32,0,0,0,0,
36,2017-04-02,37,22-178,PIT,,CAR,W,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,23,17:22,0,0,0,0,
37,2017-04-04,38,22-180,PIT,,CBJ,W,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,23,18:00,2,1,0,0,
38,2017-04-06,39,22-182,PIT,@,NJD,W,1,1,2,0,2,1,0,0,0,1,0,0,4,25.0,21,16:03,0,1,0,0,
39,2017-04-08,40,22-184,PIT,@,TOR,L,1,1,2,0,0,1,0,0,0,0,1,0,2,50.0,19,16:14,1,1,0,0,
40,2017-10-04,1,22-363,PIT,,STL,L-OT,0,2,2,-1,2,0,0,0,0,1,1,0,0,,24,22:17,0,0,1,0,100.0
41,2017-10-05,2,22-364,PIT,@,CHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,14:11,2,1,1,0,100.0
42,2017-10-07,3,23-001,PIT,,NSH,W,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,23,15:48,2,1,1,2,33.3
43,2017-10-11,4,23-005,PIT,@,WSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,17:26,0,0,0,1,0.0
44,2017-10-12,5,23-006,PIT,@,TBL,L,1,1,2,0,0,1,0,0,0,0,1,0,6,16.7,24,19:46,1,0,1,1,50.0
45,2017-10-14,6,23-008,PIT,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:31,3,0,1,1,50.0
46,2017-10-17,7,23-011,PIT,@,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,15:49,2,1,0,0,
47,2017-10-20,8,23-014,PIT,@,FLA,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,18,12:04,0,0,0,0,
48,2017-10-21,9,23-015,PIT,@,TBL,L,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,22,16:31,1,0,7,5,58.3
49,2017-10-24,10,23-018,PIT,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,25,20:50,2,1,1,0,100.0
50,2017-10-26,11,23-020,PIT,,WPG,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,25,19:11,2,1,0,2,0.0
51,2017-10-28,12,23-022,PIT,@,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,18:01,0,0,0,0,
52,2017-10-29,13,23-023,PIT,@,WPG,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,15:45,3,1,1,1,50.0
