,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2002-10-11,1,21-201,MTL,@,NYR,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,17:45,,,,,
1,2002-10-12,2,21-202,MTL,,BUF,L,0,0,0,-3,0,0,0,0,0,,,,0,,14,12:02,,,,,
2,2002-10-22,3,21-212,MTL,,PIT,T,0,0,0,1,0,0,0,0,0,,,,2,0.0,21,14:11,,,,,
3,2002-10-24,4,21-214,MTL,@,PHI,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,20,16:27,,,,,
4,2002-10-29,5,21-219,MTL,,MDA,T,0,0,0,-1,0,0,0,0,0,,,,0,,22,15:30,,,,,
5,2002-11-01,6,21-222,MTL,@,CAR,T,0,0,0,1,0,0,0,0,0,,,,0,,14,10:19,,,,,
6,2002-11-02,7,21-223,MTL,@,TOR,W,0,0,0,1,2,0,0,0,0,,,,0,,19,9:48,,,,,
7,2002-11-05,8,21-226,MTL,,STL,L,0,0,0,1,0,0,0,0,0,,,,0,,14,10:59,,,,,
8,2002-11-07,9,21-228,MTL,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,13,7:29,,,,,
9,2002-12-23,10,21-274,MTL,@,NYI,L,0,0,0,0,0,0,0,0,0,,,,0,,12,9:02,,,,,
10,2002-12-27,11,21-278,MTL,@,OTT,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,14,8:10,,,,,
11,2002-12-28,12,21-279,MTL,@,PIT,L,0,0,0,1,0,0,0,0,0,,,,1,0.0,20,14:27,,,,,
12,2002-12-31,13,21-282,MTL,@,CGY,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,21,15:53,,,,,
13,2003-01-02,14,21-284,MTL,@,VAN,L,0,0,0,1,0,0,0,0,0,,,,0,,17,13:25,,,,,
14,2003-01-04,15,21-286,MTL,@,EDM,L-OT,0,0,0,-1,0,0,0,0,0,,,,0,,13,8:49,,,,,
15,2003-01-07,16,21-289,MTL,@,NJD,L,0,0,0,0,0,0,0,0,0,,,,0,,18,14:00,,,,,
16,2003-01-13,17,21-295,MTL,,CGY,W,0,0,0,0,0,0,0,0,0,,,,0,,10,7:56,,,,,
17,2003-01-15,18,21-297,MTL,@,ATL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:10,,,,,
18,2003-01-18,19,21-300,MTL,,TOR,L-OT,0,0,0,0,0,0,0,0,0,,,,3,0.0,18,17:29,,,,,
19,2003-01-20,20,21-302,MTL,@,FLA,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,19,14:46,,,,,
20,2003-01-22,21,21-304,MTL,@,TBL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,12:05,,,,,
21,2003-10-09,1,22-199,MTL,@,OTT,L,1,0,1,1,2,1,0,0,0,,,,4,25.0,26,18:59,,,,,
22,2003-10-11,2,22-201,MTL,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,19,15:20,,,,,
