,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2019-03-01,1,21-025,NYR,,MTL,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,17:35,1,0,0,0,
1,2019-03-03,2,21-027,NYR,,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:10,0,0,0,0,
2,2019-03-05,3,21-029,NYR,@,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,17:02,1,1,0,0,
3,2019-03-07,4,21-031,NYR,@,DET,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,26,21:44,3,2,0,0,
4,2019-03-09,5,21-033,NYR,,NJD,W,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,20,14:08,0,0,0,0,
5,2019-10-03,1,21-241,NYR,,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,15,12:20,0,0,0,0,
6,2019-10-05,2,21-243,NYR,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:44,0,1,0,0,
7,2019-10-12,3,21-250,NYR,,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15:25,1,0,0,0,
8,2019-10-17,4,21-255,NYR,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,11:55,0,0,0,0,
9,2019-10-18,5,21-256,NYR,@,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,16:34,2,3,0,0,
10,2019-10-20,6,21-258,NYR,,VAN,L,0,0,0,1,2,0,0,0,0,0,0,0,0,,21,18:10,1,2,0,0,
11,2019-10-22,7,21-260,NYR,,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,19:18,1,3,0,0,
12,2019-10-24,8,21-262,NYR,,BUF,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,17:15,1,5,0,0,
13,2019-10-27,9,21-265,NYR,,BOS,L,0,0,0,-4,0,0,0,0,0,0,0,0,0,,24,17:30,0,3,0,0,
14,2019-10-29,10,21-267,NYR,,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,26,21:43,1,1,0,0,
15,2019-11-02,11,21-271,NYR,@,NSH,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,22,20:29,2,1,0,0,
16,2019-11-04,12,21-273,NYR,,OTT,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,26,14:30,0,1,0,0,
17,2019-11-06,13,21-275,NYR,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,19:48,1,2,0,0,
18,2019-11-07,14,21-276,NYR,@,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,24,20:54,4,4,0,0,
19,2019-11-10,15,21-279,NYR,,FLA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,18:48,3,2,0,0,
20,2019-11-12,16,21-281,NYR,,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:36,0,1,0,0,
21,2019-11-14,17,21-283,NYR,@,TBL,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,26,19:51,0,2,0,0,
22,2019-11-16,18,21-285,NYR,@,FLA,L,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,24,19:30,1,0,0,0,
23,2019-11-20,19,21-289,NYR,,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,16:27,1,0,0,0,
24,2019-11-22,20,21-291,NYR,@,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,14:39,0,2,0,0,
25,2019-11-23,21,21-292,NYR,@,MTL,W,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,19,13:01,1,2,0,0,
26,2019-11-25,22,21-294,NYR,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:02,1,1,0,0,
27,2019-11-27,23,21-296,NYR,,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,13:52,1,1,0,0,
28,2019-11-29,24,21-298,NYR,@,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:40,1,2,0,0,
29,2019-11-30,25,21-299,NYR,@,NJD,W,0,0,0,0,4,0,0,0,0,0,0,0,0,,20,14:01,0,2,0,0,
30,2019-12-02,26,21-301,NYR,,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:39,0,1,0,0,
31,2019-12-05,27,21-304,NYR,@,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4:48,0,0,0,0,
32,2020-01-11,28,21-341,NYR,@,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,15:05,1,2,0,0,
