,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2012-03-23,1,26-343,TOR,@,NJD,W,0,1,1,0,0,0,0,0,0,,,,0,,22,14:34,2,0,0,0,
1,2012-03-24,2,26-344,TOR,,NYR,L-SO,0,0,0,-1,2,0,0,0,0,,,,1,0.0,18,11:42,3,0,0,0,
2,2013-01-31,1,27-291,TOR,,WSH,W,0,0,0,0,0,0,0,0,0,,,,0,,12,7:18,1,0,0,1,0.0
3,2013-03-23,2,27-342,TOR,,BOS,W,0,1,1,1,0,0,0,0,0,,,,0,,22,13:14,4,2,0,0,
4,2013-03-25,3,27-344,TOR,@,BOS,L-SO,0,0,0,-1,0,0,0,0,0,,,,0,,21,12:11,3,0,0,2,0.0
5,2013-03-26,4,27-345,TOR,,FLA,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,23,14:59,2,0,0,1,0.0
6,2013-03-28,5,27-347,TOR,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,10:52,2,1,0,0,
7,2013-03-30,6,27-349,TOR,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,18,9:43,0,1,1,5,16.7
8,2013-04-04,7,27-354,TOR,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,14,10:12,4,0,1,1,50.0
9,2013-04-06,8,27-356,TOR,@,NJD,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,11,7:33,3,2,1,0,100.0
10,2013-04-10,9,27-360,TOR,@,NYR,L-SO,0,0,0,0,0,0,0,0,0,,,,1,0.0,13,10:41,1,1,0,0,
11,2013-04-16,10,28-001,TOR,@,WSH,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,18,11:49,2,0,1,4,20.0
12,2013-10-07,1,28-175,EDM,,NJD,W,0,0,0,0,0,0,0,0,0,,,,0,,9,6:42,2,0,0,0,
13,2013-11-02,2,28-201,EDM,,DET,L,0,0,0,-2,0,0,0,0,0,,,,0,,21,13:21,1,1,0,0,
14,2015-02-10,1,29-301,EDM,@,NYI,L,1,0,1,-1,0,0,1,0,0,0,0,0,3,33.3,20,13:49,0,2,1,0,100.0
15,2015-02-12,2,29-303,EDM,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:26,3,0,0,0,
16,2015-02-14,3,29-305,EDM,@,OTT,L,0,1,1,0,2,0,0,0,0,1,0,0,0,,18,14:22,1,1,0,1,0.0
17,2015-02-16,4,29-307,EDM,@,WPG,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15:43,3,1,0,0,
18,2015-02-18,5,29-309,EDM,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:25,2,2,0,0,
19,2015-02-20,6,29-311,EDM,,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:53,3,1,0,0,
20,2015-02-21,7,29-312,EDM,,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,14:48,3,1,0,0,
21,2015-02-24,8,29-315,EDM,@,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:12,0,2,0,0,
22,2015-02-28,9,29-319,EDM,,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:03,2,1,0,0,
23,2015-03-03,10,29-322,EDM,,LAK,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,17,14:24,1,0,0,1,0.0
24,2015-03-06,11,29-325,EDM,@,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:19,3,1,0,0,
25,2015-03-08,12,29-327,EDM,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,13:41,2,0,0,1,0.0
26,2015-03-09,13,29-328,EDM,@,DET,L,0,0,0,-3,2,0,0,0,0,0,0,0,2,0.0,18,12:32,1,1,0,0,
27,2015-03-12,14,29-331,EDM,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:01,0,0,0,0,
28,2015-03-16,15,29-335,EDM,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,11:09,2,0,0,0,
29,2015-03-18,16,29-337,EDM,,CBJ,L-SO,0,0,0,-2,0,0,0,0,0,0,0,0,0,,14,9:34,1,0,0,0,
