,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1990-10-04,1,28-312,TOR,@,WIN,L,0,0,0,-2,14,0,0,0,0,,,,2,0.0,,,,,,,
1,1990-10-06,2,28-314,TOR,@,CGY,L,0,0,0,0,6,0,0,0,0,,,,0,,,,,,,,
2,1990-10-07,3,28-315,TOR,@,EDM,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
3,1990-10-10,4,28-318,TOR,,QUE,L,1,0,1,1,0,1,0,0,0,,,,1,100.0,,,,,,,
4,1990-10-13,5,28-321,TOR,,DET,T,0,0,0,0,4,0,0,0,0,,,,2,0.0,,,,,,,
5,1990-10-17,6,28-325,TOR,,HAR,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
6,1990-10-18,7,28-326,TOR,@,CHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1990-10-20,8,28-328,TOR,,CHI,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
8,1990-10-22,9,28-330,TOR,@,NYR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1990-10-24,10,28-332,TOR,,STL,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
10,1990-10-30,11,28-338,TOR,,MNS,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
11,1990-11-01,12,28-340,TOR,@,DET,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
12,1990-11-03,13,28-342,TOR,,CGY,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
13,1990-11-04,14,28-343,TOR,,PHI,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
14,1990-11-10,15,28-349,TOR,,CHI,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
15,1990-11-12,16,28-351,TOR,,WIN,W,0,1,1,1,0,0,0,0,0,,,,2,0.0,,,,,,,
16,1990-11-14,17,28-353,TOR,,WSH,W,0,1,1,0,7,0,0,0,0,,,,0,,,,,,,,
17,1990-11-17,18,28-356,TOR,,DET,L,0,1,1,-2,0,0,0,0,0,,,,0,,,,,,,,
18,1990-11-23,19,28-362,TOR,@,PHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
19,1990-11-24,20,28-363,TOR,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
20,1990-11-27,21,29-001,TOR,@,STL,W,1,1,2,0,0,1,0,0,0,,,,3,33.3,,,,,,,
21,1990-11-29,22,29-003,TOR,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
22,1990-12-01,23,29-005,TOR,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
23,1990-12-05,24,29-009,TOR,,MNS,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
24,1990-12-06,25,29-010,TOR,@,MNS,W,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
25,1990-12-08,26,29-012,TOR,,CHI,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,,,,,,,
26,1990-12-12,27,29-016,TOR,,MTL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
27,1990-12-15,28,29-019,TOR,,STL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
28,1990-12-18,29,29-022,TOR,@,NYI,T,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
29,1990-12-19,30,29-023,TOR,@,NYR,W,0,0,0,0,10,0,0,0,0,,,,2,0.0,,,,,,,
30,1990-12-22,31,29-026,TOR,@,WSH,W,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
31,1990-12-23,32,29-027,TOR,@,NJD,L,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
32,1990-12-27,33,29-031,TOR,,STL,W,0,0,0,-2,5,0,0,0,0,,,,2,0.0,,,,,,,
33,1990-12-29,34,29-033,TOR,,PIT,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
34,1991-01-03,35,29-038,TOR,@,MNS,T,0,0,0,0,0,0,0,0,0,,,,6,0.0,,,,,,,
35,1991-01-05,36,29-040,TOR,,LAK,L,1,0,1,0,2,1,0,0,0,,,,3,33.3,,,,,,,
36,1991-01-08,37,29-043,TOR,,CGY,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1991-01-10,38,29-045,TOR,@,CHI,L,0,0,0,0,2,0,0,0,0,,,,2,0.0,,,,,,,
38,1991-01-12,39,29-047,TOR,,HAR,T,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
