,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1995-04-24,1,24-296,BOS,@,NYI,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1996-01-08,1,25-190,FLA,@,SJS,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
2,1996-01-10,2,25-192,FLA,@,COL,T,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
3,1996-01-16,3,25-198,FLA,,SJS,W,0,2,2,1,2,0,0,0,0,,,,0,,,,,,,,
4,1996-01-22,4,25-204,FLA,@,PHI,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
5,1996-01-23,5,25-205,FLA,@,WSH,W,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
6,1996-02-01,6,25-214,FLA,@,BOS,T,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
7,1996-02-11,7,25-224,FLA,,STL,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
8,1996-03-11,8,25-253,FLA,@,CHI,L,0,0,0,-4,0,0,0,0,0,,,,1,0.0,,,,,,,
9,1996-11-09,1,26-130,BOS,@,OTT,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
10,1996-11-14,2,26-135,BOS,,PIT,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
11,1996-11-18,3,26-139,BOS,,SJS,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
12,1996-11-19,4,26-140,BOS,@,WSH,T,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
13,1996-11-21,5,26-142,BOS,,MTL,L,0,1,1,-2,0,0,0,0,0,,,,3,0.0,,,,,,,
14,1996-11-23,6,26-144,BOS,,BUF,L,1,0,1,0,0,0,1,0,0,,,,4,25.0,,,,,,,
15,1996-11-26,7,26-147,BOS,,PHI,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
16,1996-11-29,8,26-150,BOS,,VAN,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
17,1996-11-30,9,26-151,BOS,@,PIT,L,0,0,0,-2,0,0,0,0,0,,,,0,,,,,,,,
18,1996-12-04,10,26-155,BOS,@,MTL,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
19,1996-12-05,11,26-156,BOS,,HAR,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
20,1996-12-07,12,26-158,BOS,,CGY,T,0,1,1,0,0,0,0,0,0,,,,0,,,,,,,,
21,1996-12-09,13,26-160,BOS,,MDA,L,0,1,1,0,0,0,0,0,0,,,,3,0.0,,,,,,,
22,1996-12-12,14,26-163,BOS,,NJD,L,0,0,0,-3,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1996-12-15,15,26-166,BOS,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
24,1996-12-17,16,26-168,BOS,@,PIT,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
25,1996-12-19,17,26-170,BOS,,TBL,W,0,1,1,2,0,0,0,0,0,,,,0,,,,,,,,
26,1996-12-21,18,26-172,BOS,,WSH,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,,,,,,,
27,1996-12-23,19,26-174,BOS,,CHI,T,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
28,1996-12-27,20,26-178,BOS,@,DAL,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
29,1996-12-29,21,26-180,BOS,@,STL,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
30,1997-01-01,22,26-183,BOS,@,OTT,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
31,1997-01-02,23,26-184,BOS,@,HAR,W,0,1,1,1,2,0,0,0,0,,,,1,0.0,,,,,,,
32,1997-01-04,24,26-186,BOS,,DAL,W,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
33,1997-01-07,25,26-189,BOS,@,PHI,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
34,1997-01-09,26,26-191,BOS,,MTL,W,0,1,1,1,0,0,0,0,0,,,,0,,,,,,,,
35,1997-01-11,27,26-193,BOS,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
36,1997-01-13,28,26-195,BOS,,OTT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
37,1997-01-22,29,26-204,BOS,@,OTT,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,,,,,,,
38,1997-01-23,30,26-205,BOS,,FLA,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
39,1997-01-25,31,26-207,BOS,,COL,W,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
40,1997-01-30,32,26-212,BOS,@,FLA,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
41,1997-02-01,33,26-214,BOS,@,TBL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
42,1997-02-02,34,26-215,BOS,@,NYR,W,1,0,1,0,0,0,1,0,1,,,,1,100.0,,,,,,,
43,1997-02-04,35,26-217,BOS,,OTT,L,0,1,1,0,0,0,0,0,0,,,,1,0.0,,,,,,,
44,1997-02-06,36,26-219,BOS,,HAR,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
45,1997-02-08,37,26-221,BOS,,STL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1997-03-12,38,26-253,BOS,@,HAR,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,,,,,,,
47,1997-03-13,39,26-254,BOS,,MTL,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
48,1997-03-17,40,26-258,BOS,@,BUF,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
49,1997-03-19,41,26-260,BOS,@,DET,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,,,,,,,
50,1997-03-22,42,26-263,BOS,,OTT,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
51,1997-04-08,43,26-280,BOS,@,PIT,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
52,1997-04-10,44,26-282,BOS,,BUF,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
53,2001-10-23,1,31-113,CBJ,,LAK,L,0,1,1,1,0,0,0,0,0,,,,1,0.0,15,12:51,,,,,
54,2001-10-25,2,31-115,CBJ,,EDM,L,0,0,0,0,0,0,0,0,0,,,,0,,11,10:09,,,,,
55,2001-10-30,3,31-120,CBJ,@,VAN,L,0,0,0,0,0,0,0,0,0,,,,0,,6,6:00,,,,,
56,2001-12-29,4,31-180,CBJ,,BUF,T,0,2,2,0,0,0,0,0,0,,,,1,0.0,14,10:49,,,,,
57,2001-12-31,5,31-182,CBJ,,MDA,W,0,1,1,0,4,0,0,0,0,,,,2,0.0,20,17:07,,,,,
58,2002-01-03,6,31-185,CBJ,@,STL,L,0,2,2,1,0,0,0,0,0,,,,0,,18,15:52,,,,,
59,2002-01-06,7,31-188,CBJ,,NSH,W,0,1,1,0,0,0,0,0,0,,,,0,,16,15:56,,,,,
60,2002-01-09,8,31-191,CBJ,@,WSH,L,0,0,0,0,2,0,0,0,0,,,,0,,18,17:05,,,,,
61,2002-01-10,9,31-192,CBJ,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,20,15:03,,,,,
62,2002-01-12,10,31-194,CBJ,,CHI,W,0,1,1,0,0,0,0,0,0,,,,0,,14,13:56,,,,,
63,2002-01-14,11,31-196,CBJ,@,NYR,T,0,0,0,-1,0,0,0,0,0,,,,0,,17,14:38,,,,,
64,2002-01-16,12,31-198,CBJ,,NYR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,15:08,,,,,
65,2002-01-18,13,31-200,CBJ,,MIN,L,0,1,1,0,2,0,0,0,0,,,,0,,17,12:26,,,,,
66,2002-01-19,14,31-201,CBJ,@,NSH,L,0,1,1,0,0,0,0,0,0,,,,0,,15,14:40,,,,,
67,2002-01-21,15,31-203,CBJ,,DAL,L,1,0,1,-2,0,0,1,0,0,,,,1,100.0,14,13:41,,,,,
68,2002-01-24,16,31-206,CBJ,,SJS,W,0,1,1,-2,0,0,0,0,0,,,,0,,16,13:05,,,,,
69,2002-01-26,17,31-208,CBJ,,PHX,L,0,0,0,0,0,0,0,0,0,,,,1,0.0,14,13:35,,,,,
70,2002-01-28,18,31-210,CBJ,@,DAL,L,0,0,0,0,0,0,0,0,0,,,,0,,13,10:05,,,,,
71,2002-01-30,19,31-212,CBJ,@,MDA,L,0,0,0,0,0,0,0,0,0,,,,0,,14,13:34,,,,,
72,2002-02-04,20,31-217,CBJ,,BOS,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,14,13:05,,,,,
73,2002-02-28,21,31-241,CBJ,,PIT,L-OT,0,0,0,0,0,0,0,0,0,,,,0,,10,6:46,,,,,
74,2002-03-02,22,31-243,CBJ,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,0,,7,6:21,,,,,
75,2002-03-03,23,31-244,CBJ,@,PHX,L,1,0,1,0,0,0,1,0,0,,,,1,100.0,12,9:58,,,,,
76,2002-03-06,24,31-247,CBJ,@,COL,L,0,1,1,0,0,0,0,0,0,,,,0,,23,16:04,,,,,
77,2002-03-08,25,31-249,CBJ,,NYI,W,0,0,0,0,0,0,0,0,0,,,,0,,9,7:58,,,,,
