,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-03-31,1,21-079,OTT,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:57,0,0,0,0,
1,2016-04-02,2,21-081,OTT,@,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:12,2,0,0,0,
2,2016-04-05,3,21-084,OTT,,PIT,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,12:40,1,2,0,0,
3,2016-04-07,4,21-086,OTT,,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,14:14,2,3,0,0,
4,2016-04-09,5,21-088,OTT,@,BOS,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,15:15,4,2,0,0,
5,2016-12-14,1,21-337,OTT,,SJS,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,10:35,1,2,0,0,
6,2017-04-03,2,22-081,OTT,@,DET,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,11:30,1,0,0,0,
7,2017-04-04,3,22-082,OTT,,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,19:17,0,1,0,0,
8,2017-04-06,4,22-084,OTT,@,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,31,22:53,0,0,0,0,
9,2017-04-08,5,22-086,OTT,,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,17:36,1,0,0,0,
10,2017-04-09,6,22-087,OTT,@,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,29,24:58,2,0,0,0,
11,2017-10-07,1,22-268,OTT,,DET,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:29,0,0,0,0,
12,2017-11-10,2,22-302,OTT,@,COL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:23,3,0,0,0,
13,2017-11-11,3,22-303,OTT,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:12,5,1,0,0,
14,2017-11-18,4,22-310,OTT,,ARI,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:13,1,1,0,0,
15,2017-11-22,5,22-314,OTT,@,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,11:31,0,1,0,0,
16,2017-11-24,6,22-316,OTT,@,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,19:51,1,1,0,0,
17,2017-11-25,7,22-317,OTT,,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:37,1,2,0,0,
18,2017-11-29,8,22-321,OTT,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,13:13,2,0,0,0,
19,2017-12-06,9,22-328,OTT,@,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,17:47,4,1,0,0,
20,2017-12-07,10,22-329,OTT,@,LAK,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,30,20:00,3,1,0,0,
21,2017-12-09,11,22-331,OTT,@,SJS,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,17:09,1,3,0,0,
22,2017-12-12,12,22-334,OTT,@,BUF,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,13:19,1,0,0,0,
23,2017-12-21,13,22-343,OTT,@,TBL,L-SO,0,0,0,0,5,0,0,0,0,0,0,0,0,,16,12:13,0,0,0,0,
24,2017-12-23,14,22-345,OTT,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:22,1,0,0,0,
25,2017-12-29,15,22-351,OTT,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,17:12,3,1,0,0,
26,2017-12-30,16,22-352,OTT,,BOS,L,0,0,0,-1,4,0,0,0,0,0,0,0,0,,30,16:47,5,0,0,0,
27,2018-01-05,17,22-358,OTT,,SJS,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,14:35,3,1,0,0,
28,2018-01-06,18,22-359,OTT,,TBL,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,21,12:43,1,1,0,0,
29,2018-01-09,19,22-362,OTT,,CHI,L,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,18:22,2,1,0,0,
30,2018-01-10,20,22-363,OTT,@,TOR,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,32,20:08,3,0,0,0,
31,2018-02-15,21,23-034,OTT,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:46,1,0,0,0,
32,2018-02-17,22,23-036,OTT,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:34,1,0,0,0,
33,2018-02-22,23,23-041,OTT,,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,11:09,3,0,0,0,
34,2018-02-24,24,23-043,OTT,,PHI,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,15:21,2,1,0,0,
35,2018-02-27,25,23-046,OTT,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:19,1,0,0,0,
36,2018-03-02,26,23-049,OTT,@,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,15:44,0,1,0,0,
37,2018-03-03,27,23-050,OTT,@,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,14:13,2,0,0,0,
38,2018-03-05,28,23-052,OTT,@,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:17,1,2,0,0,
39,2018-03-08,29,23-055,OTT,,BUF,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,16:13,0,0,0,0,
40,2018-03-09,30,23-056,OTT,,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:44,1,1,0,0,
41,2018-03-12,31,23-059,OTT,@,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,22:28,2,2,0,0,
42,2018-03-13,32,23-060,OTT,@,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,29,20:13,1,1,0,0,
43,2018-03-16,33,23-063,OTT,,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,17:16,4,4,0,0,
44,2018-03-17,34,23-064,OTT,@,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:32,1,2,0,0,
45,2018-03-20,35,23-067,OTT,,FLA,L,0,0,0,-4,0,0,0,0,0,0,0,0,0,,26,18:58,1,3,0,0,
46,2018-03-22,36,23-069,OTT,,EDM,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,21,12:41,0,0,0,0,
47,2018-03-24,37,23-071,OTT,,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:02,2,0,0,0,
48,2018-03-26,38,23-073,OTT,@,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,16:17,2,2,0,0,
49,2018-04-02,39,23-080,OTT,,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:42,3,0,0,0,
50,2018-04-04,40,23-082,OTT,@,BUF,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,23,16:13,1,0,0,0,
51,2018-04-06,41,23-084,OTT,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,8:32,2,1,0,0,
52,2018-10-13,1,23-274,OTT,,LAK,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,22:37,3,1,0,0,
53,2018-10-15,2,23-276,OTT,,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,21:13,1,0,0,0,
54,2018-10-20,3,23-281,OTT,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,14:48,2,2,0,0,
55,2018-11-23,4,23-315,OTT,@,DAL,L,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,32,19:14,0,0,0,0,
56,2018-11-26,5,23-318,OTT,@,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,14:52,0,2,0,0,
57,2018-11-27,6,23-319,OTT,@,PHI,W,0,0,0,1,5,0,0,0,0,0,0,0,0,,22,16:34,1,1,0,0,
58,2018-11-29,7,23-321,OTT,,NYR,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,18:47,3,1,0,0,
59,2018-12-01,8,23-323,OTT,,SJS,W,1,0,1,3,0,1,0,0,0,0,0,0,1,100.0,24,20:45,3,1,0,0,
60,2018-12-04,9,23-326,OTT,@,MTL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,18:15,1,4,0,0,
61,2018-12-06,10,23-328,OTT,,MTL,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,23,18:06,5,3,0,0,
62,2018-12-08,11,23-330,OTT,,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,18:22,5,3,0,0,
63,2018-12-09,12,23-331,OTT,,BOS,L-OT,0,1,1,1,17,0,0,0,0,1,0,0,0,,17,14:18,3,2,0,0,
64,2018-12-11,13,23-333,OTT,@,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:50,3,1,0,0,
65,2018-12-14,14,23-336,OTT,@,DET,W,0,0,0,1,5,0,0,0,0,0,0,0,0,,22,17:19,1,5,0,0,
66,2018-12-15,15,23-337,OTT,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,19:30,2,1,0,0,
67,2018-12-17,16,23-339,OTT,,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:18,3,3,0,0,
68,2018-12-21,17,23-343,OTT,@,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,22,16:08,0,0,0,0,
69,2018-12-22,18,23-344,OTT,,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,21:02,2,0,0,0,
70,2018-12-28,19,23-350,OTT,@,NYI,L,0,0,0,-2,5,0,0,0,0,0,0,0,1,0.0,20,17:43,1,2,0,0,
71,2018-12-29,20,23-351,OTT,,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,18:45,1,2,0,0,
72,2018-12-31,21,23-353,OTT,@,CBJ,L,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,33,25:13,1,1,0,0,
73,2019-01-02,22,23-355,OTT,,VAN,L-OT,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,21,13:07,0,1,0,0,
74,2019-01-05,23,23-358,OTT,,MIN,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,22,18:53,1,1,0,0,
75,2019-01-09,24,23-362,OTT,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,19:07,2,0,0,0,
76,2019-01-19,25,24-007,OTT,@,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,25,15:23,2,1,0,0,
77,2019-02-02,26,24-021,OTT,,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:10,1,1,0,0,
78,2019-02-06,27,24-025,OTT,@,TOR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:06,1,1,0,0,
79,2019-02-09,28,24-028,OTT,,WPG,W,0,0,0,1,5,0,0,0,0,0,0,0,0,,16,12:22,2,0,0,0,
80,2019-02-12,29,24-031,OTT,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:44,4,0,0,0,
81,2019-02-14,30,24-033,OTT,@,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,16:11,4,0,0,0,
82,2019-02-16,31,24-035,OTT,@,WPG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,17:03,2,2,0,0,
83,2019-02-18,32,24-037,OTT,@,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,19:50,0,2,0,0,
84,2019-02-21,33,24-040,OTT,@,NJD,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,15:52,1,2,0,0,
85,2019-02-22,34,24-041,OTT,,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,16:17,0,0,0,0,
86,2019-02-24,35,24-043,OTT,,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,19:28,2,1,0,0,
87,2019-02-26,36,24-045,OTT,@,WSH,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,18:46,2,0,0,0,
88,2019-02-28,37,24-047,OTT,,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,17:38,1,2,0,0,
89,2019-03-02,38,24-049,OTT,@,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,18:26,0,1,0,0,
90,2019-03-03,39,24-050,OTT,@,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:05,2,2,0,0,
91,2019-03-05,40,24-052,OTT,@,NYI,L-SO,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,16:48,1,0,0,0,
92,2019-03-07,41,24-054,OTT,,NYI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,16:13,0,1,0,0,
93,2019-03-09,42,24-056,OTT,@,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:07,2,2,0,0,
94,2019-03-11,43,24-058,OTT,@,PHI,L,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,13:49,2,1,0,0,
95,2019-03-14,44,24-061,OTT,,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,30,22:49,7,2,0,0,
96,2019-03-16,45,24-063,OTT,,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,25,18:12,1,2,0,0,
97,2019-03-20,46,24-067,OTT,@,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,28,21:29,2,1,0,0,
98,2019-03-21,47,24-068,OTT,@,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,27,18:10,0,1,0,0,
99,2019-03-23,48,24-070,OTT,@,EDM,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,23,18:02,2,1,0,0,
100,2019-03-26,49,24-073,OTT,,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,23,20:22,1,0,0,0,
101,2019-03-30,50,24-077,OTT,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,18:47,1,4,0,0,
102,2019-04-01,51,24-079,OTT,,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:44,2,2,0,0,
