,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,1991-10-10,1,19-128,MNS,,QUE,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
1,1991-10-12,2,19-130,MNS,,DET,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,,,,,,,
2,1991-10-17,3,19-135,MNS,@,SJS,W,1,0,1,2,4,1,0,0,0,,,,2,50.0,,,,,,,
3,1991-10-19,4,19-137,MNS,@,LAK,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
4,1991-10-22,5,19-140,MNS,,CGY,L,0,0,0,1,5,0,0,0,0,,,,1,0.0,,,,,,,
5,1991-10-24,6,19-142,MNS,,PHI,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
6,1991-10-26,7,19-144,MNS,,BOS,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
7,1991-10-29,8,19-147,MNS,@,NYR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
8,1991-10-31,9,19-149,MNS,@,PIT,L,1,0,1,-2,0,1,0,0,0,,,,2,50.0,,,,,,,
9,1991-11-02,10,19-151,MNS,,CHI,W,0,1,1,2,2,0,0,0,0,,,,2,0.0,,,,,,,
10,1991-11-03,11,19-152,MNS,@,CHI,T,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
11,1991-11-05,12,19-154,MNS,@,DET,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
12,1991-11-06,13,19-155,MNS,@,TOR,L,0,0,0,0,2,0,0,0,0,,,,0,,,,,,,,
13,1991-11-09,14,19-158,MNS,,PIT,L,0,0,0,1,0,0,0,0,0,,,,2,0.0,,,,,,,
14,1991-11-12,15,19-161,MNS,,TOR,W,0,0,0,2,0,0,0,0,0,,,,1,0.0,,,,,,,
15,1991-11-16,16,19-165,MNS,@,STL,L,0,0,0,1,0,0,0,0,0,,,,3,0.0,,,,,,,
16,1991-11-19,17,19-168,MNS,,NYI,L,0,0,0,0,0,0,0,0,0,,,,4,0.0,,,,,,,
17,1991-11-22,18,19-171,MNS,@,DET,L,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
18,1991-11-23,19,19-172,MNS,,DET,T,0,0,0,-1,0,0,0,0,0,,,,1,0.0,,,,,,,
19,1991-11-29,20,19-178,MNS,,TOR,L,0,2,2,1,0,0,0,0,0,,,,0,,,,,,,,
20,1991-11-30,21,19-179,MNS,@,TOR,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
21,1991-12-03,22,19-182,MNS,,STL,T,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
22,1991-12-04,23,19-183,MNS,,STL,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,,,,,,,
23,1991-12-07,24,19-186,MNS,,WSH,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
24,1991-12-08,25,19-187,MNS,@,CHI,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
25,1991-12-10,26,19-189,MNS,,NJD,W,1,0,1,2,7,1,0,0,0,,,,1,100.0,,,,,,,
26,1991-12-12,27,19-191,MNS,@,VAN,L,1,0,1,-1,0,1,0,0,0,,,,1,100.0,,,,,,,
27,1991-12-14,28,19-193,MNS,@,SJS,W,0,0,0,1,2,0,0,0,0,,,,3,0.0,,,,,,,
28,1991-12-17,29,19-196,MNS,@,LAK,W,1,0,1,1,0,1,0,0,1,,,,1,100.0,,,,,,,
29,1992-01-13,30,19-223,MNS,,EDM,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
30,1992-01-15,31,19-225,MNS,,MTL,W,1,0,1,0,0,1,0,0,0,,,,2,50.0,,,,,,,
31,1992-03-11,32,19-281,MNS,,TOR,L,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,
32,1992-03-14,33,19-284,MNS,,DET,W,0,0,0,1,2,0,0,0,0,,,,2,0.0,,,,,,,
33,1992-03-17,34,19-287,MNS,,BUF,W,0,1,1,0,2,0,0,0,0,,,,1,0.0,,,,,,,
34,1992-03-19,35,19-289,MNS,@,CHI,L,0,0,0,-2,14,0,0,0,0,,,,1,0.0,,,,,,,
35,1992-03-21,36,19-291,MNS,@,QUE,L,0,0,0,-1,2,0,0,0,0,,,,2,0.0,,,,,,,
36,1992-03-24,37,19-294,MNS,,VAN,L,0,0,0,-1,0,0,0,0,0,,,,0,,,,,,,,
37,1992-03-27,38,19-297,MNS,@,EDM,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
38,1992-03-28,39,19-298,MNS,@,CGY,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
39,1992-03-31,40,19-301,MNS,,BUF,W,0,0,0,1,26,0,0,0,0,,,,0,,,,,,,,
40,1992-04-12,41,19-313,MNS,,STL,T,0,0,0,0,9,0,0,0,0,,,,2,0.0,,,,,,,
41,1992-04-14,42,19-315,MNS,,DET,L,0,0,0,0,0,0,0,0,0,,,,2,0.0,,,,,,,
42,1992-04-16,43,19-317,MNS,@,STL,L,1,0,1,1,7,1,0,0,0,,,,1,100.0,,,,,,,
43,1992-10-06,1,20-124,MNS,@,STL,L,0,0,0,-2,4,0,0,0,0,,,,1,0.0,,,,,,,
44,1992-10-08,2,20-126,MNS,,STL,W,0,0,0,-1,0,0,0,0,0,,,,2,0.0,,,,,,,
45,1992-10-10,3,20-128,MNS,,TBL,W,0,0,0,1,0,0,0,0,0,,,,1,0.0,,,,,,,
46,1992-10-13,4,20-131,MNS,vs.,CGY,L,0,1,1,-1,0,0,0,0,0,,,,0,,,,,,,,
47,1992-10-15,5,20-133,MNS,@,STL,W,0,0,0,0,15,0,0,0,0,,,,0,,,,,,,,
48,1992-10-17,6,20-135,MNS,@,MTL,L,0,0,0,-2,2,0,0,0,0,,,,1,0.0,,,,,,,
49,1992-10-18,7,20-136,MNS,@,TOR,W,0,1,1,1,4,0,0,0,0,,,,0,,,,,,,,
50,1992-10-22,8,20-140,MNS,,QUE,W,0,1,1,1,2,0,0,0,0,,,,0,,,,,,,,
51,1992-10-24,9,20-142,MNS,,LAK,T,0,0,0,-2,0,0,0,0,0,,,,2,0.0,,,,,,,
52,1992-10-28,10,20-146,MNS,@,EDM,L,0,0,0,0,4,0,0,0,0,,,,0,,,,,,,,
53,1992-10-30,11,20-148,MNS,@,VAN,W,1,1,2,2,0,1,0,0,1,,,,1,100.0,,,,,,,
54,1992-10-31,12,20-149,MNS,@,CGY,L,0,0,0,-3,2,0,0,0,0,,,,0,,,,,,,,
55,1992-11-05,13,20-154,MNS,,NYI,W,0,0,0,1,0,0,0,0,0,,,,0,,,,,,,,
56,1992-11-07,14,20-156,MNS,,EDM,T,0,0,0,1,2,0,0,0,0,,,,1,0.0,,,,,,,
57,1992-11-10,15,20-159,MNS,,PIT,L,0,0,0,-1,2,0,0,0,0,,,,3,0.0,,,,,,,
58,1992-11-12,16,20-161,MNS,,WIN,L,0,0,0,-2,7,0,0,0,0,,,,1,0.0,,,,,,,
59,1992-11-14,17,20-163,MNS,,CHI,W,0,0,0,1,4,0,0,0,0,,,,0,,,,,,,,
60,1992-11-15,18,20-164,MNS,@,CHI,L,0,0,0,0,4,0,0,0,0,,,,1,0.0,,,,,,,
